"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"sex#M.1477434878.A.ED0#00000", "ChinaTaiwan", "2016年10月25日15:42<br><br>一名家住台中的中年男子，在網路上結識才國中的男性小網友，兩人透過通訊軟體相約在宜蘭縣羅東鎮的旅館開房間，男子替小網友手淫得逞，恰巧當天警察執行臨檢，在房內將他逮個正著，宜蘭地方法院日前依妨害性自主罪，判處男子有期徒刑5個月，得易科罰金。<br><br>判決書指出，家住台中的男子盧巍夫（42歲，有妨害性自主前科），在去年透過網路交友，認識當時才13歲的小明（化名）後，彼此常常透過通訊軟體LINE聊天，感情日漸加深，於今年3月相約在羅東的貴族旅社開房間，兩人在房內「親密接觸」，盧男還撫摸小明的生殖器為他手淫。<br><br>恰巧同日宜蘭縣羅東警分局執行臨檢勤務，於傍晚5時30分許，在房間內發現穿著國中制服的小明與盧男，以及3團使用過的衛生紙，經DNA檢驗，確定上面的體液屬於盧男。<br><br>盧男被逮後，對犯行坦承不諱，但強調，小明曾說自己滿16歲，並出示兩人的LINE對話紀錄佐證，小明出庭作證時也指出，盧男曾問過年齡，他告訴對方自己16歲，也未告知盧男自己真實出生年月日。<br><br>因案發當時小明只差1個月就滿14歲，盧男的確很難就聊天及外型發現小明未滿14歲，但當兩人在旅館相見時，小明是穿國中制服赴約，且身形稚嫩、外貌稚氣未脫，從身形應該就可判定小明未滿16歲，盧男也在法庭上坦承「有發現」。<br><br>法官審酌，盧男曾在103年因妨害性自主案判刑1年，難認素行良好，且案發時已滿41歲，年過不惑，應該有相當社會歷練，明知小明是14歲以上未滿16歲的少男，對性行為缺乏完全自主判斷的能力，卻為了滿足自身慾望，仍與小明發生猥褻行為，欠缺法紀觀念。<br><br>但由於盧男犯後坦承犯行、態度良好，顯然有反省，且家中尚有老父及繼母等情況，判處有期徒刑5個月，得易科罰金。（突發中心張芸甄／宜蘭報導）<br><br>http://www.appledaily.com.tw/realtimenews/article/local/20161025/974973<br><br>--<br>", "", ""
"sex#M.1477434878.A.ED0#00001", "ChinaTaiwan", "純推ID", "10/29 20:25", "0"
"sex#M.1477434878.A.ED0#00002", "heuristics", "純推ID", "10/26 06:43", "0"
"sex#M.1477434878.A.ED0#00003", "hayby", "唷", "10/26 06:44", "0"
"sex#M.1477434878.A.ED0#00004", "bird1140", "純你妹", "10/26 06:46", "0"
"sex#M.1477434878.A.ED0#00005", "freedomnavy", "早安", "10/26 06:47", "0"
"sex#M.1477434878.A.ED0#00006", "jameszhuang", "哈哈...沒壞", "10/26 06:53", "0"
"sex#M.1477434878.A.ED0#00007", "stw0975", "ID", "10/26 06:58", "0"
"sex#M.1477434878.A.ED0#00008", "alexleu", "id", "10/26 06:58", "0"
"sex#M.1477434878.A.ED0#00009", "ringal", "10噓內", "10/26 07:01", "0"
"sex#M.1477434878.A.ED0#00010", "pikacha", "此ＩＤ不倒，台灣不會好！！！！！！！！！！！！！！！", "10/26 07:06", "1"
"sex#M.1477434878.A.ED0#00011", "ruruyen777", "早安", "10/26 07:07", "0"
"sex#M.1477434878.A.ED0#00012", "smart1989", "滾", "10/26 07:13", "0"
"sex#M.1477434878.A.ED0#00013", "aweii0234", "跟上", "10/26 07:18", "0"
"sex#M.1477434878.A.ED0#00014", "s3750640", "跟上", "10/26 07:26", "0"
"sex#M.1477434878.A.ED0#00015", "GGrunrundela", "滾", "10/26 07:44", "0"
"sex#M.1477434878.A.ED0#00016", "wu801023", "跟", "10/26 07:51", "0"
"sex#M.1477434878.A.ED0#00017", "bond30422", "嗨", "10/26 07:57", "0"
"sex#M.1477434878.A.ED0#00018", "danlove", "早安，成就get", "10/26 08:03", "0"
