"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"sex#M.1477762320.A.71D#00000", "ChinaTaiwan", "「我很痛！」客廳指侵13歲小女兒　獸父竟說：妳要忍耐<br><br>社會中心／綜合報導<br><br>基隆市1名獸父離婚後與所生小兄妹同住，前年8月他見13歲女兒獨自在家中客廳，竟一時忍不住獸慾，對她伸出狼爪，先強行脫掉內褲，再撫摸胸部及下體；數日後他又變本加厲，直接強行掀開女兒內衣，狂吻胸部，再用手指性侵得逞。狼父的長子聽到妹妹泣訴，馬上將事情告訴母親，母女馬上報警抓人，最後這名父親坦承變態行徑，被檢方依妨害性自主罪嫌提起公訴。<br><br>判決書指出，被告指稱自己「每日均有飲酒之陋習，且幾乎每喝必醉」，酒醒後都會記不起發生什麼事情，謊辯自己是在沒有意識的情況下性侵女兒。被害少女則指控「當天爸爸沒有喝酒，他把手伸進我尿尿的地方，我覺得很痛，我有跟他說，他叫我忍耐，我有反抗，要把他的手拿掉，他又放回去，還有跟我說不要告訴別人。」<br><br>法官審理認為，這名父親為滿足性慾、不顧女兒心理，做出數次強制性交行為，將造成心理上難以磨滅之陰影，將他依《加重強制猥褻罪》判有期徒刑3年2月，《加重強制性交罪》判7年2月，應執行有期徒刑8年，全案尚可上訴。<br><br>http://www.ettoday.net/news/20161029/801697.htm<br><br>--<br>", "", ""
"sex#M.1477762320.A.71D#00001", "ChinaTaiwan", "純推ID", "10/29 20:25", "0"
"sex#M.1477762320.A.71D#00002", "moint", "!#$&@&@%@&#!%@", "10/30 01:38", "0"
"sex#M.1477762320.A.71D#00003", "cjy1201", "我來了", "10/30 01:40", "0"
"sex#M.1477762320.A.71D#00004", "FallRed", "抱歉 無法忍耐 只能噓惹", "10/30 01:40", "0"
"sex#M.1477762320.A.71D#00005", "nacy204327", "滾 半夜出什麼每日任務", "10/30 01:54", "0"
"sex#M.1477762320.A.71D#00006", "morningsunzz", "你怎麼有辦法這麼有耐心啊 照噓！", "10/30 01:57", "0"
"sex#M.1477762320.A.71D#00007", "yoyo20550", "看到先噓再說", "10/30 02:04", "0"
"sex#M.1477762320.A.71D#00008", "mrsmiller", "解", "10/30 02:08", "0"
"sex#M.1477762320.A.71D#00009", "stw0975", "解", "10/30 02:18", "0"
"sex#M.1477762320.A.71D#00010", "dreamerbass", "解", "10/30 02:22", "0"
"sex#M.1477762320.A.71D#00011", "zz5259205", "每日1/1", "10/30 02:23", "0"
"sex#M.1477762320.A.71D#00012", "candymm", "支那畜滾", "10/30 03:15", "0"
"sex#M.1477762320.A.71D#00013", "cha65", "哦是，真的，好吧", "10/30 03:20", "0"
"sex#M.1477762320.A.71D#00014", "cha65", "補一下", "10/30 03:24", "0"
"sex#M.1477762320.A.71D#00015", "aweii0234", "今天這麼早上班", "10/30 04:04", "0"
"sex#M.1477762320.A.71D#00016", "kas1846", "爛透了……", "10/30 04:04", "0"
"sex#M.1477762320.A.71D#00017", "paannee3", "半夜解任務", "10/30 04:39", "0"
"sex#M.1477762320.A.71D#00018", "wushihmin", "就推ID", "10/30 05:49", "0"
"sex#M.1477762320.A.71D#00019", "shgreen", "Done", "10/30 07:01", "0"
"sex#M.1477762320.A.71D#00020", "guardian128", "噁", "10/30 08:34", "0"
"sex#M.1477762320.A.71D#00021", "imsuperman", "每日任務", "10/30 09:19", "0"
"sex#M.1477762320.A.71D#00022", "bond30422", "每日", "10/30 09:44", "0"
"sex#M.1477762320.A.71D#00023", "e9527", "跟", "10/30 09:50", "0"
"sex#M.1477762320.A.71D#00024", "messigoal10", "1/1", "10/30 10:11", "0"
