"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"sex#M.1477821089.A.4DD#00000", "tigotigo", "這拎北沒經驗耶<br><br>不過拎北倒是知道有妹子看了拎北的照片以後就濕了<br><br>偷偷幻想以拎北為對象在自慰<br><br>人帥 沒辦法<br><br><br>如果大家像拎北一樣知道自己是妹子的性幻想對像，各位會怎麼辦？<br><br>※ 引述《zzsh3533 (zz的意志)》之銘言：<br>: 有些女性朋友<br>: 平常都覺得他普普的<br>: 但可能滑了一下手機 看到她的小酥胸<br>: 就突然超想尬他<br>: 然後在配上一發精美的手槍<br>: 結束這回合<br>: 只有我會這樣嗎?<br><br>--<br>", "", ""
"sex#M.1477821089.A.4DD#00001", "crystal0100", "噓你", "10/30 17:52", "0"
"sex#M.1477821089.A.4DD#00002", "kmgg", "噓簽名檔", "10/30 17:52", "0"
"sex#M.1477821089.A.4DD#00003", "IrvingLU", "欠噓", "10/30 17:53", "0"
"sex#M.1477821089.A.4DD#00004", "aa651082", "喔", "10/30 17:53", "0"
"sex#M.1477821089.A.4DD#00005", "rexqwer", "簽名檔公三小", "10/30 17:54", "0"
"sex#M.1477821089.A.4DD#00006", "best917", "ˊ_>ˋ", "10/30 17:58", "0"
"sex#M.1477821089.A.4DD#00007", "jbc9926", "拎老木啦，乾我的噓呢", "10/30 17:58", "0"
"sex#M.1477821089.A.4DD#00008", "momocai", "想紅？（成全你）", "10/30 17:59", "0"
"sex#M.1477821089.A.4DD#00009", "Nightroger", "吃土", "10/30 18:00", "0"
"sex#M.1477821089.A.4DD#00010", "nonomind", "吃紅", "10/30 18:01", "0"
"sex#M.1477821089.A.4DD#00011", "hope0955", "吃屎", "10/30 18:03", "0"
"sex#M.1477821089.A.4DD#00012", "sy031653", "動物園叫你去啃竹子", "10/30 18:05", "0"
"sex#M.1477821089.A.4DD#00013", "ray30409", "2", "10/30 18:37", "0"
"sex#M.1477821089.A.4DD#00014", "stw0975", "公三小?", "10/30 18:41", "0"
"sex#M.1477821089.A.4DD#00015", "computer8911", "簽名檔欠噓", "10/30 18:42", "0"
"sex#M.1477821089.A.4DD#00016", "iammiss", "哈哈哈 不噓你無法 對不起佛祖啊", "10/30 18:53", "0"
"sex#M.1477821089.A.4DD#00017", "saw6904", "如你願", "10/30 18:59", "0"
"sex#M.1477821089.A.4DD#00018", "lpbrother", "樓下超帥", "10/30 18:59", "0"
"sex#M.1477821089.A.4DD#00019", "steventzou", "欠噓", "10/30 19:00", "0"
"sex#M.1477821089.A.4DD#00020", "jonathanpan", "gg", "10/30 19:02", "0"
"sex#M.1477821089.A.4DD#00021", "aaron770708", "中國沒有人   只有狗", "10/30 19:12", "0"
"sex#M.1477821089.A.4DD#00022", "dogpaul07", "真正在幻想的是你 吃土吧", "10/30 19:18", "0"
"sex#M.1477821089.A.4DD#00023", "a8074", "噓 林北", "10/30 19:19", "0"
"sex#M.1477821089.A.4DD#00024", "f7895123", "2/2", "10/30 19:25", "0"
"sex#M.1477821089.A.4DD#00025", "wantaloof52", "欠噓", "10/30 19:28", "0"
"sex#M.1477821089.A.4DD#00026", "ohmyginny", "==", "10/30 19:37", "0"
"sex#M.1477821089.A.4DD#00027", "young199517", "喔", "10/30 19:44", "0"
"sex#M.1477821089.A.4DD#00028", "MirageAngel", "━━━━━━━━━━━━━━口交月工女子=[咬肛好]", "10/30 19:49", "1"
"sex#M.1477821089.A.4DD#00029", "tommy86114", "喔", "10/30 19:57", "0"
"sex#M.1477821089.A.4DD#00030", "anthony79121", "噓", "10/30 20:04", "0"
"sex#M.1477821089.A.4DD#00031", "babycat170", "人師真好", "10/30 20:07", "0"
"sex#M.1477821089.A.4DD#00032", "kqcv5bw", "什麼東西啊！懶", "10/30 20:08", "0"
"sex#M.1477821089.A.4DD#00033", "rafaj", "滾!", "10/30 20:14", "0"
"sex#M.1477821089.A.4DD#00034", "knightsfu", "討噓我就成全你", "10/30 20:20", "0"
"sex#M.1477821089.A.4DD#00035", "gasawow", "噓噓", "10/30 20:28", "0"
"sex#M.1477821089.A.4DD#00036", "ronale1104", "嗯", "10/30 20:38", "0"
"sex#M.1477821089.A.4DD#00037", "shinage", "只是因為簽名檔   所以試試看2有沒有壞掉", "10/30 20:40", "0"
"sex#M.1477821089.A.4DD#00038", "nadscorpio", "噓", "10/30 20:48", "0"
"sex#M.1477821089.A.4DD#00039", "benny1996", "哈哈哈", "10/30 20:50", "0"
"sex#M.1477821089.A.4DD#00040", "saosin", "哦", "10/30 20:53", "0"
"sex#M.1477821089.A.4DD#00041", "heygirlxxoo", "。", "10/30 21:15", "0"
"sex#M.1477821089.A.4DD#00042", "abcijk", "拉泡屎看看自己吧！", "10/30 21:25", "0"
"sex#M.1477821089.A.4DD#00043", "rettunet", "噓噓噓", "10/30 21:33", "0"
"sex#M.1477821089.A.4DD#00044", "KnightG", "喔 噓", "10/30 21:39", "0"
"sex#M.1477821089.A.4DD#00045", "ccf52wang40", "喔", "10/30 22:01", "0"
"sex#M.1477821089.A.4DD#00046", "swingingbear", "拎北覺得這篇很低能耶", "10/30 22:15", "0"
"sex#M.1477821089.A.4DD#00047", "sy031653", "你在暗示某A?", "10/30 22:15", "0"
"sex#M.1477821089.A.4DD#00048", "asd15723", "ok", "10/30 22:26", "0"
"sex#M.1477821089.A.4DD#00049", "remiechen", "還來啊", "10/30 22:29", "0"
"sex#M.1477821089.A.4DD#00050", "zaq88066", "8", "10/30 22:31", "0"
"sex#M.1477821089.A.4DD#00051", "Hisashi14", "嗯", "10/30 22:43", "0"
"sex#M.1477821089.A.4DD#00052", "wawa55785", "去魯檸檬吧", "10/30 22:44", "0"
"sex#M.1477821089.A.4DD#00053", "aarom36", "好你要的", "10/30 22:56", "0"
"sex#M.1477821089.A.4DD#00054", "aaaa8126", "噓", "10/30 23:24", "0"
"sex#M.1477821089.A.4DD#00055", "microuzi9797", "87", "10/31 00:08", "0"
"sex#M.1477821089.A.4DD#00056", "Charmingwei", "...", "10/31 00:58", "0"
"sex#M.1477821089.A.4DD#00057", "HAN6520", "支那賤畜", "10/31 01:34", "0"
"sex#M.1477821089.A.4DD#00058", "s23090037", "欠噓", "10/31 02:12", "0"
"sex#M.1477821089.A.4DD#00059", "STARKWANG", "閱", "10/31 03:42", "0"
