"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"sex#M.1478046232.A.34C#00000", "ChinaTaiwan", "2016年11月01日 12:09<br><br>台中男子徐偉倫去年凌晨開車故意將一名騎機車的女大學生撞成腦震盪，不顧她全身是傷，強塞進後行李箱載到摩鐵性侵並劫財，再叫女大生自己走回家，還威脅不得報警，否則以「社會事來處理」。警方逮捕徐男後，查出他9年前另強押一名女高中生劫財劫色，最高法院痛斥徐男手段兇殘、令人髮指，今依強盜強性交等罪判他19年6月徒刑定讞。<br><br>判決指出，徐男（32歲，在押）於2007年11月6日傍晚5時許，隨機鎖定一名獨自步行回家的女高中生，尾隨到偏僻處衝上前以BB槍射擊地面，喝令：「把錢拿出來！」女學生驚嚇交出身上全部20幾元，徐男強搜女學生書包發現真的沒錢，隨即將女學生拉到路邊草叢企圖性侵。<br><br>女學生奮力反抗，徐男怕有人經過看見，用外套蒙住女學生頭臉，騎機車強載回自己租屋處不戴套性侵得逞，還試探：「打電話給妳爸爸，會不會拿比較多錢？」女學生邊哭邊說：「我家沒錢！」徐男抄寫女學生個人資料並扣留學生證，恫嚇：「不准告訴妳爸媽，不然我會去找妳！」當晚接近8時放走女學生。<br><br>女學生回家說出實情，雖立刻驗傷報警，但沒看見徐男車號或地址，徐男因而逍遙法外，前年雖因公共危險案被判刑2月定讞，仍沒被查出這件性侵案。去年6月27日凌晨3時許，徐男開著租來的轎車四處閒晃，鎖定一名剛看完電影獨自騎機車回家的女大生，在一處無人經過的工地前故意追撞女大生倒地。<br><br>女大生頭部外傷合併腦震盪，上頷骨與齒槽骨骨折、手腳多處擦傷，當場無法動彈，滿身是血，痛得不斷哀嚎。徐男抱起女大生塞進汽車行李箱，載到摩鐵性侵得逞，還搶走女大生背包裡的4000元，並拿女大生提款卡盜領4900元。<br><br>期間女大生因手機被徐男拿走，無法求救，直到當天下午4時許，徐男才叫女大生戴上安全帽自己走回家，並扣留女大生的學生證與住家鑰匙，警告須向家人謊稱騎車自撞受傷，若把他供出來，他會以「社會事來處理」。<br><br>女大生奮力跛行回家後不敢說實話，只寫紙條「不要報警」給家人，直到送醫3天後才講出遭遇，警方過濾監視畫面，同月底終於逮到徐男，採集他的唾液樣本送驗比對DNA，赫然查出他9年所犯案件。<br><br>徐男一審原本認罪，被依強盜強制性交等罪判刑19年半後，上訴翻供推稱沒劫財劫色，也不知女高中生未成年，他只是跟女大生借錢，一審判太重。二審指徐男手段兇殘，造成2名被害人至今仍承受精神驚懼之苦，徐男惡行令人髮指，還翻供企圖脫罪，足認並無真誠悔悟之心，仍判他19年半徒刑，最高院今維持二審判決定讞。（黃哲民／台北報導）<br><br>http://www.nextmag.com.tw/breaking-news/news/20161101/45403878<br><br>--<br>", "", ""
"sex#M.1478046232.A.34C#00001", "ChinaTaiwan", "純推ID", "10/29 20:25", "0"
"sex#M.1478046232.A.34C#00002", "gett", "沒人噓！！我先來", "11/02 08:29", "0"
"sex#M.1478046232.A.34C#00003", "dallas41", "來了！", "11/02 08:29", "0"
"sex#M.1478046232.A.34C#00004", "heygirlxxoo", "。", "11/02 08:32", "0"
"sex#M.1478046232.A.34C#00005", "redheart0216", "跟上", "11/02 08:36", "0"
"sex#M.1478046232.A.34C#00006", "yanderlee", "跟上", "11/02 08:38", "0"
"sex#M.1478046232.A.34C#00007", "chichiliou77", "噓爆你", "11/02 08:42", "0"
"sex#M.1478046232.A.34C#00008", "Volcano911", "滾", "11/02 08:56", "0"
"sex#M.1478046232.A.34C#00009", "syg19", "跟上", "11/02 08:58", "0"
