"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"sex#M.1481789593.A.D4B#00000", "ChinaTaiwan", "2016-12-15  12:22<br><br>［記者鄭淑婷／桃園報導］1名20歲、有輕度智能障礙的女子，與男友會互看臉書，104年<br>11、12月間，女子的父親以臉書傳訊「我想要」、「打砲」，女子男友發現後追問才知，<br>女友竟被父親當成性奴，女子更驚爆，從小學3年級起就遭父親性侵，由於女子說詞不一<br>且無積極證據，只能靠陰道採得其父的DNA，證實她去年確實遭性侵，桃園地檢署檢察官<br>偵結，依家暴、對心智缺陷之人強制性交罪嫌起訴這名獸父。<br><br>女子指控，父親在她就讀國小3年級時開始伸狼爪，地點遍及租屋處、阿嬤住處或旅館，<br>從95年9月起到100年7月，性侵次數至少50次，她升上國中後爸爸變本加厲，性侵她的頻<br>率每週高達2、3次，她曾跟媽媽、哥哥說過這些事，阿嬤也起疑詢問過她，她另將害怕的<br>心情寫在日記上。<br><br>女子長大成人交了男友，兩人會互看臉書，去年11、12月間，女子男友發現，女友父親以<br>臉書傳訊女兒「我想要」、「打砲」，他訝異怎麼會有父親傳這種訊息給女兒，追問女友<br>才知她長期遭父親性侵，父親傳訊她就得配合「辦事」，氣得向警方報案揭發獸父劣行。<br>女子之父坦承傳訊給女兒，但否認性侵女兒，不過，警方採集女子陰部體液化驗，驗出女<br>子父親的DNA，證明女子去年確實遭到爸爸性侵。<br><br>至於女子對小學3年級到104年11月前的指控，說詞前後不一，媽媽、哥哥證稱從沒聽女子<br>提過被性侵，加上沒有其他積極證據，此部分則予以不起訴處分。<br><br>http://news.ltn.com.tw/news/society/breakingnews/1918095<br><br>--<br>", "", ""
"sex#M.1481789593.A.D4B#00001", "ChinaTaiwan", "這ID不推不行", "09/28 05:06", "0"
"sex#M.1481789593.A.D4B#00002", "romeojessica", "純推id", "12/15 16:17", "0"
"sex#M.1481789593.A.D4B#00003", "as61818as", "這ID不推不行", "12/15 16:22", "0"
"sex#M.1481789593.A.D4B#00004", "MirageAngel", "瘋癡癲癇癟瘸病蠢雜碎共匪愛滋梅毒噬糞吮痰肏噁癌瘤!", "12/15 16:31", "1"
"sex#M.1481789593.A.D4B#00005", "win0330", "這ID不推不行", "12/15 16:31", "0"
"sex#M.1481789593.A.D4B#00006", "rockmayu", "來", "12/15 16:55", "0"
"sex#M.1481789593.A.D4B#00007", "Ivan751127", "滾", "12/15 17:01", "0"
"sex#M.1481789593.A.D4B#00008", "joestoman", "純推~", "12/15 17:29", "0"
"sex#M.1481789593.A.D4B#00009", "ci9527", "ok", "12/15 17:33", "0"
"sex#M.1481789593.A.D4B#00010", "theone5204", "88888888888888888888888888888888888888888888888888", "12/15 17:39", "1"
"sex#M.1481789593.A.D4B#00011", "blue817360", "哈哈哈哈", "12/15 17:43", "0"
"sex#M.1481789593.A.D4B#00012", "Royalwarrior", "這ID一定要推", "12/15 17:52", "0"
"sex#M.1481789593.A.D4B#00013", "saxen", "幫推", "12/15 18:00", "0"
