"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"sex#M.1485735806.A.F7D#00000", "ChinaTaiwan", "只有性器合！交往1年被開發　她掙扎：怕找不到更好的主人…<br><br>2017年01月30日 06:11<br><br>網搜小組／綜合報導<br><br>男女朋友交往，除了個性契合外，若在床上能滿足彼此，那真是不可多得的天作之合。不過現實世界中，多的是「個性合，性事不合」，或只有「性器合，其他通通不ok」的案例，讓人迷惘不知道是否該放棄這一段感情。<br><br>PTT上有個女孩發文，說她和男友交往快1年，本來在床上是悶騷型，沒想到一經過開發，徹底愛上被打、被綁、被羞辱，成了主人的小母狗、肉便器，當然偶爾也會角色對調，當S女王欺負男友。<br><br>就這樣，做愛時爽上天，但平時生活中，兩人各方面都不太合，現在只是死撐著在那邊，「我們的關係就是等著被最後一根稻草壓垮的駱駝」。她也曾幾次把和男友的相處問題PO到男女版，絕大多數網友的回應都是，「無解」、「分了」，她雖然心裡也明白，「但就是貪戀和男友做愛，捨不得放生。」<br><br>女孩說，在江湖闖蕩多年，第一次那麼喜歡跟一個人打砲，就是現任男友，心中很害怕，萬一選擇分手，找不到更好的主人，男友分手後也不可能當砲友，怎麼辦？每次有分手的念頭，但上了床又難以忘懷那美妙，「性器性事很合、怕寂寞，加上渴望被男友幹，讓小妹總是被慾望沖昏頭。」<br><br>文章貼上網，吸引大批網友熱烈討論，眾人看法不一，「青春的肉體會有變老的一天」、「只好分手當砲友了，個性合才能長久」、「認真回，順其自然，享受當下」、「還年輕就可以先邊玩著，快到適婚年齡就放了吧」、「完全可以體會那種漸漸走向只有性愛的感情」、「個性合性器合我遇過！可惜分了，很後悔。」<br><br>http://www.ettoday.net/news/20170130/855342.htm<br><br>--<br>", "", ""
"sex#M.1485735806.A.F7D#00001", "bosch", "好ID不推嗎？", "01/30 08:27", "0"
"sex#M.1485735806.A.F7D#00002", "q1a22001", "好ID不推嗎？", "01/30 08:29", "0"
"sex#M.1485735806.A.F7D#00003", "hyde0625", "好ID不推嗎？", "01/30 08:30", "0"
"sex#M.1485735806.A.F7D#00004", "alexck322", "好ID不推嗎？", "01/30 08:31", "0"
"sex#M.1485735806.A.F7D#00005", "jim123mij", "新年快樂", "01/30 08:31", "0"
"sex#M.1485735806.A.F7D#00006", "kira39", "紅的喜氣", "01/30 08:32", "0"
"sex#M.1485735806.A.F7D#00007", "dav6877", "幫補血 新年快樂", "01/30 08:32", "0"
"sex#M.1485735806.A.F7D#00008", "g1g1b1b11222", ".", "01/30 08:33", "0"
"sex#M.1485735806.A.F7D#00009", "redheart0216", "這不推不行", "01/30 08:44", "0"
"sex#M.1485735806.A.F7D#00010", "antje1211", "補血（紅的明顯）", "01/30 08:47", "0"
"sex#M.1485735806.A.F7D#00011", "Orzer", "9487", "01/30 08:53", "0"
"sex#M.1485735806.A.F7D#00012", "leexhhh", "喜氣喜氣", "01/30 08:59", "0"
"sex#M.1485735806.A.F7D#00013", "fhscyt", "喜氣", "01/30 09:05", "0"
"sex#M.1485735806.A.F7D#00014", "bblue89757", "新年快樂", "01/30 09:16", "0"
"sex#M.1485735806.A.F7D#00015", "Royalwarrior", "好ID给推", "01/30 09:21", "0"
"sex#M.1485735806.A.F7D#00016", "pushxuman", "好ID给推 辛苦了", "01/30 09:21", "0"
"sex#M.1485735806.A.F7D#00017", "blueweak", "爽", "01/30 09:22", "0"
"sex#M.1485735806.A.F7D#00018", "zzzzoo", "這不推不行", "01/30 09:28", "0"
"sex#M.1485735806.A.F7D#00019", "ZhengMark", "新年快樂 恭喜發財", "01/30 09:29", "0"
"sex#M.1485735806.A.F7D#00020", "sa13961387", "每日任務(1/1)", "01/30 09:29", "0"
"sex#M.1485735806.A.F7D#00021", "ayasedd", "好ID不噓嗎", "01/30 09:31", "0"
"sex#M.1485735806.A.F7D#00022", "ToastBen", "好ID不噓嗎？", "01/30 09:34", "0"
"sex#M.1485735806.A.F7D#00023", "speqsirqoo", "新年快樂", "01/30 09:36", "0"
"sex#M.1485735806.A.F7D#00024", "qeye000", "來了", "01/30 09:41", "0"
"sex#M.1485735806.A.F7D#00025", "shan00", "好ID不噓嗎", "01/30 09:45", "0"
"sex#M.1485735806.A.F7D#00026", "clare", "支那人翻牆沒問題嗎？", "01/30 09:48", "0"
"sex#M.1485735806.A.F7D#00027", "moonchaser", "好ID不噓嗎", "01/30 09:49", "0"
"sex#M.1485735806.A.F7D#00028", "chamael", "呵呵", "01/30 10:02", "0"
"sex#M.1485735806.A.F7D#00029", "laizin", "多的是這種一對", "01/30 10:04", "0"
"sex#M.1485735806.A.F7D#00030", "a683266", "每日任務", "01/30 10:08", "0"
"sex#M.1485735806.A.F7D#00031", "kar130", "之前天數不到不能噓", "01/30 10:19", "0"
"sex#M.1485735806.A.F7D#00032", "prudence", "1/1", "01/30 10:44", "0"
"sex#M.1485735806.A.F7D#00033", "newlife8853", "恭喜發財", "01/30 10:48", "0"
"sex#M.1485735806.A.F7D#00034", "nomorethings", "?", "01/30 10:50", "0"
"sex#M.1485735806.A.F7D#00035", "xiou", "大過年紅色喜氣", "01/30 10:58", "0"
"sex#M.1485735806.A.F7D#00036", "Dong0129", "每天都提醒我就是有這種廢物吃台灣用台灣的卻說自己是，五毛人", "01/30 11:02", "0"
"sex#M.1485735806.A.F7D#00037", "olx899", "大過年顏色正確", "01/30 11:09", "0"
"sex#M.1485735806.A.F7D#00038", "rickieee", "新年快樂", "01/30 11:11", "0"
"sex#M.1485735806.A.F7D#00039", "imsuperman", "來囉來囉", "01/30 11:17", "0"
"sex#M.1485735806.A.F7D#00040", "frogman1128", "好ID當然推", "01/30 11:26", "0"
"sex#M.1485735806.A.F7D#00041", "boggae", "？？？？", "01/30 11:27", "0"
"sex#M.1485735806.A.F7D#00042", "m7686287", "紅的喜氣", "01/30 11:32", "0"
"sex#M.1485735806.A.F7D#00043", "MoDerF", "恩恩", "01/30 11:41", "0"
"sex#M.1485735806.A.F7D#00044", "shengsianwan", "這id .....", "01/30 11:42", "0"
"sex#M.1485735806.A.F7D#00045", "crazzzycat", "紅的喜氣", "01/30 11:50", "0"
"sex#M.1485735806.A.F7D#00046", "tkhunter", "給你紅包包", "01/30 11:50", "0"
"sex#M.1485735806.A.F7D#00047", "cclin5566", "恭賀新喜", "01/30 11:51", "0"
"sex#M.1485735806.A.F7D#00048", "zero990314", "滾", "01/30 11:56", "0"
"sex#M.1485735806.A.F7D#00049", "EulerEuler", "新年快樂 耶耶", "01/30 12:08", "0"
"sex#M.1485735806.A.F7D#00050", "Tak4678", "新年快樂", "01/30 12:22", "0"
"sex#M.1485735806.A.F7D#00051", "ray0926", "ID", "01/30 12:41", "0"
"sex#M.1485735806.A.F7D#00052", "stw0975", "新年快樂", "01/30 12:57", "0"
"sex#M.1485735806.A.F7D#00053", "Lukethe", "過年顏色正確", "01/30 13:08", "0"
"sex#M.1485735806.A.F7D#00054", "getfull", "舔共賣台廢物殺無赦死全家", "01/30 13:10", "0"
"sex#M.1485735806.A.F7D#00055", "Agassi850815", "這麼好的ID,怎麼能不噓呢", "01/30 13:34", "0"
"sex#M.1485735806.A.F7D#00056", "moonwinds", "紅喜氣+1", "01/30 13:49", "0"
"sex#M.1485735806.A.F7D#00057", "BlueMoonTim", "新年快樂", "01/30 14:17", "0"
"sex#M.1485735806.A.F7D#00058", "blackgordon", "沒什麼，單純噓ID", "01/30 14:19", "0"
"sex#M.1485735806.A.F7D#00059", "cwjchris", "每日", "01/30 14:22", "0"
"sex#M.1485735806.A.F7D#00060", "royaljing", "沒什麼，單純噓ID", "01/30 14:39", "0"
"sex#M.1485735806.A.F7D#00061", "Satansblessi", "每日任務完成", "01/30 14:57", "0"
"sex#M.1485735806.A.F7D#00062", "AsamiYuma", "紅喜氣", "01/30 15:06", "0"
"sex#M.1485735806.A.F7D#00063", "HHHRAW", "噓", "01/30 15:17", "0"
"sex#M.1485735806.A.F7D#00064", "ko782", "滾回你的支那國", "01/30 15:28", "0"
"sex#M.1485735806.A.F7D#00065", "ko782", "噓回來", "01/30 15:31", "0"
"sex#M.1485735806.A.F7D#00066", "jay401401", "^_^", "01/30 15:33", "0"
"sex#M.1485735806.A.F7D#00067", "DNsGA", "紅的喜氣", "01/30 15:36", "0"
"sex#M.1485735806.A.F7D#00068", "hyperliver", "新年快樂", "01/30 15:48", "0"
"sex#M.1485735806.A.F7D#00069", "vcx530", "噓 台灣，支那一邊一國", "01/30 16:05", "0"
"sex#M.1485735806.A.F7D#00070", "jason0829", "紅的喜氣", "01/30 16:11", "0"
"sex#M.1485735806.A.F7D#00071", "ZedGod", "這是哪一篇啊", "01/30 16:32", "0"
"sex#M.1485735806.A.F7D#00072", "BoatLord", "推啥小 前幾樓想幹嘛？", "01/30 16:36", "0"
"sex#M.1485735806.A.F7D#00073", "sinyoung9487", "帶風向失敗", "01/30 16:41", "0"
"sex#M.1485735806.A.F7D#00074", "kkk82217", "我來幫忙", "01/30 17:04", "0"
"sex#M.1485735806.A.F7D#00075", "tn00710191", "抄屁呀 廢物記者", "01/30 17:14", "0"
"sex#M.1485735806.A.F7D#00076", "rosydark", "好ID,噓一下", "01/30 17:16", "0"
"sex#M.1485735806.A.F7D#00077", "guowei616", "我來", "01/30 17:43", "0"
"sex#M.1485735806.A.F7D#00078", "kemusi", "支那狗", "01/30 18:48", "0"
"sex#M.1485735806.A.F7D#00079", "jerrylin", "找另外一個試試  說不定也很合", "01/30 19:39", "0"
"sex#M.1485735806.A.F7D#00080", "yangcoolj", "我推", "01/30 19:50", "0"
"sex#M.1485735806.A.F7D#00081", "hahahalalala", "掰", "01/30 21:47", "0"
"sex#M.1485735806.A.F7D#00082", "lupin2401", "你只要一發文就出事還是，別發文好", "01/30 22:26", "0"
"sex#M.1485735806.A.F7D#00083", "jackycheny", "噓", "01/30 23:32", "0"
"sex#M.1485735806.A.F7D#00084", "sasori1027", "噓ID", "01/30 23:39", "0"
"sex#M.1485735806.A.F7D#00085", "hckh", "done", "01/30 23:40", "0"
"sex#M.1485735806.A.F7D#00086", "cwayne", "原文在哪裡啊？", "01/30 23:56", "0"
"sex#M.1485735806.A.F7D#00087", "LeoYuri", "紅的習氣，新年快樂，雞祥乳液", "01/31 01:01", "0"
"sex#M.1485735806.A.F7D#00088", "Hanson", "好ID不推嗎？", "01/31 01:02", "0"
"sex#M.1485735806.A.F7D#00089", "rc4317526", "ㄆ，ㄆ", "01/31 01:52", "0"
"sex#M.1485735806.A.F7D#00090", "tina033900", "好ID不推嗎？", "01/31 02:17", "0"
"sex#M.1485735806.A.F7D#00091", "superabea", "噓ID", "01/31 08:17", "0"
"sex#M.1485735806.A.F7D#00092", "yonderknight", "2", "01/31 09:26", "0"
"sex#M.1485735806.A.F7D#00093", "leopard0629", "滾", "01/31 20:14", "0"
"sex#M.1485735806.A.F7D#00094", "MirageAngel", "瘋癡癲癇癟瘸病蠢雜碎共匪愛滋梅毒噬糞吮痰肏噁癌瘤!", "02/01 09:27", "1"
"sex#M.1485735806.A.F7D#00095", "yingjyun", "ID", "02/01 17:08", "0"
"sex#M.1485735806.A.F7D#00096", "s891234", "優文", "02/04 18:34", "0"
"sex#M.1485735806.A.F7D#00097", "cat1130", "紅的喜氣", "02/05 08:22", "0"
