"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"sex#M.1487118140.A.86A#00000", "ChinaTaiwan", "17歲男半套援交想性侵！　上海14歲女把他打到爆頭昏迷<br><br>大陸中心／綜合報導<br><br>上海市17歲鄧姓少男以300元人民幣（約新台幣1350元）的代價，讓網路上結識的14歲劉<br>姓少女為他提供6小時的「半套」性服務。見面當天，鄧男慾火難耐，壓住劉女強脫其內<br>褲，想直接升級「全套」，但被劉女極力反抗，還被打到頭破血流，陷入昏迷。<br><br>根據《澎湃新聞》報導，少男少女是透過微信認識，兩人都相當喜歡日本成人動漫，經常<br>用一些和性愛有關的措辭來聊天。得知劉女缺錢以後，鄧男提出300元交換半套性服務的<br>要求，並承諾不會發生真正性關係。<br><br>兩人就這樣在鄧男家中初次見面，在劉女允許下，鄧男開始撫摸她的身體，摸到一半，鄧<br>男慾火焚身，頻向劉女提出「升級全套」的要求，但被劉女明確拒絕。<br><br>被拒絕以後，鄧男決定來硬的，他壓在劉女身上，強脫其衣褲，想發生性關係，可是劉女<br>極力反抗，還拿來一隻棍狀物體，往鄧男的頭部猛敲，最後把鄧男打得頭破血流，昏倒在<br>地。<br><br>打趴鄧男以後，劉女打電話叫來救護車，並在離開現場以後報警，警方在醫院找到鄧男，<br>他也向警方坦承犯案。檢察機關指出，鄧男想強行發生性關係，已構成強姦罪，但他的年<br>齡不滿18歲，可以從輕處罰。浦東新區人民法院日前宣判，鄧男被判處有期徒刑1年2個月<br>。<br><br>http://www.ettoday.net/news/20170214/866299.htm<br><br>--<br>", "", ""
"sex#M.1487118140.A.86A#00001", "ChinaTaiwan", "這ID不推不行", "09/28 05:06", "0"
"sex#M.1487118140.A.86A#00002", "stw0975", "早", "02/15 08:22", "0"
"sex#M.1487118140.A.86A#00003", "as54871002", "破任務了", "02/15 08:23", "0"
"sex#M.1487118140.A.86A#00004", "xlttxcbn1022", "看到ID就想噓", "02/15 08:24", "0"
"sex#M.1487118140.A.86A#00005", "dhk1102", "這ID不噓不行", "02/15 08:27", "0"
"sex#M.1487118140.A.86A#00006", "cgumed2018", "每日mission", "02/15 08:32", "0"
"sex#M.1487118140.A.86A#00007", "lazyfrog", "每日", "02/15 09:04", "0"
"sex#M.1487118140.A.86A#00008", "Royalwarrior", "这ID要推才行", "02/15 09:06", "0"
"sex#M.1487118140.A.86A#00009", "king2255789", "推ID", "02/15 09:07", "0"
"sex#M.1487118140.A.86A#00010", "kyo90637", "一群中國官方來的", "02/15 09:10", "0"
"sex#M.1487118140.A.86A#00011", "bryan29", "噓ID", "02/15 09:11", "0"
"sex#M.1487118140.A.86A#00012", "aa7713333", "id", "02/15 09:13", "0"
"sex#M.1487118140.A.86A#00013", "ahw", "14歲少女彈出來？", "02/15 09:16", "0"
"sex#M.1487118140.A.86A#00014", "ringal", "渣男", "02/15 09:16", "0"
"sex#M.1487118140.A.86A#00015", "MirageAngel", "瘋癡癲癇癟瘸病蠢雜碎共匪愛滋梅毒噬糞吮痰肏噁癌瘤!", "02/15 09:20", "1"
"sex#M.1487118140.A.86A#00016", "zxc17893", "噓ID", "02/15 09:30", "0"
"sex#M.1487118140.A.86A#00017", "parkblack", "每日任務", "02/15 09:32", "0"
"sex#M.1487118140.A.86A#00018", "a91544", "安安", "02/15 09:34", "0"
"sex#M.1487118140.A.86A#00019", "moonzone", "棍狀物體", "02/15 09:36", "0"
"sex#M.1487118140.A.86A#00020", "ksp777com", "解每日囉 不噓不行", "02/15 09:36", "0"
"sex#M.1487118140.A.86A#00021", "jimhawkins", "推ID", "02/15 09:40", "0"
"sex#M.1487118140.A.86A#00022", "l3607316", "解任務", "02/15 09:41", "0"
"sex#M.1487118140.A.86A#00023", "jason90050", "噓ID", "02/15 09:48", "0"
"sex#M.1487118140.A.86A#00024", "paco111paco", "ID", "02/15 09:50", "0"
"sex#M.1487118140.A.86A#00025", "pila4111", "解任務", "02/15 09:55", "0"
"sex#M.1487118140.A.86A#00026", "steventzou", "感謝有你，讓我噓得心安理得", "02/15 10:00", "0"
"sex#M.1487118140.A.86A#00027", "antiyahoo", "台湾是中国的一部份，ID绝对优", "02/15 10:05", "0"
"sex#M.1487118140.A.86A#00028", "macrose", "ID正確", "02/15 10:17", "0"
"sex#M.1487118140.A.86A#00029", "abm311", "每日任務", "02/15 10:23", "0"
"sex#M.1487118140.A.86A#00030", "XP1", "棍狀物體是啥＠＠？怎麼文章沒上色？", "02/15 10:28", "0"
"sex#M.1487118140.A.86A#00031", "Dovahkiin", "台灣人 要給 中國共產黨 統治嗎? 幹你娘!", "02/15 10:29", "0"
"sex#M.1487118140.A.86A#00032", "jameswen", "每日任務", "02/15 10:40", "0"
"sex#M.1487118140.A.86A#00033", "XP1", "６小時才３００元，這麼好康。", "02/15 10:44", "0"
"sex#M.1487118140.A.86A#00034", "CTC0115", "上海姑娘就是彪悍", "02/15 10:48", "0"
"sex#M.1487118140.A.86A#00035", "CreeperC", "噓id", "02/15 10:56", "0"
"sex#M.1487118140.A.86A#00036", "tdemezppur", "來嘍", "02/15 11:01", "0"
"sex#M.1487118140.A.86A#00037", "gzvwxs", "人生第一噓就給你", "02/15 11:15", "0"
"sex#M.1487118140.A.86A#00038", "pn5566", "中國水準不意外 呵呵", "02/15 11:30", "0"
"sex#M.1487118140.A.86A#00039", "chabaterii09", "必須噓", "02/15 11:57", "0"
"sex#M.1487118140.A.86A#00040", "jasonccr", "他國事務", "02/15 12:22", "0"
"sex#M.1487118140.A.86A#00041", "Cheng2042", "26滾", "02/15 12:23", "0"
"sex#M.1487118140.A.86A#00042", "h90040", "閱", "02/15 12:32", "0"
"sex#M.1487118140.A.86A#00043", "tofu0020", "來解任務囉", "02/15 12:42", "0"
"sex#M.1487118140.A.86A#00044", "frogman1128", "推啦  不用講那麼多", "02/15 12:47", "0"
"sex#M.1487118140.A.86A#00045", "kakarrot", "这ID极度台肯", "02/15 13:43", "0"
"sex#M.1487118140.A.86A#00046", "aniji", "爛id滾", "02/15 13:43", "0"
"sex#M.1487118140.A.86A#00047", "ko782", "想刷存在感有種去八卦板 支那狗", "02/15 13:48", "0"
"sex#M.1487118140.A.86A#00048", "rusty8091", "只好噓了", "02/15 13:54", "0"
"sex#M.1487118140.A.86A#00049", "candymm", "支那垃圾", "02/15 13:59", "0"
"sex#M.1487118140.A.86A#00050", "kyan820815", "台灣垃圾", "02/15 15:30", "0"
"sex#M.1487118140.A.86A#00051", "hondahcl", "26滾好嗎", "02/15 16:29", "0"
"sex#M.1487118140.A.86A#00052", "whos456ad", "喔", "02/15 17:04", "0"
"sex#M.1487118140.A.86A#00053", "falconz", "噓ID 我們是台灣 不是中國台灣或是"中"華民"國"", "02/15 17:23", "0"
"sex#M.1487118140.A.86A#00054", "kevin59666", "你這個人整天無所事事就希望大家來噓你？你也是無聊到極致 可悲的人生", "02/15 17:33", "0"
"sex#M.1487118140.A.86A#00055", "ZhengMark", "中國是台灣的一部分", "02/15 18:26", "0"
"sex#M.1487118140.A.86A#00056", "whathappen", "來晚了", "02/15 18:30", "0"
"sex#M.1487118140.A.86A#00057", "andy0624", "來解每日任務", "02/15 18:37", "0"
"sex#M.1487118140.A.86A#00058", "ogkdm256300", "欠噓要說", "02/15 18:40", "0"
"sex#M.1487118140.A.86A#00059", "haringwu", "路過噓一下", "02/15 19:47", "0"
"sex#M.1487118140.A.86A#00060", "boy88115", "每日任務", "02/15 20:10", "0"
"sex#M.1487118140.A.86A#00061", "Dreampen", "我來了", "02/15 20:29", "0"
"sex#M.1487118140.A.86A#00062", "Electricfish", "噓id", "02/15 21:14", "0"
"sex#M.1487118140.A.86A#00063", "syusam0728", "直接噓", "02/15 21:23", "0"
"sex#M.1487118140.A.86A#00064", "wtf0504", "中國台灣你媽", "02/15 21:59", "0"
"sex#M.1487118140.A.86A#00065", "war3", "垃圾支那狗", "02/15 23:26", "0"
"sex#M.1487118140.A.86A#00066", "Dong0129", "每日任務", "02/16 00:57", "0"
"sex#M.1487118140.A.86A#00067", "FuJoShiBanny", "ID", "02/16 03:08", "0"
"sex#M.1487118140.A.86A#00068", "hsuan8871", "來", "02/16 06:41", "0"
"sex#M.1487118140.A.86A#00069", "ejiu4fu6", "噓ID", "02/16 07:16", "0"
"sex#M.1487118140.A.86A#00070", "LeoYuri", "垃圾ID不管制哦？", "02/16 08:14", "0"
"sex#M.1487118140.A.86A#00071", "chunyo0229", "滾", "02/16 09:10", "0"
"sex#M.1487118140.A.86A#00072", "AlphaMC", "完了完了，竟然醜化祖國，要被查水表了你，這次破例補血活久一點", "02/16 10:06", "1"
"sex#M.1487118140.A.86A#00073", "poiuj22000", "垃圾帳號", "02/16 11:18", "0"
"sex#M.1487118140.A.86A#00074", "IOUPTT", "222222222222222222222", "02/16 12:36", "0"
"sex#M.1487118140.A.86A#00075", "s891234", "好可怕。。。。", "02/16 12:52", "0"
"sex#M.1487118140.A.86A#00076", "chapter3", "。", "02/16 13:01", "0"
"sex#M.1487118140.A.86A#00077", "grayway", ".", "02/16 14:11", "0"
"sex#M.1487118140.A.86A#00078", "loveappear", "解任務，補救一下", "02/16 22:16", "0"
"sex#M.1487118140.A.86A#00079", "macho1223", "ID", "02/17 05:49", "0"
"sex#M.1487118140.A.86A#00080", "yoyo860219", "打", "02/18 06:59", "0"
