"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"sex#M.1548239594.A.BDD#00000", "bstp5566", "現在的高中生到底是怎麼了?今日接獲網友爆料，北市華X藝校一名男同學，近在女老師上<br>課過程中，上前直接抱住老師，並做出不雅動作，嚇的該名女老師不斷瘋狂喊叫學務組任<br>，但班上同學竟沒有人幫忙，反而在教室內一陣嘻笑。<br><br>今日一名「小花」的網友提供本刊一段影片，影片短短21秒，影片中可以清楚看到身穿綠<br>色衣服的男同學，衝到台上抱住年輕的女老師，並前後做出不雅動作，女老師想要反抗，<br>無奈力氣完全比不過魁武的男同學，女老師嚇得大叫「老師求你不要這樣。」但看到驚慌<br>失措的女老師，台下的學生竟沒有人來幫忙，反而不斷嘻笑，最後女老師好不容易掙脫，<br>嚇得跑出教室。<br><br>提供影片的「小花」表示，該名學生最後被學校記過，事情也就壓下來，但如此誇張的片<br>段留出，真的讓人想問，現在青年學子的教育到底怎麼了?<br><br>新聞連結(連結內有影片):https://goo.gl/6CBVWF<br><br>--<br>", "", ""
"sex#M.1548239594.A.BDD#00001", "azaz45312", "沒人回", "01/23 18:36", "0"
"sex#M.1548239594.A.BDD#00002", "tre456tw", "扯", "01/23 18:38", "0"
"sex#M.1548239594.A.BDD#00003", "m06m06no1", "華岡出垃圾不意外", "01/23 18:40", "0"
"sex#M.1548239594.A.BDD#00004", "zx333783", "這種人出去只會鬧出更嚴重的事.....應該好好處理不是息事寧人誇張", "01/23 18:42", "0"
"sex#M.1548239594.A.BDD#00005", "ZhouNH4", "有點無聊", "01/23 18:42", "0"
"sex#M.1548239594.A.BDD#00006", "asdzxc1662", "那個是男的吧", "01/23 18:42", "0"
"sex#M.1548239594.A.BDD#00007", "asd0952", "老師是男的嗎?", "01/23 18:43", "0"
"sex#M.1548239594.A.BDD#00008", "francy430", "感覺..在演戲......", "01/23 18:44", "0"
"sex#M.1548239594.A.BDD#00009", "ipassersby", "不管是不是男的都不該這樣吧...", "01/23 18:45", "0"
"sex#M.1548239594.A.BDD#00010", "wubai1119", "農場文", "01/23 18:49", "0"
"sex#M.1548239594.A.BDD#00011", "YellowC", "流啦幹", "01/23 18:49", "0"
"sex#M.1548239594.A.BDD#00012", "ttff", "這很嚴重= =", "01/23 18:52", "0"
"sex#M.1548239594.A.BDD#00013", "althea0628", "直接槍斃吧 賤畜何必有人權", "01/23 18:53", "0"
"sex#M.1548239594.A.BDD#00014", "youuuuuli", "太扯了吧現在高中生...", "01/23 19:01", "0"
"sex#M.1548239594.A.BDD#00015", "noruas", "真的假的", "01/23 19:02", "0"
"sex#M.1548239594.A.BDD#00016", "sk2gjordan", "可悲...", "01/23 19:04", "0"
"sex#M.1548239594.A.BDD#00017", "Vasilii", "在演戲吧", "01/23 19:04", "0"
