"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Boy-Girl#M.1552099286.A.940#00000", "BloodyJoker", "假設你/妳在對的時間遇到了對的人，<br><br>交往一年多之後出現了無論外在條件或心靈契合度都更高的"更對的人"，<br><br>你/妳會怎麼做呢？<br><br>A. 毅然拋下對的人去跟更對的人在一起。<br><br>B. 堅守對的人<br><br>還請各位解惑，謝謝。<br><br>---------------------------------------------------------------------------<br><br>故事是這樣的：<br><br>我朋友(女，30歲)以前跟她單位的學長很聊得來，很喜歡他<br><br>但是他當時有女友，所以我朋友也就沒跟他告白，<br><br>過了一年左右認識了現在的男友，也很愛他，<br><br>但是最近那學長跟女友分手了，她覺得現在的男友對她不如一開始那麼好，<br><br>覺得是不是該談分手然後去跟學長告白。<br><br>我也是認為應該不會有好下場啦...<br><br>但看在朋友一場還是想來問問大家的看法，結果沒想到被噓得那麼慘XD<br><br>謝謝大家<br><br>--<br>", "", ""
"Boy-Girl#M.1552099286.A.940#00001", "holybless", "你的相貌極像唐朝金城武", "06/10 08:45", "0"
"Boy-Girl#M.1552099286.A.940#00002", "Uber", "以後我也會有一棵樹嗎", "06/10 09:11", "0"
"Boy-Girl#M.1552099286.A.940#00003", "Lucianbear", "你會變成那棵樹", "06/10 12:04", "0"
"Boy-Girl#M.1552099286.A.940#00004", "mj2124", "你未必是更對的人心裡的Mr.Right，最後或許二頭空", "03/09 10:44", "0"
"Boy-Girl#M.1552099286.A.940#00005", "Basket0205", "感情沒有對錯 別人也無法替你選擇", "03/09 10:46", "0"
"Boy-Girl#M.1552099286.A.940#00006", "aa5744176", "這根本不用選 你既然認為這是更對的人 之前對的人就比下去了 心已經離開了 還用選？", "03/09 10:53", "1"
"Boy-Girl#M.1552099286.A.940#00007", "bowaveradio", "想劈腿就明說", "03/09 10:54", "0"
"Boy-Girl#M.1552099286.A.940#00008", "Howard61313", "最可怕的情形就是一樓說的兩頭空", "03/09 10:59", "0"
"Boy-Girl#M.1552099286.A.940#00009", "Koonghuoy", "建議先都不要選，因為之後會出現超級對的人，然後最後出現最對的人，選最對的那個就好了", "03/09 10:59", "1"
"Boy-Girl#M.1552099286.A.940#00010", "bowaveradio", "已經有點變心了，還在那邊假清高，饒了對方吧，趕快先提分手連交往時間都寫出來，還假設個屁", "03/09 11:00", "1"
"Boy-Girl#M.1552099286.A.940#00011", "darkness11", "既然已經有對象，就不應該讓另一個人有機會深入你的心靈吧", "03/09 11:08", "1"
"Boy-Girl#M.1552099286.A.940#00012", "pinkpatty", "B 怎麼知道另一位是更對的人？", "03/09 11:08", "0"
"Boy-Girl#M.1552099286.A.940#00013", "shikiaki", "遇到對的就不會再去認識新的了，還更對咧 ……", "03/09 11:10", "0"
"Boy-Girl#M.1552099286.A.940#00014", "assess", "自己決定啦", "03/09 11:12", "0"
"Boy-Girl#M.1552099286.A.940#00015", "AzakaH", "哈哈哈  分手起手式預備起！", "03/09 11:15", "0"
"Boy-Girl#M.1552099286.A.940#00016", "WJAider", "騎驢找馬的另一種說法而已咩", "03/09 11:16", "0"
"Boy-Girl#M.1552099286.A.940#00017", "tsaiss", "B，伊甸園選蘋果故事，最後只會兩頭空，而且對的人已經很滿足", "03/09 11:16", "0"
"Boy-Girl#M.1552099286.A.940#00018", "aamomi", "一開始都馬更對 等到時間久了 更對的人又被降到對的人 然後又出現更對的人 然後更對的人變對的人 再出現更對的人...", "03/09 11:17", "1"
"Boy-Girl#M.1552099286.A.940#00019", "edward0811", "絕對是A,因為你選B也會不停的產生新A出來，有A的誕生，B早已永遠不是對的人", "03/09 11:22", "0"
"Boy-Girl#M.1552099286.A.940#00020", "yz122534", "一直換新的換到最後一場空 變成自己沒人要", "03/09 11:31", "0"
"Boy-Girl#M.1552099286.A.940#00021", "warlockeric", "越有錢越帥的人=更對的人，選我正解", "03/09 11:36", "0"
"Boy-Girl#M.1552099286.A.940#00022", "senkawa", "什麼更對？ 那你對於你說是對的人真的是對的嗎？", "03/09 11:41", "0"
"Boy-Girl#M.1552099286.A.940#00023", "rexchou1201", "就是想劈腿而已不是嗎？", "03/09 11:44", "0"
