"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Boy-Girl#M.1554975460.A.20F#00000", "sentaifans", "※ 引述《JEWH (99)》之銘言：<br>: 以前出門要抓頭髮 都會洗慣洗頭順便洗澡<br>: 現在雖然沒在抓頭髮了 但已經習慣出門前都會洗澡<br>: 買便當或者買飲料那種除外 是指去看電影或吃飯之類<br>: 不過身邊朋友不多出門前會習慣洗澡 有朋友說我這樣很娘<br>: 想聽聽看男女版各位的意見<br>: 我個人覺得出門前洗澡把自己打理乾淨是個禮貌啦<br>哇靠，這麼娘的舉動竟然有這麼多人在做？<br>拜託喔，拿這些弄外表的時間好好充實自己的內在涵養好嗎？難怪現在一堆花瓶，看了真倒胃<br><br>你如果出門就要洗澡，你一天是要洗幾次？<br>我認識的女生都還沒人這樣咧！你也太誇張了吧！<br><br>--<br>", "", ""
"Boy-Girl#M.1554975460.A.20F#00001", "sentaifans", "平時懂得保持乾淨，身上就不會有異味了，還是平常身上會多髒啊！", "04/11 17:40", "1"
"Boy-Girl#M.1554975460.A.20F#00002", "namis77", "你不是多汗人吧～習慣還要被人挑（聳肩", "04/11 17:53", "0"
"Boy-Girl#M.1554975460.A.20F#00003", "PetrVanis", "哦 你生活過很好哦 都不會流汗的", "04/11 17:54", "0"
"Boy-Girl#M.1554975460.A.20F#00004", "shikiaki", "男生很容易有味道啊，有流汗就沖一下滿正常的。", "04/11 17:58", "0"
"Boy-Girl#M.1554975460.A.20F#00005", "sentaifans", "有流汗等於出門要洗澡？我真佩服你們幾個的邏輯，沖一下等於洗澡嗎？不太一樣欸", "04/11 18:02", "0"
"Boy-Girl#M.1554975460.A.20F#00006", "redapple34", "洗澡10分鐘，算沖一下嗎？", "04/11 18:04", "0"
"Boy-Girl#M.1554975460.A.20F#00007", "sentaifans", "你覺得原po洗澡會只有十分鐘嗎？", "04/11 18:13", "0"
"Boy-Girl#M.1554975460.A.20F#00008", "assess", "愛乾淨比較好，有什麼娘？", "04/11 18:17", "0"
"Boy-Girl#M.1554975460.A.20F#00009", "namis77", "你邏輯才怪咧，每個人都有自己的習慣，有異味出門也沒差啊，奇葩想法", "04/11 18:44", "1"
"Boy-Girl#M.1554975460.A.20F#00010", "dddc", "人家說不定回家沒洗阿== 你管他", "04/11 18:54", "0"
"Boy-Girl#M.1554975460.A.20F#00011", "howard061288", "你這邏輯推演 真的神", "04/11 19:19", "0"
"Boy-Girl#M.1554975460.A.20F#00012", "okinawa8", "臭宅不要出來害人 嘔嘔嘔", "04/11 19:23", "0"
"Boy-Girl#M.1554975460.A.20F#00013", "sentaifans", "所以潔癖是最棒的？你要不要看看自己的邏輯多可笑？每個人都有自己的習慣，我也習慣看到娘炮就出來譙一下，你管啥洨？自己根本說不出別人哪裡邏輯有問題，光會嘴炮，你真的好棒棒", "04/11 19:25", "0"
"Boy-Girl#M.1554975460.A.20F#00014", "crispycarrot", "反串=     =?", "04/11 19:26", "0"
"Boy-Girl#M.1554975460.A.20F#00015", "sentaifans", "反串的是無腦的你們吧？", "04/11 19:27", "0"
"Boy-Girl#M.1554975460.A.20F#00016", "okinawa8", "你敢譙我敢噓", "04/11 19:29", "0"
"Boy-Girl#M.1554975460.A.20F#00017", "crispycarrot", "https//i.imgur.com/Gp06DSC.jpg", "04/11 19:29", "0"
"Boy-Girl#M.1554975460.A.20F#00018", "limpiz", "至少比沒外表也沒內涵的好...", "04/11 19:31", "0"
"Boy-Girl#M.1554975460.A.20F#00019", "sentaifans", "我敢說怕你們無腦噓不成？笑死，自己無腦，不懂道理，只會貼這種無聊的圖，我也只是笑笑", "04/11 19:35", "0"
"Boy-Girl#M.1554975460.A.20F#00020", "crispycarrot", "你的水準配無腦的圖還嫌太低ok", "04/11 19:37", "0"
"Boy-Girl#M.1554975460.A.20F#00021", "duem11", "跟娘有什麼關係啊", "04/11 19:48", "0"
"Boy-Girl#M.1554975460.A.20F#00022", "namis77", "標準打臉", "04/11 20:17", "0"
"Boy-Girl#M.1554975460.A.20F#00023", "w05241030", "勇者，幫你推一個，讓你有扣打戰他媽的", "04/11 20:18", "0"
"Boy-Girl#M.1554975460.A.20F#00024", "lh0328", "慘", "04/11 20:19", "0"
"Boy-Girl#M.1554975460.A.20F#00025", "God12345566", "拿潔癖來跟歧視別人比，這邏輯簡直死了，人家潔癖是有干擾到你？你批評別人可是實實在在的干擾到他人", "04/11 20:23", "1"
"Boy-Girl#M.1554975460.A.20F#00026", "roytsai", "老子習慣出門洗澡乾你屁事？還不是比肥宅壯", "04/11 20:23", "0"
"Boy-Girl#M.1554975460.A.20F#00027", "tlun96578", "會這樣說別人的人 涵養看來也不怎麼樣", "04/11 20:24", "0"
"Boy-Girl#M.1554975460.A.20F#00028", "crispycarrot", "放血", "04/11 20:24", "0"
"Boy-Girl#M.1554975460.A.20F#00029", "mrLian", "有些人就算不流汗還是體味，洗一下也不會礙到別人吧", "04/11 20:32", "0"
"Boy-Girl#M.1554975460.A.20F#00030", "halfgodhsiao", "笑死 「我也是笑笑」都出來了 捐點體力讓你戰", "04/11 20:35", "0"
"Boy-Girl#M.1554975460.A.20F#00031", "toastade", "夏天流汗很臭，出門洗個澡不為過吧？", "04/11 20:40", "0"
"Boy-Girl#M.1554975460.A.20F#00032", "KMTRIP", "反串仔", "04/11 20:46", "0"
"Boy-Girl#M.1554975460.A.20F#00033", "tony235", "這如果不是反串真的堪憂", "04/11 20:47", "0"
"Boy-Girl#M.1554975460.A.20F#00034", "simcarddd", "原po把這些時間省下來以後充實了什麼 可以分享一下嗎", "04/11 20:48", "0"
"Boy-Girl#M.1554975460.A.20F#00035", "fkmt", "洗個澡出門清爽心情好 錯了嗎", "04/11 20:50", "0"
"Boy-Girl#M.1554975460.A.20F#00036", "bb1490tw", "如果是跟女生約會的話我會洗澡，男生就算了", "04/11 20:52", "0"
"Boy-Girl#M.1554975460.A.20F#00037", "ha878787", "充實內涵跟洗澡衝突在哪", "04/11 20:52", "0"
"Boy-Girl#M.1554975460.A.20F#00038", "k22941920", "住海邊哦", "04/11 20:56", "0"
"Boy-Girl#M.1554975460.A.20F#00039", "sunstarteth", "可能你每天都拿出門前30分鐘精進自己吧", "04/11 20:56", "0"
"Boy-Girl#M.1554975460.A.20F#00040", "a12838910", "圍觀", "04/11 20:59", "0"
"Boy-Girl#M.1554975460.A.20F#00041", "benny185777", "哈哈哈哈 語畢。笑爛", "04/11 21:02", "0"
"Boy-Girl#M.1554975460.A.20F#00042", "hymmmmm", "臭死了有夠沒公德心", "04/11 21:04", "0"
"Boy-Girl#M.1554975460.A.20F#00043", "crispycarrot", "哈哈邏輯哈哈 哈哈被噓哈哈", "04/11 21:05", "0"
"Boy-Girl#M.1554975460.A.20F#00044", "dogncat", "夏天到了洗澡好嗎", "04/11 21:08", "0"
"Boy-Girl#M.1554975460.A.20F#00045", "Chung1122", "難怪出門都有一股酸味", "04/11 21:12", "0"
"Boy-Girl#M.1554975460.A.20F#00046", "pillooow", "堪憂", "04/11 21:15", "0"
"Boy-Girl#M.1554975460.A.20F#00047", "depe5175", "還好我身上只有哈味", "04/11 21:18", "0"
