"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Boy-Girl#M.1555846792.A.B10#00000", "dreamingyou", "最近好幾篇討論女生不工作耶<br><br>但我個人是覺得滿好的啊<br><br>不知道為什麼那麼多人沒辦法接受?<br><br><br>我個人月薪獎金年終加起來是月收破十萬<br><br>給她一個月三萬也還好<br><br>然後我回家不用洗碗 煮飯 洗衣服 顧小孩 做任何家事<br><br>也不用怕老婆出去跟男同事亂搞<br><br>其實現代會這麼亂就是因為女性追求自主 一定要出去工作<br><br>一直吵什麼家務分工<br><br>不然像傳統我爸他們那代  我媽也沒工作啊<br><br>把我們養得好好的 還不是相安無事<br><br>結果這代每天回家都在吵公不公平 不累嗎<br><br>跟上一代那樣男主外女主內不好?<br><br><br>有男人說說看嗎?<br><br>--<br>", "", ""
"Boy-Girl#M.1555846792.A.B10#00001", "k268185", "你怎麼會有沒工作就不會亂搞的錯覺", "04/21 19:41", "0"
"Boy-Girl#M.1555846792.A.B10#00002", "suiminkusuri", "因為他自己就在外面亂搞", "04/21 19:42", "0"
"Boy-Girl#M.1555846792.A.B10#00003", "carnie", "所以什麼鍋要配什麼蓋啊 就一堆鍋硬要蓋遷就 真 莫名其妙一樓是想洗腦原波吧 被我看穿了其實真的也沒啥好吵 談戀愛目的就是要磨合", "04/21 19:42", "1"
"Boy-Girl#M.1555846792.A.B10#00004", "carnie", "磨合不了就分手 怎麼不承認自己沒說服對方的本事", "04/21 19:44", "0"
"Boy-Girl#M.1555846792.A.B10#00005", "elsa1721", "如果你在外面買房子而且全部靠自己，我就補推回來，沒有靠父母的情況下怎樣欠不得噓喔，態度差喔，建校=轉生氣喔", "04/21 19:47", "0"
"Boy-Girl#M.1555846792.A.B10#00006", "dreamingyou", "噓三小 我有錢買房子但要結婚前才買 買不起眼紅喔?", "04/21 19:48", "0"
"Boy-Girl#M.1555846792.A.B10#00007", "kyosp", "月薪嬌妻的話 3萬只是家用吧 你還要另外給他一分薪水加獎，金", "04/21 19:49", "0"
"Boy-Girl#M.1555846792.A.B10#00008", "elsa1721", "怎樣不能噓喔，你這種態度是三小他媽欠噓啦", "04/21 19:49", "0"
"Boy-Girl#M.1555846792.A.B10#00009", "dreamingyou", "你噓我態度就很好? 還是因為莫名奇妙的理由噓，自己買不起房就覺得別人買不起 摳憐", "04/21 19:50", "0"
"Boy-Girl#M.1555846792.A.B10#00010", "carnie", "反正我個人是支持大家不婚啦 不婚就不生 少子化超棒", "04/21 19:50", "0"
"Boy-Girl#M.1555846792.A.B10#00011", "elsa1721", "怕被噓就不要發文，文章發出來本來就可以推可以噓不怕被噓你態度在三小什麼有膽量直接髒話罵我看看", "04/21 19:51", "0"
"Boy-Girl#M.1555846792.A.B10#00012", "dreamingyou", "我的文從來不怕噓啦 我被噓還會少喔 但第一次被自己窮卻覺得別人跟你一樣窮的噓 頗呵", "04/21 19:52", "1"
"Boy-Girl#M.1555846792.A.B10#00013", "elsa1721", "不要只會三小三小，我等你罵", "04/21 19:53", "0"
