"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Boy-Girl#M.1558343140.A.3F6#00000", "Skette", "我要抱怨我女友！！！<br>想當初決定跟妳在一起，<br>我可是做好要照顧妳一輩子的打算<br>從認識到交往，妳一直在破病，三不五時帶你去看醫生<br>連上班上到一半電話中聽到你在咳嗽<br>我都立刻請假載妳到醫院<br>一直以來，我都以為你只要儘管依賴我就好<br>雖然一剛開始，很多人不看好我們<br><br>說什麼我只是喜歡你的外表<br>說什麼我們認識沒多久就交往…<br>對方的家世背景根本不瞭解<br>甚至很多人懷疑你是為了錢才跟我在一起<br>但那是因為他們不瞭解你<br>你不但長得漂亮，個性還很善良<br>見過幾次以後，我就覺得我一定要追到妳<br><br>我們的將來也如同我原先規劃的一樣<br>我開了一間店...<br>跟很多年輕人面臨到的一樣的問題<br>資金不足、不敢請員工，<br>再加上我自己本身對創業的堅持，樣樣都要自己來<br>沒想到卻開啟了妳的惡夢人生<br>妳本身有工作，但妳很好的是每次一下班就跑來店裡幫忙<br>也不抱怨我沒辦法像其他情侶一樣，<br>陪你看電影、逛街、甚至陪你跟姐妹聚會<br>還曾經害你被朋友誤會你真的有男友嗎？<br>也不委屈，妳來幫忙還要承受我的責罵<br>也不可憐，妳來幫忙沒有領薪水<br>甚至我錢轉不過來的時候妳還貼錢幫我<br>就這樣又過了一段時間，我出了一場很嚴重的車禍<br>從加護病房醒來後，只看到你在病床旁照顧我<br>雖然我在妳面前一直說沒事，<br>但我真的很怕要坐在輪椅上一輩子....<br>在這復健的過程中....妳也堅定的陪著我<br>一直跟我說我是最棒的！<br>雖然有幾次我想跟妳提分手，讓你去追求新的幸福<br>但請原諒我，這些話我始終沒說出口<br>幸好如今恢復的不錯，沒什麼後遺症<br>唯一的問題就是....妳太好了<br>讓我想趕快娶妳<br><br>說真的，當初我對實體約會沒什麼期待，<br>也不相信那些配對系統能幫我到心儀的女孩<br>但沒想到你是我這輩子最想娶回家的人<br>所以我現在得努力做兩份工作，努力存錢，努力充實自己<br>好讓我趕快能夠把妳娶回家<br><br>對了<br>在這裡懇求認出我的朋友不要跟她說<br>因為我想給她一個驚喜<br>如果你們願意的話，希望大家幫我一起集氣<br>希望我求婚的那一天<br>她會感動的說：「我願意」<br><br>https://i.imgur.com/E3yS4FF.jpg<br>(照片是先前她幫我慶生時請店員拍得，<br>也是我非常珍惜的一張)<br><br>更新：<br><br>雖然被噓爆，但就當大家祝我幸福了<br><br>謝謝各位<br><br>--<br>", "", ""
"Boy-Girl#M.1558343140.A.3F6#00001", "kamehameha12", "滾", "05/20 17:06", "0"
"Boy-Girl#M.1558343140.A.3F6#00002", "okuuuurt", "好甜蜜的照片喔～祝福你", "05/20 17:07", "0"
"Boy-Girl#M.1558343140.A.3F6#00003", "dripping", "是祝福你啦 只是為啥要用這標題來欺負(放閃)單身人士", "05/20 17:10", "0"
"Boy-Girl#M.1558343140.A.3F6#00004", "chrisyo", "祝福推（一樓撿到槍？）", "05/20 17:10", "0"
"Boy-Girl#M.1558343140.A.3F6#00005", "oliegod", "祝福", "05/20 17:10", "0"
"Boy-Girl#M.1558343140.A.3F6#00006", "wowbox", "看照片版主身材非常的圓(誤) 壯碩才對，配上這麼一個小鳥依人的女友  又願意照顧你這麼好的女孩哪裡找？  我每天狂跑健身房也遇不到半個…真的讓人有一點羨慕啊…可惡~~", "05/20 17:11", "0"
"Boy-Girl#M.1558343140.A.3F6#00007", "peggypppp90", "女友感覺皮膚好漂亮", "05/20 17:12", "0"
"Boy-Girl#M.1558343140.A.3F6#00008", "pennyea618", "所以這標題到底在說啥", "05/20 17:14", "0"
"Boy-Girl#M.1558343140.A.3F6#00009", "mvpdirk712", "羨慕噓", "05/20 17:14", "0"
