"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Boy-Girl#M.1558935493.A.790#00000", "adw4413", "去年9月，我與我的前女友分手，每天悲痛不已，朋友看不下去，介紹了一位他在遊戲上認識的一個女孩給我。<br><br>這位女孩很開朗、天真，甚至有時候很口無遮攔    那時候的我還沒放下前一段感情，所以僅僅把她當作朋友，嚴格來說應該是一位訴苦的對象，而在這期間聊天的時候，她都會時不時會撩我一下，但我並沒有把這個看的太認真（由於我前面所說的她常常口無遮攔）但在之後某一天聊天發現他的價值觀、對生活態度、習慣都跟我很像，從那時候開始我就漸漸的對她產生了好感，之後的聊天我也會開始時不時的講一些曖昧的話，直到有一天他直接問我說，我說這些話是認真的嗎？我才跟他告白<br><br>告白之後，她並沒有直接說要在一起，但是在之後我們的聊天模式越來越像男女朋友，例如會叫彼此北鼻之類的，每天早上上班、下班都會講一會兒電話，晚上睡覺時也會把電話掛著一起睡著，一起玩遊戲，所有的行為模式都跟男女朋友一樣，但是唯一一點就是，她不敢跟我見面、也不敢給我ig....<br><br>這期間曾經約過好幾次見面（好幾次都是她約我的），但是最後都沒見成，有幾次的理由實在讓我無法理解，例如：我為了她請假上課而感到很愧疚、忘記要跟家人出去玩、覺得跟我見面很緊張。但最後我得知她是第一次在網路上認識別人，她會怕我會對她不利（不敢給ig也是這個原因）......知道後我也沒再跟她要求見面，取而代之的是等她敢跟我見面時再見面。<br><br>時間來到了4/20我從國外參加會議回國（大約一個禮拜的時間）她的態度突然間變得與以前不一樣，變的有點冷淡，我曾經追問了幾次，她都說沒有呀跟平常一樣，但其實我還是感覺出來變了，於是我就再認真問他一次，她跟我坦白：因為她在我出國這段時間看了「我們與惡的距離」這部劇，她發現她內心對家人的渴望又被喚起，她想要多陪家人。<br><br>這裡我需要先打岔一下，她其實是一位非常非常愛她媽媽的一位女孩，跟她相處過程中其實也感覺的出來，甚至她在我還跟她在一起時曾經問我說：「如果我是個不婚主義者，你還會想跟我在一起嗎？」但其實她這個念頭她自己也沒辦法確定，她曾說：「以前的她，親情跟愛情她都不想放，但是因為這部劇，她對家人的渴望越來越強烈」<br><br>但是最讓我匪夷所思的是，我並沒有要求她時間都要花在我身上，甚至我們在一起時，我們相處的時間嚴格來說並沒有她陪家人的時間多，我唯一能與她相處的時間就是上下班那半小時及睡前的電話時間.....然而因為那部劇，相處時間更少了，直到最後分手<br><br>分手後其實也談論過這件事，她說她其實可以不需要愛情，甚至可以不結婚自己進養老院....<br><br>我只是很不明白，如果真的喜歡一個人，真的有辦法說不喜歡就不喜歡嗎？那如果妳不喜歡我，為什麼還要跟我這麼像男女朋友，跟我撒嬌、跟我說妳想我、跟我說妳愛我、跟我說了很多男女朋友才會說的話還有承諾，然後在我對妳無法自拔時，妳卻狠狠的抽離，獨留我一個人在原地....<br><br>即便到現在，我還是很想妳.....<br>-----<br>Sent from JPTT on my iPhone<br><br>--<br>", "", ""
"Boy-Girl#M.1558935493.A.790#00001", "m0630821", "你們不算有交往的感覺", "05/27 13:40", "0"
"Boy-Girl#M.1558935493.A.790#00002", "kobe8112", "你那位介紹人朋友跟她該不會也純粹網路認識而已...", "05/27 13:41", "0"
"Boy-Girl#M.1558935493.A.790#00003", "vince4687", "笑死 沒見過面也可以交往 某干單", "05/27 13:42", "0"
"Boy-Girl#M.1558935493.A.790#00004", "goal56", "因該是正牌男友不爽了吧", "05/27 13:43", "0"
"Boy-Girl#M.1558935493.A.790#00005", "nacy204327", "別做夢了啦 他就只是盜照片玩你感情的死肥宅", "05/27 13:44", "0"
"Boy-Girl#M.1558935493.A.790#00006", "jidou", "網路認識的，到處都可疑，不能說是因為一部劇害的，我也懷疑性別，畢竟這些都未知", "05/27 13:44", "0"
"Boy-Girl#M.1558935493.A.790#00007", "tomopo110705", "不算交往+1", "05/27 13:44", "0"
"Boy-Girl#M.1558935493.A.790#00008", "dancelight", "你遇到神經病吧", "05/27 13:48", "0"
"Boy-Girl#M.1558935493.A.790#00009", "tsuki0826", "本來心癢癢想跟你發展但你出國後他突然想通還是原來的男友比較好，真實經驗給你參考", "05/27 13:49", "1"
"Boy-Girl#M.1558935493.A.790#00010", "rindesu", "這樣也算交往？", "05/27 13:49", "0"
"Boy-Girl#M.1558935493.A.790#00011", "book2381", "還沒交往吧", "05/27 13:49", "0"
"Boy-Girl#M.1558935493.A.790#00012", "miruw", "還沒見過面你確定這個人是單身女孩兒嗎...", "05/27 13:51", "0"
"Boy-Girl#M.1558935493.A.790#00013", "koyo167", "死肥宅幻想文，連見面都沒有就能交往也只能說是白痴了", "05/27 13:52", "0"
"Boy-Girl#M.1558935493.A.790#00014", "LuciusMalfoy", "見面後發現是個大叔", "05/27 13:53", "0"
"Boy-Girl#M.1558935493.A.790#00015", "bugbuug", "其實是他收到兵單了啦", "05/27 13:55", "0"
"Boy-Girl#M.1558935493.A.790#00016", "EdloveNi", "都給你腦補", "05/27 13:57", "0"
"Boy-Girl#M.1558935493.A.790#00017", "Biatch5566", "所以連照片都沒看過嗎？", "05/27 13:59", "0"
"Boy-Girl#M.1558935493.A.790#00018", "LadyTomato", "冷靜，你們根本沒見過面欸，你愛的只是你自己的腦補！", "05/27 14:00", "0"
"Boy-Girl#M.1558935493.A.790#00019", "Reneeeating", "沒見面這啥鬼？", "05/27 14:02", "0"
"Boy-Girl#M.1558935493.A.790#00020", "psu1328", "沒見過面....", "05/27 14:04", "0"
"Boy-Girl#M.1558935493.A.790#00021", "superlilo555", "神經病嗎", "05/27 14:07", "0"
"Boy-Girl#M.1558935493.A.790#00022", "DONNY", "北鼻 人家兵單來了  兩個禮拜後見喔 啾咪", "05/27 14:09", "0"
"Boy-Girl#M.1558935493.A.790#00023", "Leony", "這種理由你相信？", "05/27 14:11", "0"
"Boy-Girl#M.1558935493.A.790#00024", "wateryoo", "冷靜，她不跟你見面說不定是她給你的照片是假的", "05/27 14:11", "0"
"Boy-Girl#M.1558935493.A.790#00025", "SSglamr", "沒說他媽媽重病要醫藥費很好了", "05/27 14:12", "0"
"Boy-Girl#M.1558935493.A.790#00026", "Anyotw", "我跟林志玲也分手了", "05/27 14:15", "0"
"Boy-Girl#M.1558935493.A.790#00027", "abby9160", "你們沒有交往", "05/27 14:15", "0"
"Boy-Girl#M.1558935493.A.790#00028", "evilrabbit", "沒見過面...", "05/27 14:16", "0"
"Boy-Girl#M.1558935493.A.790#00029", "darkdixen", "不忍噓", "05/27 14:16", "0"
"Boy-Girl#M.1558935493.A.790#00030", "wryyyyyyyy", "可撥", "05/27 14:19", "0"
"Boy-Girl#M.1558935493.A.790#00031", "freeflying", "分手時，什麼都是藉口，假的，只有分手是真的", "05/27 14:19", "0"
"Boy-Girl#M.1558935493.A.790#00032", "GodBull", "你是不是不借她錢", "05/27 14:26", "0"
"Boy-Girl#M.1558935493.A.790#00033", "lostmysmile", "你們根本沒在一起啊，連實際長怎樣都不知道不是嗎...", "05/27 14:28", "1"
"Boy-Girl#M.1558935493.A.790#00034", "korgh413", "點數沒買夠啦", "05/27 14:29", "0"
"Boy-Girl#M.1558935493.A.790#00035", "KJoshT", "這是夢境，沒見過面的夢境", "05/27 14:29", "0"
"Boy-Girl#M.1558935493.A.790#00036", "peggyaa", "雪梨歌劇院", "05/27 14:32", "0"
"Boy-Girl#M.1558935493.A.790#00037", "asf164912", "大家小力一點，我跟新垣結衣分手時也這樣", "05/27 14:40", "0"
"Boy-Girl#M.1558935493.A.790#00038", "HayaSan", "其實那個女生就是介紹你們認識的朋友 選我正解", "05/27 14:40", "0"
"Boy-Girl#M.1558935493.A.790#00039", "lyukuo", "好傻", "05/27 14:41", "0"
"Boy-Girl#M.1558935493.A.790#00040", "abba0120", "QQ", "05/27 14:45", "0"
"Boy-Girl#M.1558935493.A.790#00041", "jadeu00379", "網路怎麼相處?!", "05/27 14:48", "0"
"Boy-Girl#M.1558935493.A.790#00042", "proveying", "首先要先在一起才能分手", "05/27 14:49", "0"
"Boy-Girl#M.1558935493.A.790#00043", "Paradox", "國中生不適合來PT喔 弟弟，PTT*", "05/27 14:57", "0"
"Boy-Girl#M.1558935493.A.790#00044", "ShibaMiyuki", "笑死", "05/27 14:57", "0"
"Boy-Girl#M.1558935493.A.790#00045", "a23544", "幫你畫關鍵字 "她並沒有直接說要在一起" 你們根本沒有在一起 不要想了 真的喜歡你的女生不會這樣的", "05/27 15:02", "1"
"Boy-Girl#M.1558935493.A.790#00046", "dominjin", "大概要去當兵了別想太多", "05/27 15:02", "0"
"Boy-Girl#M.1558935493.A.790#00047", "DollyNeko", "沒有見過面哪招 夢一場", "05/27 15:03", "0"
"Boy-Girl#M.1558935493.A.790#00048", "jj90382", "噓醒你 網公網婆嗎？", "05/27 15:03", "0"
"Boy-Girl#M.1558935493.A.790#00049", "anzari", "原po都說靠電話相處了 不是收到兵單啦", "05/27 15:06", "0"
"Boy-Girl#M.1558935493.A.790#00050", "TKW5566", "？？", "05/27 15:07", "0"
"Boy-Girl#M.1558935493.A.790#00051", "XXXXXXXXXXXD", "瞎", "05/27 15:08", "0"
"Boy-Girl#M.1558935493.A.790#00052", "StayJunkies", "如果這是真的 我真的不忍心噓你", "05/27 15:09", "0"
"Boy-Girl#M.1558935493.A.790#00053", "anzari", "然後這理由不是另有隱情就是她頭撞到車", "05/27 15:10", "0"
"Boy-Girl#M.1558935493.A.790#00054", "zz860619", "有通電話不是嗎 不過沒見面 你自己別想太多阿", "05/27 15:15", "0"
"Boy-Girl#M.1558935493.A.790#00055", "LeonRai", "怪到劇上去？可以不要這麼油膩膩好嗎", "05/27 15:16", "0"
"Boy-Girl#M.1558935493.A.790#00056", "nike2497070", "沒見面沒相處 也可以陷那麼深 我服了你 你當你在交，網婆嗎？", "05/27 15:17", "0"
"Boy-Girl#M.1558935493.A.790#00057", "way6520", "這樣算交往？", "05/27 15:18", "0"
"Boy-Girl#M.1558935493.A.790#00058", "maoxi", "都沒見過面", "05/27 15:29", "0"
