"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Boy-Girl#M.1560408517.A.6F9#00000", "s3103006", "交往快滿一年了<br><br>最近吵架次數太頻繁 女方提了搬出去並分手 想問問怎麼辦..<br><br>補充女生的優點:<br>1. 真性情 人脾氣偶爾比較大 但是不會做作 相處起來愉快<br>   而且我能感覺她應該是真的喜歡我<br><br>2. 對我還滿好的 出去逛街看到好吃的會幫我買<br>   會煮飯給我吃<br><br>吵架的點:<br><br>----------<br><br>1. 公平與否:<br><br>舉例來說 有一次她我衣服曬到一半 她覺得待在家中太悶 想出去走走<br><br>我說好 然後我看到洗衣袋散亂的放在地上 就隨手折了一下<br><br>她的反應是我在故意拖延 衝著我發脾氣<br><br>事後她的解釋是覺得我做任何事情都拖拖拉拉 所以生氣<br>--<br>", "", ""
"Boy-Girl#M.1560408517.A.6F9#00001", "qcandyq", "珍惜什麼 真的看不懂...分吧", "06/13 14:52", "0"
"Boy-Girl#M.1560408517.A.6F9#00002", "VincentQQ", "太長看不懂 分", "06/13 14:54", "0"
"Boy-Girl#M.1560408517.A.6F9#00003", "namis77", "公主養成 成功！", "06/13 14:54", "0"
"Boy-Girl#M.1560408517.A.6F9#00004", "amberleepig2", "她吃定你了，拜託快分好嗎？", "06/13 14:55", "0"
"Boy-Girl#M.1560408517.A.6F9#00005", "superian318", "你只是怕自己很想他吧 別浪費時間了", "06/13 14:56", "0"
"Boy-Girl#M.1560408517.A.6F9#00006", "fallforyou11", "這是包養不是交往吧 出錢的還這麼卑微是怎樣", "06/13 14:57", "0"
"Boy-Girl#M.1560408517.A.6F9#00007", "eighth", "你們價值觀衝突很嚴重，根據你的描述看起來也難以磨合，可以的話還是放手吧，對你對她都好", "06/13 14:57", "1"
"Boy-Girl#M.1560408517.A.6F9#00008", "yufat", ""那老是不夠的話 肯定要找原因" 你們都中國人? 講話怪怪的", "06/13 14:58", "1"
"Boy-Girl#M.1560408517.A.6F9#00009", "victor3359", "三小啦", "06/13 14:58", "0"
"Boy-Girl#M.1560408517.A.6F9#00010", "tellthe", "可以問一下她是認真要分的嗎？你說她要月花5、6萬但以沒了你她能這麼敢花嗎？看前面覺得她沒愛了看後面覺得她提分是在幫你阿...", "06/13 14:59", "1"
"Boy-Girl#M.1560408517.A.6F9#00011", "bigmod", "一個月賺不到一萬，房租都有問題，很會就會回頭找你了", "06/13 15:01", "0"
