"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Boy-Girl#M.1560789886.A.D33#00000", "dreamingyou", "最近阿翔的事件我們可以看到<br><br>台灣的女生不管再怎麼漂亮有氣質<br><br>怎麼刻苦耐勞陪著老公白手起家<br><br>生了小孩之後就會身價爆跌<br><br>而且還是阻止不了老公出軌<br><br>出軌是比較糟的情況 喝茶吃魚還算比較好的 至少沒感情<br><br>不然跟外面女生朝夕相處那種悸動<br><br>就算被迫分開了 還是會留在心裡很久<br><br>之後也有可能會舊情復燃<br><br><br>事實上就是 台灣的男生 90%以上都有出軌的可能 差在有沒有機會罷了<br><br>畢竟老婆在家裡天天見面就是沒那麼有話題 能看的也都看膩了<br><br>我相信很多女生看了阿翔事件之後就開始人人自危<br><br>覺得說 哦 連她那麼漂亮老公都會出軌 我這種的怎麼辦<br><br>我這邊會給幾個建議<br><br><br>第一個就是 不要讓自己那麼無聊 整天小孩小孩的 國際時事啦 財經啦 社會議題<br><br>都要懂一點 不要讓男人覺得外面女人比妳見多識廣<br><br>第二個就是 不要讓身材跟臉蛋壞掉 Grace雖然看起來美<br><br>但是感覺還是有皺紋 但謝忻一張臉澎澎的 滿滿膠原蛋白 感覺就超白嫩<br><br>第三個就是 不要老是拿小孩去煩男人<br><br>新聞都說阿翔是好爸爸 然後說都是阿翔在忙進忙出 忙小孩的事<br><br>拜託阿翔賺多少錢啊 還要幫小孩弄東弄西<br><br>當然一想到回家就是壓力 就覺得家花比不上野花香<br><br><br>這些是我覺得 台女要不讓自己那麼悲哀可以做的事啦 以上<br><br>--<br>", "", ""
"Boy-Girl#M.1560789886.A.D33#00001", "fatetwister", "通篇充滿膚淺和自以為 真的很棒呢", "06/18 00:48", "0"
"Boy-Girl#M.1560789886.A.D33#00002", "suiminkusuri", "不愧是背著女友在外面嫖妓過的台男 說起來特別有說服力", "06/18 00:49", "1"
"Boy-Girl#M.1560789886.A.D33#00003", "mj2124", "90%你爸出軌了沒，不要結婚就沒事了啊，沒小孩煩你拿錢去吃魚喝茶到老家也不用回，一點壓力都沒有呢", "06/18 00:49", "0"
"Boy-Girl#M.1560789886.A.D33#00004", "aa22412", "完全沒提到是男人自己不自愛呢 所以女方出軌也是同理可證快點放過你女友好嗎", "06/18 00:49", "1"
"Boy-Girl#M.1560789886.A.D33#00005", "Eligor41", "呵呵", "06/18 00:50", "0"
"Boy-Girl#M.1560789886.A.D33#00006", "mj2124", "快點放過你女友好嗎", "06/18 00:52", "0"
"Boy-Girl#M.1560789886.A.D33#00007", "pttqse40310", "所以你女友老婆也可以一樣外遇嘍？畢竟也看膩你了，也跟你沒話聊", "06/18 00:53", "1"
"Boy-Girl#M.1560789886.A.D33#00008", "zeffy", "很好笑，居然以導師自居，這是所謂的反面教師嗎XD", "06/18 00:55", "0"
"Boy-Girl#M.1560789886.A.D33#00009", "mj2124", "他就是整天嫌女友，朋友有90%是瓢蟲那位啊，什麼人有什麼朋友", "06/18 00:55", "1"
"Boy-Girl#M.1560789886.A.D33#00010", "shinowang", "那你買一尊完美的矽膠娃娃回家就好是一天到晚來這裡，靠夭甚麼", "06/18 00:56", "0"
"Boy-Girl#M.1560789886.A.D33#00011", "zeffy", "推錯噓回來", "06/18 00:57", "0"
"Boy-Girl#M.1560789886.A.D33#00012", "omfg5487", "樓下台女怒噓", "06/18 01:05", "0"
"Boy-Girl#M.1560789886.A.D33#00013", "unicum6", "???", "06/18 01:06", "0"
"Boy-Girl#M.1560789886.A.D33#00014", "gloria820826", "欠噓，那台男不要出軌還整天母豬母豬的叫如何", "06/18 01:10", "0"
"Boy-Girl#M.1560789886.A.D33#00015", "jiashin0407", "成全你", "06/18 01:14", "0"
"Boy-Girl#M.1560789886.A.D33#00016", "Laurara", "其實就是吃膩了而已", "06/18 01:15", "0"
"Boy-Girl#M.1560789886.A.D33#00017", "zononicyan", "你才可悲吧？", "06/18 01:19", "0"
"Boy-Girl#M.1560789886.A.D33#00018", "nono1234", "閱", "06/18 01:20", "0"
"Boy-Girl#M.1560789886.A.D33#00019", "burgergirl", "嗯哼", "06/18 01:21", "0"
"Boy-Girl#M.1560789886.A.D33#00020", "winken2004", "ㄏㄏ", "06/18 01:27", "0"
"Boy-Girl#M.1560789886.A.D33#00021", "remony", "厲害了", "06/18 01:31", "0"
"Boy-Girl#M.1560789886.A.D33#00022", "tracy0620", "鍵盤專家", "06/18 01:40", "0"
"Boy-Girl#M.1560789886.A.D33#00023", "artemis1996", "奇文", "06/18 01:54", "0"
"Boy-Girl#M.1560789886.A.D33#00024", "AAAA1020", "傻眼 不要女生拿小孩煩 那就不要生啊！", "06/18 02:16", "0"
"Boy-Girl#M.1560789886.A.D33#00025", "jidou", "這版常見嫖妓男性九成以上的說法......", "06/18 02:22", "0"
"Boy-Girl#M.1560789886.A.D33#00026", "DATION", "你全家都出軌", "06/18 02:22", "0"
"Boy-Girl#M.1560789886.A.D33#00027", "kasumishu", "想出軌不需要理由", "06/18 02:24", "0"
"Boy-Girl#M.1560789886.A.D33#00028", "hoos891405", "廢文", "06/18 02:27", "0"
"Boy-Girl#M.1560789886.A.D33#00029", "RenRenBoy", "建議咧 你算什麼東西啊", "06/18 02:42", "0"
"Boy-Girl#M.1560789886.A.D33#00030", "chamymatinal", "錢賺得多就沒有照顧小孩的義務?", "06/18 02:49", "0"
"Boy-Girl#M.1560789886.A.D33#00031", "azdc", "那你有什麼建議給整天嫌女友皮膚不好的台男嗎？", "06/18 03:05", "0"
"Boy-Girl#M.1560789886.A.D33#00032", "pikachuuuuuu", "噁心", "06/18 03:12", "0"
"Boy-Girl#M.1560789886.A.D33#00033", "Fortheking", "口氣不小 以為自己是什麼身分", "06/18 03:19", "0"
"Boy-Girl#M.1560789886.A.D33#00034", "dogncat", "0分", "06/18 03:21", "0"
"Boy-Girl#M.1560789886.A.D33#00035", "qpqp9280", "==？", "06/18 03:32", "0"
"Boy-Girl#M.1560789886.A.D33#00036", "bonbondeer", "奇文共賞", "06/18 03:33", "0"
"Boy-Girl#M.1560789886.A.D33#00037", "paulfrankpk", "瞎", "06/18 03:34", "0"
"Boy-Girl#M.1560789886.A.D33#00038", "lanexs777", "90%都會出軌？ 87數據", "06/18 03:45", "0"
"Boy-Girl#M.1560789886.A.D33#00039", "c09328874", "噓爆", "06/18 04:00", "0"
"Boy-Girl#M.1560789886.A.D33#00040", "kryptonite", "你算老幾？", "06/18 04:13", "0"
"Boy-Girl#M.1560789886.A.D33#00041", "eileen1005", "夭壽噢", "06/18 04:16", "0"
"Boy-Girl#M.1560789886.A.D33#00042", "sheep0121", "90%那你要不要出家算了", "06/18 04:26", "0"
"Boy-Girl#M.1560789886.A.D33#00043", "ac411", "誰需要這爛意見了", "06/18 04:26", "0"
"Boy-Girl#M.1560789886.A.D33#00044", "hsiantinc", "笑了XD", "06/18 04:29", "0"
"Boy-Girl#M.1560789886.A.D33#00045", "kb704", "奇文共賞", "06/18 04:37", "0"
"Boy-Girl#M.1560789886.A.D33#00046", "Ilovecats", "wtf 建議? 你老幾?", "06/18 04:50", "0"
"Boy-Girl#M.1560789886.A.D33#00047", "genie83219", "不要拿孩子的事煩老公，難道孩子的爸爸是死了，爽過，之後就不用一起分擔照顧？", "06/18 05:39", "0"
"Boy-Girl#M.1560789886.A.D33#00048", "albertk1kil", "講的你好像很理解阿祥他們家是出了什麼問題一樣", "06/18 05:41", "0"
"Boy-Girl#M.1560789886.A.D33#00049", "albertk1kil", "雖然我也覺得孩子的事情很煩人，但老婆整天在家帶小孩不就更煩，讓你幫忙一下一天頂多煩你幾小時，老婆是天天被孩子煩，所以做為男人這方面還是體諒一下吧？", "06/18 05:43", "1"
"Boy-Girl#M.1560789886.A.D33#00050", "kimiboy", "是不是還沒出社會？", "06/18 05:51", "0"
"Boy-Girl#M.1560789886.A.D33#00051", "ADEMAIN", "是五毛跑來台灣亂？", "06/18 05:53", "0"
"Boy-Girl#M.1560789886.A.D33#00052", "shine345456", "講的好像小孩是只有女生的責任一樣", "06/18 06:06", "0"
"Boy-Girl#M.1560789886.A.D33#00053", "bonita0699", "廢到笑XDD", "06/18 06:07", "0"
"Boy-Girl#M.1560789886.A.D33#00054", "uu70904", "企業家粉少只有一個老婆的", "06/18 06:35", "0"
"Boy-Girl#M.1560789886.A.D33#00055", "pinkpatty", "出軌都怪另一伴？怎麼不檢討自己！", "06/18 06:36", "0"
