"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"C_Chat#M.1554702884.A.CC7#00000", "SkywardSword", "一花,目前亂源之一,偽裝三玖祝福自己跟風君,簡直是拿別人的血來暖自己,<br>又故意破壞三玖的告白,卻弄巧成拙,可撥背刺仔一花,<br><br><br>藤原千花,亂源,人形家畜,汙穢的血脈,留著髒血的巨乳,<br>一而再再而三破壞輝夜跟白銀的戀情,<br>自己出國去旅行卻又想阻止大家趁自己不在時去旅行,這種心態根本超一花的,<br><br><br><br>花學姊,也故意破壞小千代跟清志之間的戀情,監獄學園亂源之一,<br>讓小千代徹底黑化不相信男人,<br><br><br><br>六花,亂源之一,患有中二病,<br>无论是日常生活还是在校园内都会毫无忌惮的做出一些夸张的行为,帶給別人困擾,<br>破壞了勇太跟青梅竹馬間的感情,還強迫別人訂契約,強迫別人參加中二病社團,<br><br><br>--<br>", "", ""
"C_Chat#M.1554702884.A.CC7#00001", "zouelephant", "簡體中文出現喇，言歸正傳 我覺得寶多六花是可以的", "04/08 13:55", "0"
"C_Chat#M.1554702884.A.CC7#00002", "chaige", "推文哭起來", "04/08 13:55", "0"
"C_Chat#M.1554702884.A.CC7#00003", "BlackTea1023", "殘體字，坐等六花王怒噓", "04/08 13:55", "0"
"C_Chat#M.1554702884.A.CC7#00004", "corlos", "萬里花：", "04/08 13:55", "0"
"C_Chat#M.1554702884.A.CC7#00005", "makinoyui", "黑我六花 我一定噓！但 遵從一個六花原則 等等補推", "04/08 13:55", "0"
"C_Chat#M.1554702884.A.CC7#00006", "Edison1174", "最後一段請用中文", "04/08 13:55", "0"
"C_Chat#M.1554702884.A.CC7#00007", "a2j04vm0", "花園勇花", "04/08 13:55", "0"
"C_Chat#M.1554702884.A.CC7#00008", "oeegg", "陳 小 瓜 邊 哭 邊 刪", "04/08 13:55", "0"
"C_Chat#M.1554702884.A.CC7#00009", "a5110408123", "殘體", "04/08 13:56", "0"
"C_Chat#M.1554702884.A.CC7#00010", "plzza0cats", "六花", "04/08 13:56", "0"
"C_Chat#M.1554702884.A.CC7#00011", "good74152", "寶多六花屌打", "04/08 13:56", "0"
"C_Chat#M.1554702884.A.CC7#00012", "devilkool", "煌上花音超可愛", "04/08 13:56", "0"
"C_Chat#M.1554702884.A.CC7#00013", "a125g", "阿拉花瓜", "04/08 13:56", "0"
"C_Chat#M.1554702884.A.CC7#00014", "amsmsk", "萬里花：", "04/08 13:56", "0"
"C_Chat#M.1554702884.A.CC7#00015", "lairx", "什麼時候桶", "04/08 13:56", "0"
"C_Chat#M.1554702884.A.CC7#00016", "makinoyui", "最可愛的六花 https//i.imgur.com/YeL9NzM.jpg，遵從一個六花原則給推一個六花原則 給推", "04/08 13:57", "0"
"C_Chat#M.1554702884.A.CC7#00017", "dorydoze", "氣到變簡體", "04/08 13:57", "0"
"C_Chat#M.1554702884.A.CC7#00018", "SilverFlare", "你把寶多六花放哪", "04/08 13:57", "0"
"C_Chat#M.1554702884.A.CC7#00019", "marchcharlie", "萬里花：", "04/08 13:57", "0"
"C_Chat#M.1554702884.A.CC7#00020", "finzaghi", "邊 哭 邊 刪", "04/08 13:57", "0"
"C_Chat#M.1554702884.A.CC7#00021", "paul31788", "滾 還用殘體字", "04/08 13:58", "0"
"C_Chat#M.1554702884.A.CC7#00022", "jim924211", "把我寶多放哪了，一個六花，各表自述", "04/08 13:58", "0"
"C_Chat#M.1554702884.A.CC7#00023", "breadking", "真亂源出現", "04/08 13:58", "0"
"C_Chat#M.1554702884.A.CC7#00024", "Gravity113", "七花還好吧", "04/08 13:59", "0"
"C_Chat#M.1554702884.A.CC7#00025", "makinoyui", "https//i.imgur.com/gANdWF8.jpg", "04/08 13:59", "0"
"C_Chat#M.1554702884.A.CC7#00026", "TomBoHu", "寶多曾害古里特同盟瓦解，一樣啦", "04/08 13:59", "0"
"C_Chat#M.1554702884.A.CC7#00027", "water903", "不演了", "04/08 13:59", "0"
"C_Chat#M.1554702884.A.CC7#00028", "QBian", "煌上花音", "04/08 14:00", "0"
"C_Chat#M.1554702884.A.CC7#00029", "tony160079", "又要邊 哭 邊 刪了嗎?", "04/08 14:00", "0"
"C_Chat#M.1554702884.A.CC7#00030", "chuckni", "如花？？", "04/08 14:00", "0"
"C_Chat#M.1554702884.A.CC7#00031", "paul31788", "到底可不可以桶啊", "04/08 14:00", "0"
"C_Chat#M.1554702884.A.CC7#00032", "karta273745", "盜文仔", "04/08 14:01", "0"
"C_Chat#M.1554702884.A.CC7#00033", "xsc", "盜文噓", "04/08 14:02", "0"
"C_Chat#M.1554702884.A.CC7#00034", "chaige", "六花的勇者來惹", "04/08 14:02", "0"
"C_Chat#M.1554702884.A.CC7#00035", "x17cvbnm", "除了最後一個中肯外，其他都是亂黑", "04/08 14:02", "0"
"C_Chat#M.1554702884.A.CC7#00036", "doggy10454", "，？， ？", "04/08 14:02", "0"
"C_Chat#M.1554702884.A.CC7#00037", "tony19947", "邊哭邊刪", "04/08 14:02", "0"
"C_Chat#M.1554702884.A.CC7#00038", "kano2525", "小瓜你知道你準備進桶了嗎？", "04/08 14:03", "0"
"C_Chat#M.1554702884.A.CC7#00039", "t0455453", "滾 一花我婆", "04/08 14:03", "0"
"C_Chat#M.1554702884.A.CC7#00040", "gaym19", "邊 哭 邊 刪", "04/08 14:04", "0"
"C_Chat#M.1554702884.A.CC7#00041", "LouisLEE", "幫我小花天使噓你", "04/08 14:04", "0"
