"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"C_Chat#M.1557723956.A.CD5#00000", "qwaszx012", "三玖為了接近風太郎 一直搞一些有的沒的<br><br>1.做麵包 做巧克力三小的(而且又做的不好吃)<br><br>逼風太郎吃一堆巧克力 得糖尿病你要負責逆?<br><br>還好風太郎是味痴 沒什麼專長的三玖只能從這切入<br><br>2.動不動就生氣 慶典聽到風說兩人只是認識而已<br><br>就森77 阿就真的只是認識阿 家教和學生會很熟逆<br><br>除了很愛幻想的三玖<br><br>3.假扮五月去找風太狼烙一番狠話<br><br>沒被猜出來也要森77 風太郎只會滿頭問號覺得莫名其妙<br><br>害五月和風花一堆時間找你的煩惱 原來是這種小事啊<br><br>4.要給麵包不直接給 扭扭捏捏 小手段又很多<br><br>要告白自己又懶的爬山 欺騙四葉的天真<br><br>利用四葉背著他爬山 隨後告白前被風識破<br><br>又哭哭啼啼的亂跑 躲在酒店哭<br><br>我國小的時候也討厭不喜歡的女生接近我<br><br>下課跑來我旁邊或跟我講話我會覺得很煩<br><br>是男生的話只會覺得三玖很煩個性又很奇怪好嗎= =<br><br><br><br>--<br>", "", ""
"C_Chat#M.1557723956.A.CD5#00001", "M4Tank", "釣魚最煩", "05/13 13:06", "0"
"C_Chat#M.1557723956.A.CD5#00002", "tigerbt", "釣魚==", "05/13 13:06", "0"
"C_Chat#M.1557723956.A.CD5#00003", "LeeEnfield", "這篇會被噓", "05/13 13:06", "0"
"C_Chat#M.1557723956.A.CD5#00004", "loserloser", "主要是看長相 長的可愛的大奶正妹怎麼爐你 都會很爽", "05/13 13:06", "0"
"C_Chat#M.1557723956.A.CD5#00005", "shihpoyen", "原PO不能代表男生", "05/13 13:06", "0"
"C_Chat#M.1557723956.A.CD5#00006", "ant9643", "人家是女森耶", "05/13 13:06", "0"
"C_Chat#M.1557723956.A.CD5#00007", "hami831904", "你最煩", "05/13 13:06", "0"
"C_Chat#M.1557723956.A.CD5#00008", "gf833910", "國小?那國中以後呢?", "05/13 13:07", "0"
"C_Chat#M.1557723956.A.CD5#00009", "kimono1022", "= =", "05/13 13:07", "0"
"C_Chat#M.1557723956.A.CD5#00010", "zuraKatsura", "這種型就專吃宅男市場的 來這問是貝西嗎", "05/13 13:07", "0"
"C_Chat#M.1557723956.A.CD5#00011", "superpaden", "崩潰喔...", "05/13 13:07", "0"
"C_Chat#M.1557723956.A.CD5#00012", "zsefv333", "釣魚比較煩", "05/13 13:07", "0"
"C_Chat#M.1557723956.A.CD5#00013", "yoyozero", "廢文最煩 滾", "05/13 13:07", "0"
"C_Chat#M.1557723956.A.CD5#00014", "BlackTea1023", "講的好像其他四姐妹不是專攻宅男市場，某魯蛇崩潰到現在 幫QQ", "05/13 13:08", "0"
"C_Chat#M.1557723956.A.CD5#00015", "no321", "只有我覺得你很煩嗎", "05/13 13:08", "0"
"C_Chat#M.1557723956.A.CD5#00016", "DUCK5369", "這餌不太行啦，要藏的隱晦一點==", "05/13 13:08", "0"
"C_Chat#M.1557723956.A.CD5#00017", "same60710", "呵", "05/13 13:08", "0"
"C_Chat#M.1557723956.A.CD5#00018", "Gedu", "終於有心智正常的人了", "05/13 13:08", "0"
"C_Chat#M.1557723956.A.CD5#00019", "EJblue", "滾", "05/13 13:09", "0"
"C_Chat#M.1557723956.A.CD5#00020", "hellove5566", "雖然我跟你想法一樣，但這樣發文講出來不好", "05/13 13:10", "0"
"C_Chat#M.1557723956.A.CD5#00021", "LPCbaimlly", "幫補血，不喜歡這類型", "05/13 13:10", "0"
"C_Chat#M.1557723956.A.CD5#00022", "LPCbaimlly", "不過人家就粉絲多，別惹兇宅吧", "05/13 13:13", "0"
"C_Chat#M.1557723956.A.CD5#00023", "Dirgo", "只要有愛,就全部變萌點了.", "05/13 13:14", "0"
"C_Chat#M.1557723956.A.CD5#00024", "kaj1983", "你有沒有想過別人覺得你煩呢？", "05/13 13:14", "0"
"C_Chat#M.1557723956.A.CD5#00025", "gf833910", "樓上小心進桶，我指23樓", "05/13 13:14", "0"
"C_Chat#M.1557723956.A.CD5#00026", "yosoro07", "是你厭女吧 少牽拖39", "05/13 13:14", "0"
"C_Chat#M.1557723956.A.CD5#00027", "cates", "實際上女森就是這樣啊....", "05/13 13:14", "0"
"C_Chat#M.1557723956.A.CD5#00028", "BlackTea1023", "地圖炮開好開滿www", "05/13 13:15", "0"
"C_Chat#M.1557723956.A.CD5#00029", "olorin1994", "你才煩 廢文跟本人同程度 可悲", "05/13 13:16", "0"
"C_Chat#M.1557723956.A.CD5#00030", "qwert65732", "都來西洽了自以為潮潮？肥宅到日本一樣是肥宅啦", "05/13 13:16", "0"
"C_Chat#M.1557723956.A.CD5#00031", "loxjjgu", "我也覺得你很煩，嘻嘻", "05/13 13:18", "0"
"C_Chat#M.1557723956.A.CD5#00032", "same60710", "滾", "05/13 13:19", "0"
"C_Chat#M.1557723956.A.CD5#00033", "bored60606", "幫補血，2次元不評論，3次元這種類型的真的不討喜", "05/13 13:19", "0"
"C_Chat#M.1557723956.A.CD5#00034", "Fuusenkazura", "死吧，再來啊", "05/13 13:20", "0"
"C_Chat#M.1557723956.A.CD5#00035", "MayDayFebrua", "...", "05/13 13:20", "0"
"C_Chat#M.1557723956.A.CD5#00036", "scotttomlee", "噓", "05/13 13:21", "0"
"C_Chat#M.1557723956.A.CD5#00037", "Fuusenkazura", "補", "05/13 13:23", "0"
"C_Chat#M.1557723956.A.CD5#00038", "andy991217", "小心三玖粉= =", "05/13 13:23", "0"
