"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"C_Chat#M.1557813535.A.A46#00000", "vikk33", "https://reurl.cc/GD6EZ<br><br>http://swallow.5ch.net/test/read.cgi/livejupiter/1557755669<br>《地球防衛少年》、《南家三姊妹》第二季、《GANTZ》、《蒼藍鋼鐵戰艦》<br>《熊巫女》、《聖劍使的禁咒詠唱》、《極黑的布倫希爾德》、《食夢者瑪莉》、《青之<br>驅魔師》<br>《櫻花莊的寵物女孩》、《鋼之鍊金術師》2003版、《紅》、《帶著智慧型手機闖蕩異世<br>界。》<br>《神槍少女》第二季、《RAIL WARS! -日本國有鐵道公安隊-》<br><br>《學生會的一存 Lv.2》(2011年新版)、《心連·情結》<br><br>《瀨戶的花嫁》、《K-ON！輕音部》、《氷菓》、《銀魂》、《網球王子》、《化物語》<br>、《悠悠哉哉少女日和》、《進擊的巨人》等等…<br><br>--<br>", "", ""
"C_Chat#M.1557813535.A.A46#00001", "sunine6488", "銀魂為啥需要", "05/14 13:59", "0"
"C_Chat#M.1557813535.A.A46#00002", "Edison1174", "瀨戶？", "05/14 13:59", "0"
"C_Chat#M.1557813535.A.A46#00003", "mer5566", "？？？", "05/14 14:00", "0"
"C_Chat#M.1557813535.A.A46#00004", "barrychengg", "化物語?", "05/14 14:00", "0"
"C_Chat#M.1557813535.A.A46#00005", "shadow0326", "why氷菓", "05/14 14:00", "0"
"C_Chat#M.1557813535.A.A46#00006", "bnades", "大概是要道歉的人太多了", "05/14 14:00", "0"
"C_Chat#M.1557813535.A.A46#00007", "j53815102", "這又是什麼農場文？", "05/14 14:00", "0"
"C_Chat#M.1557813535.A.A46#00008", "dragon803", "進擊的巨人? 櫻花莊(? 為啥有手機俠XD", "05/14 14:00", "0"
"C_Chat#M.1557813535.A.A46#00009", "jesuschristo", "K-ON?", "05/14 14:00", "0"
"C_Chat#M.1557813535.A.A46#00010", "Owada", "手機俠動畫......很好看欸XD，已經很久沒看過這麼不需要腦袋的動畫了", "05/14 14:00", "0"
"C_Chat#M.1557813535.A.A46#00011", "highwayshih", "冰果???", "05/14 14:00", "0"
"C_Chat#M.1557813535.A.A46#00012", "qpb852qpb742", "K-on 冰菓 化物語 鋼鍊 巨人為何要啊？", "05/14 14:00", "0"
"C_Chat#M.1557813535.A.A46#00013", "coon182", "冰菓？？？是道歉不好意思幫你們增加銷量嗎？噥噥日和也進榜物語也問號", "05/14 14:00", "0"
"C_Chat#M.1557813535.A.A46#00014", "duckdauck", "從瀨戶開始是要感謝動畫製作組的動畫吧 沒貼好", "05/14 14:00", "0"
"C_Chat#M.1557813535.A.A46#00015", "SCLPAL", "!?!?!?", "05/14 14:00", "0"
"C_Chat#M.1557813535.A.A46#00016", "s920325", "根本一堆亂寫吧 看到巨人我都笑了", "05/14 14:00", "0"
"C_Chat#M.1557813535.A.A46#00017", "killerj466", "恩.....蒼鋼?蒼鋼甚至可以說是近代3D動畫的強者了", "05/14 14:01", "0"
"C_Chat#M.1557813535.A.A46#00018", "Briefs0321", "銀魂?進巨???", "05/14 14:01", "0"
"C_Chat#M.1557813535.A.A46#00019", "doraemon8709", "這個上榜依據是什麼= =", "05/14 14:01", "0"
"C_Chat#M.1557813535.A.A46#00020", "LeeEnfield", "蒼鋼我覺得蠻不錯的啊", "05/14 14:01", "0"
"C_Chat#M.1557813535.A.A46#00021", "terasono", "看了一下網頁，這TM是兩個串好嘛，後面的是原作者應該感謝動畫的榜", "05/14 14:01", "0"
"C_Chat#M.1557813535.A.A46#00022", "Gram", "銀魂大概是要向其他作者道歉吧XD", "05/14 14:01", "0"
"C_Chat#M.1557813535.A.A46#00023", "ihateants", "冰果？？蒼鋼我覺得沒很差啊，現在是有一部分魔改就要道歉的意思？話又說回來這網址的廣告真他媽", "05/14 14:02", "1"
"C_Chat#M.1557813535.A.A46#00024", "berice152233", "做太好讓原作者顏面無光？", "05/14 14:02", "0"
"C_Chat#M.1557813535.A.A46#00025", "shadow0326", "幹騙我", "05/14 14:02", "0"
"C_Chat#M.1557813535.A.A46#00026", "dearbarry", "複製貼上也不看內文", "05/14 14:02", "0"
"C_Chat#M.1557813535.A.A46#00027", "arrenwu", "啥小？ 這啥小偏激名單XDDDD", "05/14 14:02", "0"
"C_Chat#M.1557813535.A.A46#00028", "Syoshinsya", "鐵道公安隊其實也不錯啊 (各種意味上)", "05/14 14:02", "0"
"C_Chat#M.1557813535.A.A46#00029", "phoenix286", "櫻花莊怎麼了嗎？我看得很開心啊", "05/14 14:03", "0"
"C_Chat#M.1557813535.A.A46#00030", "leoleoaakk", "你在斷章取義什麼，你貼的兩個原文都很明確說了下面，那串是應該像作者感謝的動畫從瀬戶花嫁開始的作品明明就另一個討論主題，是直接全部貼上來也不看原文的喔", "05/14 14:03", "0"
"C_Chat#M.1557813535.A.A46#00031", "rofellosx", "化物語增加西尾的工作量", "05/14 14:03", "0"
"C_Chat#M.1557813535.A.A46#00032", "animal9527", "京都製作的的確該道歉 整個魔改 但是是好的那種，巨人是第三季才要道歉吧 前兩季都很神", "05/14 14:03", "0"
"C_Chat#M.1557813535.A.A46#00033", "killerj466", "櫻花莊算是多了不必要的炎上，劇情還好 但是裡頭多了一些韓國貨 被日鄉民不爽", "05/14 14:03", "0"
"C_Chat#M.1557813535.A.A46#00034", "NoLimination", "這名單有夠外行的ww", "05/14 14:03", "0"
