"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"C_Chat#M.1560271540.A.08B#00000", "fab4312", "安安 大家好<br><br>和其他屬性相比<br>一般屬性的寶可夢<br>作為攻擊方 打幽靈系完全沒效果 打岩石系和鋼系攻擊力會減半<br>然後 就沒有然後了 完全沒有一般屬性打攻擊有加成的<br>一般屬性只有被剋 沒有剋人啊!!!<br><br>至於做為防守方<br>被格鬥系打傷害加倍 被幽靈系打傷害歸零<br>然後也沒有了 沒有可以傷害減半的屬性<br><br>至於技能方面<br>看了一下威力超過120以上又沒副作用的招式<br>應該只有<百萬噸重踢>而已<br>但是在809隻寶可夢中 能自行學會<百萬噸重踢>的只有3隻寶可夢<br>PP值又只有5 命中率也只有75<br>其他威力超過120以上的一般屬性招式都有副作用 根本悲劇<br><br>而且最重要的是<br>寶可夢世界也有一般動物啊<br>寶可夢不能噴火、噴水、發電<br>跟其他動物區別在哪?比較聽得懂人話嗎?<br><br>一般屬性的寶可夢是不是寶可夢界的魯蛇?<br>有掛嗎?<br><br>--<br>", "", ""
"C_Chat#M.1560271540.A.08B#00001", "tp950016", "菜逼八", "06/12 00:45", "0"
"C_Chat#M.1560271540.A.08B#00002", "saul86103", "戴獸表示？", "06/12 00:46", "0"
"C_Chat#M.1560271540.A.08B#00003", "ridecule", "雲", "06/12 00:46", "0"
"C_Chat#M.1560271540.A.08B#00004", "NARUTO", "一般動物是能用寶可夢招式？", "06/12 00:46", "0"
"C_Chat#M.1560271540.A.08B#00005", "lanpuma", "雲", "06/12 00:46", "0"
"C_Chat#M.1560271540.A.08B#00006", "ryoma1", "一般系才是最難處理的好嗎", "06/12 00:47", "0"
"C_Chat#M.1560271540.A.08B#00007", "lungyu", "雲", "06/12 00:47", "0"
"C_Chat#M.1560271540.A.08B#00008", "Golbeza", "這篇一看就知道沒在玩 沒在玩的空氣玩家就別湊熱鬧了", "06/12 00:47", "0"
"C_Chat#M.1560271540.A.08B#00009", "devilkool", "那一天 火球鼠玩家想起了 被大奶罐碾壓的恐懼", "06/12 00:48", "0"
"C_Chat#M.1560271540.A.08B#00010", "dragonfly667", "菜味濃", "06/12 00:48", "0"
"C_Chat#M.1560271540.A.08B#00011", "bluelamb", "很難針對 弱點少", "06/12 00:48", "0"
"C_Chat#M.1560271540.A.08B#00012", "b99202071", "滾", "06/12 00:48", "0"
"C_Chat#M.1560271540.A.08B#00013", "gx9926", "很多訓練家想起了請假王的恐怖", "06/12 00:48", "0"
"C_Chat#M.1560271540.A.08B#00014", "bbb654123", "sasak。。。欸？", "06/12 00:48", "0"
"C_Chat#M.1560271540.A.08B#00015", "jympin", "有夠雲", "06/12 00:48", "0"
"C_Chat#M.1560271540.A.08B#00016", "shenmi", "你把爆音波放在哪", "06/12 00:48", "0"
"C_Chat#M.1560271540.A.08B#00017", "bluelikeme", "拜託不要跟別人說你玩過寶可夢", "06/12 00:48", "0"
"C_Chat#M.1560271540.A.08B#00018", "ms0548585", "☁  ☁  ☁", "06/12 00:48", "0"
"C_Chat#M.1560271540.A.08B#00019", "a86425380", "一般系改成獸系比較正常", "06/12 00:48", "0"
"C_Chat#M.1560271540.A.08B#00020", "a48692", "噓的好快", "06/12 00:49", "0"
"C_Chat#M.1560271540.A.08B#00021", "Lopunny", "我看你是瞧不起我Mega長耳兔喔？", "06/12 00:49", "0"
"C_Chat#M.1560271540.A.08B#00022", "billgreenoil", "阿爾宙斯：？", "06/12 00:49", "0"
"C_Chat#M.1560271540.A.08B#00023", "Satoman", "太菜了吧，罰你去給小茜的大奶罐輾個50次", "06/12 00:50", "0"
"C_Chat#M.1560271540.A.08B#00024", "asabase", "這個我找一下寶可夢朋友來一下", "06/12 00:50", "0"
"C_Chat#M.1560271540.A.08B#00025", "PachiXuan", "你把小茜的大奶罐放哪", "06/12 00:50", "0"
"C_Chat#M.1560271540.A.08B#00026", "katen1216", "你把卡比獸放在哪", "06/12 00:50", "0"
"C_Chat#M.1560271540.A.08B#00027", "howdo1793", "沒被一般屬性壓在鍵盤上過？", "06/12 00:51", "0"
"C_Chat#M.1560271540.A.08B#00028", "lunaying", "廢文", "06/12 00:51", "0"
"C_Chat#M.1560271540.A.08B#00029", "roytenpura", "袋龍、肯泰羅：？", "06/12 00:51", "0"
"C_Chat#M.1560271540.A.08B#00030", "tw15", "大奶.jpg", "06/12 00:53", "0"
"C_Chat#M.1560271540.A.08B#00031", "AL107", "雲起來    卡比獸笑你", "06/12 00:53", "0"
"C_Chat#M.1560271540.A.08B#00032", "zxc88585", "M袋獸特性直接把你打的你媽都不認得", "06/12 00:54", "0"
"C_Chat#M.1560271540.A.08B#00033", "k960608", "都2019了還在威力120喔ZZ 雲味都飄出來了", "06/12 00:54", "0"
"C_Chat#M.1560271540.A.08B#00034", "jeff666", "卡比獸 請假王 大奶罐 吉利蛋 袋龍", "06/12 00:56", "0"
"C_Chat#M.1560271540.A.08B#00035", "l6321899", "一般系明明強的跟鬼一樣，這個是太久沒接觸嗎..？", "06/12 00:57", "0"
"C_Chat#M.1560271540.A.08B#00036", "abcdegf34", "3D龍2 單打有夠78", "06/12 00:57", "0"
"C_Chat#M.1560271540.A.08B#00037", "gmbad", "罰你被小茜的大奶碾壓100次", "06/12 01:00", "0"
"C_Chat#M.1560271540.A.08B#00038", "secutor145", "你應該讓小茜的大奶好好教育一下", "06/12 01:04", "0"
