"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"C_Chat#M.1560963449.A.B58#00000", "bluebugi", "女優自爆「聲優更暗黑」有這頭銜薪水三級跳<br><br>http://bit.ly/2WPxU0K<br><br>曾當過Coser，當過地下偶像以及聲優的性感女優「優月心菜」，今年2月才剛出道就以甜<br>美的外表，火辣的身材獲得不少男粉的支持，最近更上東京電視台節目爆料「女優的內幕<br>」再次引發網友討論。<br><br><br>優月心菜表示，近期不少偶像會跳到AV界當女優，是因為只要出道前有著「前藝人」、「<br>前偶像」的身分，薪水直接三級跳。一般人出道一步片可能只有20~30萬日圓，但「前藝<br>人」的薪資就有80萬日圓，整整差了一大截，這也是不少人會先去當偶像過個水的原因。<br><br>（圖／twitter@sikosan）<br>（圖／twitter@sikosan）<br>另外，她還爆料從前從事聲優工作時的內幕，其實比AV女優「更暗黑」。很多聲優剛開始<br>都從學校起步，再進入聲優事務所，就像學生那樣單純的以為只要照著上面的指示做就能<br>越來越好，因此很多女生就被製作人騙上床換取工作機會，有些人為了想要得到更多工作<br>而瘋狂陪睡。<br><br>（圖／twitter@sikosan）<br>（圖／twitter@sikosan）<br>她甚至加碼爆料某知名偶像動漫的聲優，從還沒出道時就一直陪睡，改名後才走紅出道，<br>她還看過她們之間的鹹溼簡訊，自己也曾被叫去參加派對而慘遭襲胸，種種事情讓她忍不<br>住不停爆料，但最後遭到主持人阻止。<br><br>（圖／twitter@sikosan）<br>（圖／twitter@sikosan）<br>不少網友看到節目都留言「原來聲優界這麼黑」、「好想知道那個聲優是誰」，她也因此<br>受到網友的注意。<br><br><br><br>心得:<br><br>新聞連結裡有附這妞的ig，<br><br>超讚的，<br><br>我一直很欣賞中時在報這類花邊新聞時，<br><br>似乎都會一反常態特別認真收集資訊，<br><br>讚讚讚，值得鼓勵。<br><br><br>--<br>", "", ""
"C_Chat#M.1560963449.A.B58#00001", "jeff235711", "嗯 喔 嗯", "06/20 00:57", "0"
"C_Chat#M.1560963449.A.B58#00002", "aya16810", "之前不是才吵過？週經文？", "06/20 00:58", "0"
"C_Chat#M.1560963449.A.B58#00003", "finzaghi", "偷渡簽名檔", "06/20 00:59", "0"
"C_Chat#M.1560963449.A.B58#00004", "Xavy", "簽名檔", "06/20 00:59", "0"
"C_Chat#M.1560963449.A.B58#00005", "cutearia", "是要貼幾次 洗爽沒", "06/20 01:00", "0"
"C_Chat#M.1560963449.A.B58#00006", "kurtc", "偷渡", "06/20 01:01", "0"
"C_Chat#M.1560963449.A.B58#00007", "zcbxvsdf", "煩", "06/20 01:03", "0"
"C_Chat#M.1560963449.A.B58#00008", "belion", "op ?", "06/20 01:04", "0"
"C_Chat#M.1560963449.A.B58#00009", "Sabaurila", "噓簽名檔", "06/20 01:05", "0"
