"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1561278875.A.4B4#00000", "myIDis7", "https://i.imgur.com/5pDNWAz.jpg<br>努力賣雞排也能站上世界舞台<br><br>雖然以前批評賣雞排的博士浪費資源<br><br>現在郭董也支持雞排了<br><br>不過來不及了 已經得罪愛吃雞排的鄉民<br><br>郭董改走親民大家會原諒他嗎<br><br><br>--<br>", "", ""
"Gossiping#M.1561278875.A.4B4#00001", "a12367227", "......", "223.136.94.247 06/23 16:34", "0"
"Gossiping#M.1561278875.A.4B4#00002", "Sougetu", "你那邊還來得及", "36.227.56.114 06/23 16:34", "0"
"Gossiping#M.1561278875.A.4B4#00003", "WTF55665566", "嘔嘔嘔嘔嘔 為了選舉 演技全開？", "114.137.59.90 06/23 16:34", "0"
"Gossiping#M.1561278875.A.4B4#00004", "drt35", "好噁", "42.73.205.107 06/23 16:34", "0"
"Gossiping#M.1561278875.A.4B4#00005", "t81511270", "........ 態度轉變真快", "36.234.140.205 06/23 16:35", "0"
"Gossiping#M.1561278875.A.4B4#00006", "Mcyle", "0.0", "123.194.209.157 06/23 16:35", "0"
"Gossiping#M.1561278875.A.4B4#00007", "Tiara5566", "噁心", "180.177.37.47 06/23 16:35", "0"
"Gossiping#M.1561278875.A.4B4#00008", "gracetsai", "8888888", "114.137.131.100 06/23 16:35", "0"
"Gossiping#M.1561278875.A.4B4#00009", "PR58", "白癡才相信他", "111.184.140.12 06/23 16:35", "0"
"Gossiping#M.1561278875.A.4B4#00010", "MimoPile", "騙票仔 笑死", "101.12.225.46 06/23 16:35", "0"
"Gossiping#M.1561278875.A.4B4#00011", "AustinRivers", "選舉到了 說什麼都行", "110.50.158.0 06/23 16:35", "0"
"Gossiping#M.1561278875.A.4B4#00012", "fingers", "又再裝了", "114.41.49.227 06/23 16:35", "0"
"Gossiping#M.1561278875.A.4B4#00013", "ruby00514", "聽說他是最恨中天的 呵呵", "36.229.195.125 06/23 16:35", "0"
"Gossiping#M.1561278875.A.4B4#00014", "missingkid", "發！", "118.171.218.5 06/23 16:35", "0"
"Gossiping#M.1561278875.A.4B4#00015", "genius721105", "轉彎", "39.8.62.6 06/23 16:35", "0"
"Gossiping#M.1561278875.A.4B4#00016", "WolfTeacher", "噁心", "27.52.96.44 06/23 16:35", "0"
"Gossiping#M.1561278875.A.4B4#00017", "icq7584", "果凍 作秀作起來~", "49.218.68.153 06/23 16:35", "0"
"Gossiping#M.1561278875.A.4B4#00018", "yannicklatte", "為了選舉什麼都可以，真是模範", "49.216.5.156 06/23 16:35", "0"
"Gossiping#M.1561278875.A.4B4#00019", "chh1470", "滾", "27.247.2.153 06/23 16:35", "0"
"Gossiping#M.1561278875.A.4B4#00020", "duck78803139", "白海豚2代", "114.46.163.94 06/23 16:35", "0"
"Gossiping#M.1561278875.A.4B4#00021", "sunluna", "這種人不配吃雞排，這種宣傳手法 就好像看到另一個連勝文", "59.115.67.68 06/23 16:35", "0"
"Gossiping#M.1561278875.A.4B4#00022", "felixden", "作秀 笑死", "101.13.172.240 06/23 16:35", "0"
"Gossiping#M.1561278875.A.4B4#00023", "chaunen", "嘔嘔嘔~~~~~~~~~~~~~", "124.12.54.171 06/23 16:35", "0"
"Gossiping#M.1561278875.A.4B4#00024", "abckk888", "嘔嘔嘔嘔嘔嘔", "1.165.37.76 06/23 16:35", "0"
"Gossiping#M.1561278875.A.4B4#00025", "jason138", "嘔嘔嘔", "114.43.78.173 06/23 16:35", "0"
"Gossiping#M.1561278875.A.4B4#00026", "BambooGrove", "轉彎會不會轉太大", "223.141.238.46 06/23 16:36", "0"
"Gossiping#M.1561278875.A.4B4#00027", "firose", "我還有腦", "36.230.46.196 06/23 16:36", "0"
"Gossiping#M.1561278875.A.4B4#00028", "innuendo3324", "初選唯一支持韓總，邊緣人走開", "27.242.101.146 06/23 16:36", "0"
"Gossiping#M.1561278875.A.4B4#00029", "x266", "連民視都支持郭董 這樣就知道他有多蠢了", "101.137.124.191 06/23 16:36", "0"
"Gossiping#M.1561278875.A.4B4#00030", "johnny850930", "有夠假", "36.229.242.234 06/23 16:36", "0"
"Gossiping#M.1561278875.A.4B4#00031", "silentence", "雞排先騙到手 再說", "49.216.16.21 06/23 16:36", "0"
"Gossiping#M.1561278875.A.4B4#00032", "mizuno2007", "找一堆百萬訂閱網紅去他家開箱", "114.42.133.55 06/23 16:36", "0"
"Gossiping#M.1561278875.A.4B4#00033", "jeter8695", "https//i.imgur.com/Z8TizeI.jpg，跟連勝文一模一樣欸笑死", "114.40.104.65 06/23 16:37", "0"
"Gossiping#M.1561278875.A.4B4#00034", "wang0301", "這時候又喜歡雞排了？？？", "42.77.254.140 06/23 16:37", "0"
"Gossiping#M.1561278875.A.4B4#00035", "wwvvkai", "………", "61.56.182.169 06/23 16:37", "0"
"Gossiping#M.1561278875.A.4B4#00036", "sshwann", "作秀的很多 像郭這種反差到太假的很可笑", "1.170.155.115 06/23 16:37", "1"
"Gossiping#M.1561278875.A.4B4#00037", "tom50512", "為了選總統才開始的刻意行為", "111.83.30.187 06/23 16:37", "0"
"Gossiping#M.1561278875.A.4B4#00038", "qewadszxc", "這廣告在巴哈常看到", "111.83.97.138 06/23 16:37", "0"
"Gossiping#M.1561278875.A.4B4#00039", "wastedoor", "傻B", "114.47.141.178 06/23 16:37", "0"
"Gossiping#M.1561278875.A.4B4#00040", "tsunana2727", "騙票矯情", "101.15.196.11 06/23 16:37", "0"
"Gossiping#M.1561278875.A.4B4#00041", "lovetmp", "白先生稱號要換人了嗎?", "114.39.28.175 06/23 16:38", "0"
"Gossiping#M.1561278875.A.4B4#00042", "x266", "自以為聰明 結果聰明到代表KMT連民視都支持", "101.137.124.191 06/23 16:38", "1"
"Gossiping#M.1561278875.A.4B4#00043", "hotrain13", "選舉一到，KMT候選人都會這樣呢", "111.254.22.28 06/23 16:38", "0"
"Gossiping#M.1561278875.A.4B4#00044", "ted01234567", "噁心", "1.200.202.155 06/23 16:39", "0"
"Gossiping#M.1561278875.A.4B4#00045", "BigLarry", "從舔盤子 就彷彿在告訴我 一切都是演戲", "125.224.242.18 06/23 16:39", "1"
"Gossiping#M.1561278875.A.4B4#00046", "jianpi", "被哪個公關公司騙錢 XD", "49.219.133.133 06/23 16:39", "0"
"Gossiping#M.1561278875.A.4B4#00047", "whitezealman", "騙票，郭真的很急  大陸資產情況不言可喻", "123.205.18.27 06/23 16:40", "0"
"Gossiping#M.1561278875.A.4B4#00048", "waterskyew", "噁噁噁噁噁噁噁噁噁", "114.35.47.215 06/23 16:40", "0"
"Gossiping#M.1561278875.A.4B4#00049", "momogo628", "假掰噁", "118.170.56.183 06/23 16:40", "0"
"Gossiping#M.1561278875.A.4B4#00050", "kzfun2001", "每人家裡一台120吋電視我就投", "42.77.98.212 06/23 16:41", "0"
"Gossiping#M.1561278875.A.4B4#00051", "rttlac", "選票騙起來", "42.77.100.12 06/23 16:42", "0"
