"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1561281640.A.DDB#00000", "a10141013", "1.媒體來源:<br>上報<br><br>2.記者署名<br>楊毅<br><br>3.完整新聞標題:<br>【選戰觀察】韓民調止跌回穩　台中造勢後「西瓜效應」逐漸形成<br><br>4.完整新聞內文:<br>高雄市長韓國瑜今晚到台中市參加挺韓造勢大會，主辦單位喊出現場湧進20萬支持者，場<br>面壯觀。歷經四場造勢活動後，韓國瑜的最新民調支持度有「止跌回穩」跡象，尤其閣揆<br>蘇貞昌及民進黨全黨上下與韓市府在登革熱防疫議題上，一番角力及操作打壓下，更讓韓<br>國瑜氣勢明顯回升，經過今晚的台中挺韓大會後，國民黨內總統初選競爭局勢，會否逐漸<br>形成「西瓜效應」，將是接下來全民調前半個月的一大觀察指標。<br><br>今天的中部挺韓造勢大會，台中紅、黑派系總動員，江啟臣、顏寬恒、沈智慧、柯呈枋及<br>許淑華等中部立委幾乎全數到場，國民黨市議會黨團議員更是全員到齊；而久未露面的前<br>台中市長胡志強及邵曉鈴夫婦還以「神秘嘉賓」現身站台發表談話，將氣氛炒到最高點。<br>造勢結束後，未到場參與的台中市長盧秀燕也盡地主之誼，私下宴請韓國瑜夫婦及紅黑派<br>「龍頭」張清堂、顏清標等人餐敘，給足韓面子及裡子。<br><br>久未露面的前台中市長胡志強及邵曉鈴夫婦還以「神秘嘉賓」現身站台發表談話，將氣氛<br>炒到最高點。（攝影：張家銘）<br><br>破除「黨中央卡韓」耳語　地方挺韓西瓜效應湧現<br><br>熟悉地方政治生態的黨內人士表示，從今天韓國瑜到台中造勢的場面，及他與地方派系頭<br>人或政壇要角的熱絡互動來看，可望在黨內初選最後階段，拉抬參選氣勢，有助於許多原<br>先觀望暫不表態或部分「西瓜派」人士轉向支持。<br><br>此外，韓國瑜與鴻海董事長郭台銘兩人，雖然看似民調支持度緊繃拉鋸，但韓透過到地方<br>造勢，可以讓許多民調測不到、媒體較難以觸及的鄉村、偏遠地區，產生口耳相傳的挺韓<br>擴散效果。「經過今天台中的造勢後，韓國瑜的氣勢會再往上衝一波，慢慢地『西瓜效應<br>』恐會形成！」一位藍營前輔選高層更是如此形容。<br><br>事實上，近來黨內總統初選情勢詭譎，相關陰謀論、耳語更是層出不窮，像是今天在台中<br>挺韓造勢會場，不少黨籍民代都頗為焦慮，私下交談時頻問彼此：「聽說黨中央民調會把<br>韓國瑜作掉」「你覺得郭、韓誰會出線？」「韓若過了初選，大選還會贏嗎？」因此，今<br>天的挺韓造勢大會上，不管是主持人或助講民代，都刻意高分貝呼籲黨內團結，呼籲「韓<br>粉」一定守住民調電話等。<br><br>台南市議員謝龍介下午到台中市為挺韓大會站台。（攝影：張家銘）<br><br>痛批民進黨政府　韓國瑜：就想看高雄出洋相！<br><br>相較於前幾場造勢大會，韓國瑜今晚發表壓軸演說時，似乎也顯得更有信心，劈頭就痛批<br>民進黨政府，直指高雄市發生登革熱疫情，「中央政府不能因為不同政黨，就要看你出洋<br>相、鬧笑話」。他並舉例，馬政府時期，2015年高雄也爆發登革熱，當時的行政院長張善<br>政結合中央及地方資源，共同撲滅疫情；而2016年美濃大地震，張善政也跑到台南，中央<br>撥款新台幣200億元，與當時的台南市長賴清德一起災後重建。<br><br>韓火力全開抨擊，現在的民進黨怎麼看不同城市的天災人禍？不能因為政黨不同就幸災樂<br>禍，不能因為不是自己人，就要看對方發生災難。<br><br>轟綠營得「權力中毒症」　韓：離人民越來越遠<br><br>接著，韓國瑜話鋒一轉批評，民進黨的總統大選民調，讓了解民調的人都當成笑話，包括<br>專長民調的台大學者洪永泰、前總統陳水扁等人，都表示不相信民進黨的民調結果；日前<br>，民進黨更是在立法院強行通過修改《公投法》，這讓他感受到民進黨得了「權力中毒症<br>」，每一件事情都離人民愈來愈遠，對比20年前和今天的畫面，「民進黨落後太多，勤政<br>、愛鄉土的民進黨已經完全失去！」<br><br>從今天韓國瑜表現「回神」，不難看見他似乎已經重拾自信，挺過這段時間來自於黨內外<br>的紛紛擾擾，重新回到去年選前承接社會「討厭民進黨」政治能量及痛踩執政當局痛腳的<br>領導人角色，未來這段時間，挺韓的「西瓜效應」會否真的漸漸形成，助韓一舉在黨內初<br>選出線，將是後續觀察重點。<br><br>只不過，政治局勢倏忽變化，如今的民進黨已經從敗選陰霾中，迅速整隊、重建廢墟。韓<br>、郭兩人不管是誰在初選勝出，之後能否順利整合黨內各股勢力，扮演藍營團結的「桶箍<br>」角色，而不因各自「獨強」，互相消耗「挺韓防台」或「抗韓挺郭」力量，恐怕更是國<br>民黨能否贏得明年大選，進而重返執政的重要關鍵。<br><br>5.完整新聞連結 (或短網址):<br>https://www.upmedia.mg/news_info.php?SerialNo=65854<br><br><br>6.備註:<br>※ 一個人一天只能張貼一則新聞，被刪或自刪也算額度內，超貼者水桶，請注意<br><br>--<br>", "", ""
"Gossiping#M.1561281640.A.DDB#00001", "signm", "非韓不投", "42.75.98.184 06/23 17:21", "0"
"Gossiping#M.1561281640.A.DDB#00002", "BMI100", "三小西瓜效應", "223.138.249.225 06/23 17:21", "0"
"Gossiping#M.1561281640.A.DDB#00003", "final00095", "ZzzzZzZzZzz", "223.141.90.159 06/23 17:21", "0"
"Gossiping#M.1561281640.A.DDB#00004", "wang0301", "乾我屁事 垃圾草包", "42.77.254.140 06/23 17:21", "0"
"Gossiping#M.1561281640.A.DDB#00005", "EggAcme", "沒有新民調怎知道止跌了", "36.235.139.21 06/23 17:21", "0"
"Gossiping#M.1561281640.A.DDB#00006", "jason2325", "穩定的低", "218.164.170.216 06/23 17:21", "0"
"Gossiping#M.1561281640.A.DDB#00007", "dearjohn", "笑了~", "118.232.156.121 06/23 17:21", "0"
"Gossiping#M.1561281640.A.DDB#00008", "a12367227", "是西瓜沒錯", "223.136.94.247 06/23 17:21", "0"
"Gossiping#M.1561281640.A.DDB#00009", "tomo1026", "這哪間媒體  完全沒看過", "111.240.214.41 06/23 17:21", "0"
