"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1561282423.A.D87#00000", "Jingaybye", "看著凱道群魔亂舞<br><br>明目張膽的打擊言論自由<br><br>不少成員還都是台灣的年輕人<br><br>讓我不禁很擔心台灣的未來<br><br>年輕一輩如此不堪<br><br>我們這些老人還沒死就如此囂張<br><br>等我們死了<br><br>這些年輕人是不是要顛覆中華民國了？<br><br>今天這場造勢<br><br>真的斷了我對台灣未來的希望<br><br>我看台灣未來就要敗在他們手上了<br><br>有人跟我一樣亡國感很重的嗎？<br>-----<br>Sent from JPTT on my iPhone<br><br>--<br>", "", ""
"Gossiping#M.1561282423.A.D87#00001", "Formosan", "反串", "111.246.16.195 06/23 17:33", "0"
"Gossiping#M.1561282423.A.D87#00002", "cofc", "沒有", "117.19.208.11 06/23 17:33", "0"
"Gossiping#M.1561282423.A.D87#00003", "andre9", "死五毛", "111.241.124.22 06/23 17:33", "0"
"Gossiping#M.1561282423.A.D87#00004", "lu723", "可撥仔崩潰夠了沒", "49.216.9.178 06/23 17:34", "0"
"Gossiping#M.1561282423.A.D87#00005", "cena0605", "XD", "153.209.171.82 06/23 17:34", "0"
"Gossiping#M.1561282423.A.D87#00006", "papaganono", "反串給推", "101.14.140.194 06/23 17:34", "0"
"Gossiping#M.1561282423.A.D87#00007", "takechance", "XDDDDDDDD", "114.43.217.130 06/23 17:34", "0"
"Gossiping#M.1561282423.A.D87#00008", "mark60505", "沒", "27.242.103.245 06/23 17:34", "0"
"Gossiping#M.1561282423.A.D87#00009", "donjenet", "下去", "182.232.130.120 06/23 17:34", "0"
"Gossiping#M.1561282423.A.D87#00010", "sourrr", "你本來就沒國 別怕", "114.36.112.33 06/23 17:34", "0"
"Gossiping#M.1561282423.A.D87#00011", "pigpig1103", "趕快死一死拜託", "111.71.113.205 06/23 17:34", "0"
"Gossiping#M.1561282423.A.D87#00012", "sesame307", "沒有", "111.254.29.109 06/23 17:34", "0"
"Gossiping#M.1561282423.A.D87#00013", "r30385", "滾", "223.139.198.66 06/23 17:34", "0"
"Gossiping#M.1561282423.A.D87#00014", "https", "既得利益者鞏固權力的嘴臉", "123.205.150.117 06/23 17:34", "0"
