"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1561282989.A.70E#00000", "eatk", "臉書卦點說明：<br><br>青年人代表政治育兒大師妖西表示 看不懂反紅媒遊行的意義。<br><br>臉書連結：<br>https://www.facebook.com/1508211656/posts/10213964282290329?s=576975715&sfns=m<br><br><br>ＦＢ內容：<br><br>我看不是很懂反紅媒遊行的政治意義，到底是在幫小英挽救頹勢，還是黃國昌要單飛前試<br>水溫，還是時代力量在做武力展示，還是時代力量要和柯結盟前試水溫...？？？<br><br>唯一訊號明確的是現場多是39歲以下年輕人。<br><br>有人願意提供高見嗎？<br><br><br>妖粉們紛紛做出解讀<br><br>https://i.imgur.com/h1lHg3e.jpg<br>https://i.imgur.com/bWOvfUj.jpg<br>https://i.imgur.com/KdEzYxn.jpg<br>--<br>", "", ""
"Gossiping#M.1561282989.A.70E#00001", "tim8177414", "這人還沒死喔？", "42.72.178.227 06/23 17:43", "0"
"Gossiping#M.1561282989.A.70E#00002", "td875421", "他誰r", "175.96.99.153 06/23 17:43", "0"
"Gossiping#M.1561282989.A.70E#00003", "wwf0322", "思想的巨人", "49.219.68.136 06/23 17:43", "0"
"Gossiping#M.1561282989.A.70E#00004", "lovegensokyo", "思想的巨人", "114.137.193.206 06/23 17:43", "0"
"Gossiping#M.1561282989.A.70E#00005", "took", "滾好嗎", "111.251.201.211 06/23 17:43", "0"
"Gossiping#M.1561282989.A.70E#00006", "thegreatlcx", "智障", "180.204.194.180 06/23 17:43", "0"
"Gossiping#M.1561282989.A.70E#00007", "hotlatte", "年輕版吳祥輝", "223.140.189.57 06/23 17:43", "0"
"Gossiping#M.1561282989.A.70E#00008", "watashiD", "衝三洨?誰願意挺反紅媒都可以阿", "220.141.125.242 06/23 17:43", "0"
"Gossiping#M.1561282989.A.70E#00009", "vinsmokesanj", "好哦遙希，么西", "36.227.79.134 06/23 17:43", "0"
"Gossiping#M.1561282989.A.70E#00010", "y91yi39", "思想的巨人", "140.119.121.6 06/23 17:44", "0"
"Gossiping#M.1561282989.A.70E#00011", "wwvvkai", "思想的巨人", "61.56.182.169 06/23 17:44", "0"
"Gossiping#M.1561282989.A.70E#00012", "s87995109", "說風涼話最簡單", "101.9.140.235 06/23 17:44", "0"
"Gossiping#M.1561282989.A.70E#00013", "pp9960", "都有", "114.36.168.10 06/23 17:44", "0"
"Gossiping#M.1561282989.A.70E#00014", "aggressorX", "一群小人之心度君子之腹的XDDD", "36.231.35.220 06/23 17:44", "0"
"Gossiping#M.1561282989.A.70E#00015", "eko112", "說法跟847講法差不多~~~難怪都很邊緣XD", "114.40.190.25 06/23 17:44", "0"
"Gossiping#M.1561282989.A.70E#00016", "E6300", "這個看起來好像也是統戰仔", "111.254.25.218 06/23 17:44", "0"
"Gossiping#M.1561282989.A.70E#00017", "lovejamwu", "這人是日本人？", "114.43.143.190 06/23 17:44", "0"
"Gossiping#M.1561282989.A.70E#00018", "libraayu", "思想的巨人", "118.169.148.2 06/23 17:44", "0"
"Gossiping#M.1561282989.A.70E#00019", "maplefog", "政治意義就是大家都想來收割", "218.166.134.36 06/23 17:44", "0"
"Gossiping#M.1561282989.A.70E#00020", "sshwann", "哈哈年輕吳祥輝 真的口徑一致", "1.170.155.115 06/23 17:44", "0"
"Gossiping#M.1561282989.A.70E#00021", "jhshen15", "發自己臉書取暖 只會吸到同溫層的人", "61.219.165.80 06/23 17:44", "0"
"Gossiping#M.1561282989.A.70E#00022", "lovebody", "干我屁事 怎不來貼我的FB", "42.74.30.212 06/23 17:44", "0"
"Gossiping#M.1561282989.A.70E#00023", "nash610", "感覺他很羨慕耶~", "61.228.11.106 06/23 17:45", "0"
"Gossiping#M.1561282989.A.70E#00024", "k23", "壞人不相信好人會做好事", "223.141.59.32 06/23 17:45", "0"
"Gossiping#M.1561282989.A.70E#00025", "kakain", "浪費時間", "175.96.127.74 06/23 17:45", "0"
"Gossiping#M.1561282989.A.70E#00026", "zgmfx10azxcv", "哈哈哈哈哈", "49.216.159.170 06/23 17:45", "0"
