"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1561284253.A.38A#00000", "Rrrxddd", "※ 引述《solemnDan (abcdan)》之銘言：<br>: 今天遊行擠不到前面，所以小妹回家看直播<br>: 結果家中長輩看到後，就說<br>: 「對啦!三明自最中立公正啦!」<br>: 「就你們可以有新聞自由，其他人都不可以」<br>: 「邊緣人黃XX又有曝光度囉!下屆一定當選」<br>: 「現在藍色媒體就這麼幾家，其他都是綠色媒體，你看公視董事長是綠的，哀，都欺負<br>人<br>: 小妹聽完差一點嚇到彈出來<br>: 儘管努力解釋，我們是反紅媒，不代表我們支持三民自。公視的新聞不太有特定立場。<br>: 但是家中的長輩還是聽不進去<br>: 小妹認為，如果台灣真的箝制言論自由的話，那麼NCC應該早就開鍘了<br>: 不會到現在都沒有動作。就是因為一旦斬下去，很難向另外一部份的群眾說明你開鍘的<br>標<br>: 有沒有人家中長輩也是邊看新聞邊罵的八卦?<br><br><br>餓死抬頭<br><br>本來就是今天這場<br>就是智障吱自慰場<br><br>垃圾只許州官放火<br>其他聲音都容不下<br><br>只要是異己就打壓<br>垃圾集會只敢叫囂<br><br><br>--<br>", "", ""
"Gossiping#M.1561284253.A.38A#00001", "s27052705", "嗯", "61.223.133.140 06/23 18:04", "0"
"Gossiping#M.1561284253.A.38A#00002", "k4654564", "0分", "223.136.180.255 06/23 18:04", "0"
"Gossiping#M.1561284253.A.38A#00003", "williamhan", "日本的中文真好", "223.140.234.102 06/23 18:04", "0"
"Gossiping#M.1561284253.A.38A#00004", "lin5656", "喔", "27.247.75.96 06/23 18:04", "0"
"Gossiping#M.1561284253.A.38A#00005", "willywasd", "日本讚哦，反串弄好一點好爆", "223.136.160.58 06/23 18:04", "0"
"Gossiping#M.1561284253.A.38A#00006", "t81511270", "ID跟IP正確", "36.234.140.205 06/23 18:05", "0"
"Gossiping#M.1561284253.A.38A#00007", "TsaoCharlie", "跳板仔", "1.163.77.56 06/23 18:05", "0"
"Gossiping#M.1561284253.A.38A#00008", "kyozwhie", "跳板的滾", "122.116.200.172 06/23 18:05", "0"
"Gossiping#M.1561284253.A.38A#00009", "lovesooman", "嗯", "36.238.18.128 06/23 18:05", "0"
"Gossiping#M.1561284253.A.38A#00010", "evan81117", "嗯嗯嗯", "223.137.203.154 06/23 18:05", "0"
"Gossiping#M.1561284253.A.38A#00011", "FRANCO11", "這次是日本啊", "49.217.131.43 06/23 18:05", "0"
"Gossiping#M.1561284253.A.38A#00012", "qwerty110", "挖 日本人你好", "118.166.42.231 06/23 18:05", "0"
"Gossiping#M.1561284253.A.38A#00013", "togmogo", "逆哄狗中文啵棒", "42.77.212.255 06/23 18:06", "0"
