"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1561285332.A.B59#00000", "ck960785", "館長那幫人<br><br>享受著前人打拼出來的民主<br><br>蠱惑群眾在凱道上要關閉媒體<br><br>這分明就是打著民主反民主的鬧劇<br><br>這幫人難道就不能維護新聞自由嗎<br><br>有無八卦？<br><br>--<br>", "", ""
"Gossiping#M.1561285332.A.B59#00001", "lmf770410", "所以要幫假新聞護航嗎？你的邏輯真的很可悲", "42.76.163.228 06/23 18:22", "0"
"Gossiping#M.1561285332.A.B59#00002", "wwf0322", "樓下給分", "49.219.68.136 06/23 18:22", "0"
"Gossiping#M.1561285332.A.B59#00003", "johnwu", "公三小", "180.177.115.73 06/23 18:22", "0"
"Gossiping#M.1561285332.A.B59#00004", "qazzxc12351", "喔", "111.83.74.188 06/23 18:22", "0"
"Gossiping#M.1561285332.A.B59#00005", "UenoJoe", "先搞清楚民主定義。", "49.215.137.182 06/23 18:22", "0"
"Gossiping#M.1561285332.A.B59#00006", "hcc570910", "xxxx", "114.36.70.34 06/23 18:22", "0"
"Gossiping#M.1561285332.A.B59#00007", "totenkopf001", "9.2會怕厚", "223.137.216.38 06/23 18:22", "0"
"Gossiping#M.1561285332.A.B59#00008", "ken812025", "防衛性民主", "49.217.66.228 06/23 18:22", "0"
"Gossiping#M.1561285332.A.B59#00009", "wonstop", "反串失敗", "223.136.91.218 06/23 18:22", "0"
"Gossiping#M.1561285332.A.B59#00010", "white1861", "播報假新聞的媒體 有人就是分不出來，蠢", "101.13.236.246 06/23 18:22", "0"
"Gossiping#M.1561285332.A.B59#00011", "j8630222", "敵國造謠媒體 這不叫自由", "36.230.175.57 06/23 18:23", "0"
"Gossiping#M.1561285332.A.B59#00012", "calance", "要幾篇", "27.247.131.58 06/23 18:23", "0"
"Gossiping#M.1561285332.A.B59#00013", "stu00184", "防衛性民主", "180.217.176.68 06/23 18:23", "0"
"Gossiping#M.1561285332.A.B59#00014", "Lenney33", "帶風向失敗", "36.229.55.120 06/23 18:23", "0"
