"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1561288126.A.D9B#00000", "tsukiji", "新聞來源:自由<br><br>記者署名:王榮祥<br><br>新聞標題:亂扯台南地震補助差10倍 王淺秋：韓國瑜說的是「態度」<br><br>新聞內容:<br>〔記者王榮祥／高雄報導〕高雄市長韓國瑜指台南地震時中央就撥了200億元，今天遭台<br>南市長黃偉哲更正，不是200億元、是20億，「希望韓市長不要用不實數據、不實態度」<br>來謔言；高雄市新聞局長王淺秋回應，「韓市長強調的是出發點的起心動念」，主要是「<br>態度」。<br><br>韓國瑜昨天在台中造勢大會中，針對登革熱疫情，指稱中央要看他「鬧笑話、出洋相」，<br>還說當年台南地震「中央就撥了200億元」；黃偉哲今反駁，指出從沒200億元、是20億元<br>，並表示，在2015年台南登革熱最嚴重時候，中央補助也從來沒比高雄多，希望韓國瑜不<br>要用不實的數據、用不實的態度來謔言。<br><br>黃偉哲說，前行政院長張善政所提到的200億是他的構想，是針對土壤液化部分，後來也<br>根本沒付諸實施，所以就根本沒有那200億存在，也不知道為什麼會有那樣子的落差，會<br>有這樣子不實謠言的散佈。<br><br>王淺秋今表示，韓國瑜強調的是一個「出發點的起心動念」，主要是「態度」，地方有災<br>情生時，中央政府應該要全心協助地方政府，行政院前行政院長張善政就主動以擔心土壤<br>液化為前提，框列200億預算，而非刁難、或表面上支持，再以放話或挑毛病負面攻擊。<br><br>王淺秋指出，韓國瑜是希望中央、地方應該一起以防疫為優先，不要有政治考量。<br><br>新聞網址:https://reurl.cc/qAnGn<br><br>--<br>", "", ""
"Gossiping#M.1561288126.A.D9B#00001", "freezeraven", "熊庹", "61.228.186.160 06/23 19:09", "0"
"Gossiping#M.1561288126.A.D9B#00002", "alen091918", "嘴炮最會", "101.10.82.249 06/23 19:09", "0"
"Gossiping#M.1561288126.A.D9B#00003", "MrXD", "一下意志 一下態度  這詐騙集團真喇叭", "36.235.244.108 06/23 19:09", "0"
"Gossiping#M.1561288126.A.D9B#00004", "DarenR", "韓粉的最愛，看清楚，到底是誰比較愛抹黑？", "115.82.12.158 06/23 19:09", "0"
"Gossiping#M.1561288126.A.D9B#00005", "uplove", "耳心", "112.96.106.184 06/23 19:09", "0"
"Gossiping#M.1561288126.A.D9B#00006", "k4654564", "共三小", "223.136.180.255 06/23 19:09", "0"
"Gossiping#M.1561288126.A.D9B#00007", "jeeffrey3688", "態度你媽啦幹", "223.136.195.29 06/23 19:09", "0"
"Gossiping#M.1561288126.A.D9B#00008", "lisasa", "哈哈哈哈哈哈", "118.166.69.98 06/23 19:10", "0"
"Gossiping#M.1561288126.A.D9B#00009", "scott33", "草包的態度 還是草包，韓草包的態度就是韓極混", "58.115.168.192 06/23 19:10", "0"
"Gossiping#M.1561288126.A.D9B#00010", "kakasi987", "有夠智障", "39.9.228.65 06/23 19:10", "0"
"Gossiping#M.1561288126.A.D9B#00011", "kakamonster", "什麼都能凹 尚書大人真機靈", "223.136.205.82 06/23 19:10", "0"
"Gossiping#M.1561288126.A.D9B#00012", "dbdudsorj", "整個團隊都一模一樣", "42.76.180.246 06/23 19:10", "0"
