"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1561289435.A.974#00000", "jiern", "臉書卦點說明：（繁體中文 20 個字）<br>國民黨籍高雄市市長--韓國瑜<br>剛剛在臉書發表新文<br>喊各位鄉親辛苦了 一起加油<br><br>為他在台中被動參加的造勢場合<br><br>https://i.imgur.com/986r6Ii.jpg<br>臉書連結：<br>https://m.facebook.com/twherohan/?locale2=zh_TW<br><br>ＦＢ內容：<br><br>謝謝所有來台中的鄉親朋友，辛苦大家了，感謝再感謝，一起加油！<br><br>     相關影片連結：<br>https://youtu.be/VcyzkTaRwP4<br>--<br>", "", ""
"Gossiping#M.1561289435.A.974#00001", "Zw111196", "ㄛ", "223.141.42.48 06/23 19:30", "0"
"Gossiping#M.1561289435.A.974#00002", "onollll", "含狗魚", "110.28.190.35 06/23 19:30", "0"
"Gossiping#M.1561289435.A.974#00003", "roywow", "滾出去", "123.194.138.172 06/23 19:30", "0"
"Gossiping#M.1561289435.A.974#00004", "north7", "這臉欠推", "58.114.190.47 06/23 19:31", "0"
"Gossiping#M.1561289435.A.974#00005", "miler22020", "垃圾智障", "61.142.5.138 06/23 19:31", "0"
"Gossiping#M.1561289435.A.974#00006", "pp9960", "又醉了嗎，慢了一天", "114.36.168.10 06/23 19:31", "0"
"Gossiping#M.1561289435.A.974#00007", "wwf0322", "樓下陰囊粉", "49.219.68.136 06/23 19:31", "0"
"Gossiping#M.1561289435.A.974#00008", "t81511270", "時間停留在 6/22", "36.234.140.205 06/23 19:31", "0"
"Gossiping#M.1561289435.A.974#00009", "lawrance", "87", "101.12.27.2 06/23 19:31", "0"
"Gossiping#M.1561289435.A.974#00010", "Waitaha", "AAAAAAAAAAAA", "36.231.173.157 06/23 19:31", "0"
"Gossiping#M.1561289435.A.974#00011", "nonsu", "10噓內", "223.138.192.2 06/23 19:31", "0"
"Gossiping#M.1561289435.A.974#00012", "s655131", "每個禮拜都在造勢衝三小", "42.72.199.235 06/23 19:31", "0"
"Gossiping#M.1561289435.A.974#00013", "nets7", "非韓不投", "101.12.137.94 06/23 19:32", "0"
"Gossiping#M.1561289435.A.974#00014", "sars7125889", "今天有被CUE到 看明天要說啥XDD", "106.1.12.44 06/23 19:32", "0"
"Gossiping#M.1561289435.A.974#00015", "weido666", "活在自己的世界噁噁噁", "1.172.137.36 06/23 19:32", "0"
"Gossiping#M.1561289435.A.974#00016", "dostey", "舔共的 堅持台灣與中國要統一的 很噁", "124.218.49.54 06/23 19:32", "0"
"Gossiping#M.1561289435.A.974#00017", "joy2105feh", "喝蛋賣造啦幹", "180.177.25.49 06/23 19:32", "0"
"Gossiping#M.1561289435.A.974#00018", "goldman0204", "-.-", "1.170.36.177 06/23 19:32", "0"
"Gossiping#M.1561289435.A.974#00019", "bhirava2014", "幹～光頭會發光呢．．．噁噁噁", "220.129.57.129 06/23 19:32", "0"
"Gossiping#M.1561289435.A.974#00020", "ab840808", "?", "61.61.21.142 06/23 19:33", "0"
"Gossiping#M.1561289435.A.974#00021", "alexyen0606", "嘔嘔嘔嘔", "61.222.153.200 06/23 19:33", "0"
"Gossiping#M.1561289435.A.974#00022", "tomoko17", "登革熱24例", "223.139.249.59 06/23 19:33", "0"
"Gossiping#M.1561289435.A.974#00023", "zombieguy", "整天造勢選總統ㄟ，高雄他媽到底還有沒有市長?", "180.217.118.63 06/23 19:33", "1"
"Gossiping#M.1561289435.A.974#00024", "sunnybrother", "噁心", "101.15.164.0 06/23 19:33", "0"
"Gossiping#M.1561289435.A.974#00025", "unfun", "純粹噓", "1.163.223.206 06/23 19:33", "0"
"Gossiping#M.1561289435.A.974#00026", "vanadiu", "韓島加油 成為狗黨黨主席...搞垮就靠你了", "125.224.211.215 06/23 19:34", "1"
"Gossiping#M.1561289435.A.974#00027", "worldtree", "難得舒服的一天看到垃圾就反胃", "101.13.195.88 06/23 19:34", "0"
"Gossiping#M.1561289435.A.974#00028", "god123456789", "到底發文的小編是要弄魚還是幫魚XD", "115.82.209.221 06/23 19:34", "1"
"Gossiping#M.1561289435.A.974#00029", "mazii", "非韓不投", "114.137.76.8 06/23 19:34", "0"
"Gossiping#M.1561289435.A.974#00030", "deeplythink", "紅色媒體與走狗滾出台灣!", "36.237.90.240 06/23 19:34", "0"
"Gossiping#M.1561289435.A.974#00031", "okgod", "滾出台灣好嗎", "223.138.171.33 06/23 19:34", "0"
"Gossiping#M.1561289435.A.974#00032", "audi0909", "滾", "140.112.4.190 06/23 19:34", "0"
"Gossiping#M.1561289435.A.974#00033", "chaunen", "==============噁心的陰囊臉============", "124.12.54.171 06/23 19:34", "1"
"Gossiping#M.1561289435.A.974#00034", "twmarstw7758", "滾", "223.136.117.254 06/23 19:34", "0"
"Gossiping#M.1561289435.A.974#00035", "XYZP", "年底11/24快來吧~", "115.43.30.127 06/23 19:34", "0"
"Gossiping#M.1561289435.A.974#00036", "ScounDrel", "噁心", "111.83.248.217 06/23 19:34", "0"
"Gossiping#M.1561289435.A.974#00037", "a5413eric", "滾啦 幹", "114.45.78.27 06/23 19:34", "0"
"Gossiping#M.1561289435.A.974#00038", "thenorth", "滾", "114.136.132.254 06/23 19:34", "0"
"Gossiping#M.1561289435.A.974#00039", "dogmax", "幹你大聖王", "114.27.50.139 06/23 19:34", "0"
"Gossiping#M.1561289435.A.974#00040", "eeffbbjjoo", "噁心", "59.115.113.107 06/23 19:34", "0"
"Gossiping#M.1561289435.A.974#00041", "daniellin999", "噁心", "49.215.145.153 06/23 19:34", "0"
"Gossiping#M.1561289435.A.974#00042", "nakajo", "嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔", "101.12.2.154 06/23 19:34", "0"
"Gossiping#M.1561289435.A.974#00043", "shiauji", "垃圾一堆....補噓", "42.72.33.160 06/23 19:35", "0"
"Gossiping#M.1561289435.A.974#00044", "simple721", "白癡", "101.9.19.86 06/23 19:35", "0"
"Gossiping#M.1561289435.A.974#00045", "manygod", "講話不算話 大人大種還被動 看一次噓一次", "114.26.238.31 06/23 19:35", "1"
"Gossiping#M.1561289435.A.974#00046", "ling30113", "滾", "59.126.51.98 06/23 19:35", "0"
"Gossiping#M.1561289435.A.974#00047", "nega883100", "請問韓粉昨天留下的屎可以寄去高市府", "42.72.137.186 06/23 19:35", "1"
"Gossiping#M.1561289435.A.974#00048", "hbj1941", "台中的垃圾清了嗎，你都隻字不提", "101.13.255.62 06/23 19:35", "0"
"Gossiping#M.1561289435.A.974#00049", "imto", "滾", "171.253.7.191 06/23 19:35", "0"
"Gossiping#M.1561289435.A.974#00050", "kaiyaya", "唯一支持韓總機代表國民黨", "42.73.229.34 06/23 19:35", "0"
"Gossiping#M.1561289435.A.974#00051", "blackheart33", "滾 整天忙選舉", "27.246.226.66 06/23 19:35", "0"
"Gossiping#M.1561289435.A.974#00052", "IamHsihPing", "怒噓", "140.112.243.93 06/23 19:35", "0"
"Gossiping#M.1561289435.A.974#00053", "YYA", "..", "39.9.161.7 06/23 19:36", "0"
"Gossiping#M.1561289435.A.974#00054", "chter", "噁心，想吐", "223.136.209.148 06/23 19:36", "0"
"Gossiping#M.1561289435.A.974#00055", "kyo99", "噁心", "1.169.5.80 06/23 19:36", "0"
