"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1561290791.A.8F9#00000", "mahoro", "台灣最難能可貴的就是言論和新聞自由<br><br>在台灣可以有任何的政治立場不用擔心被追殺<br><br>不管你是台獨還是統一的都不用擔心明天早上就人間蒸發<br><br>今天居然要求政府介入去關某家媒體是不是太過分了?<br><br>今天你不喜歡某家媒體應該讓市場機制去自然淘汰他<br><br>而不是要求政府介入<br><br>自古以來只有獨裁政權才會去控制媒體<br><br>今天如果政府照辦了可能會爽到一些人<br><br>可是這也把台灣的民主言論自由新聞自由重重的踩在腳下<br><br>這是大家願意看到的嗎?<br><br>--<br>", "", ""
"Gossiping#M.1561290791.A.8F9#00001", "whiteadam", "綠共", "220.135.52.193 06/23 19:53", "0"
"Gossiping#M.1561290791.A.8F9#00002", "ks89213", "五毛吃屎", "27.247.0.100 06/23 19:53", "0"
"Gossiping#M.1561290791.A.8F9#00003", "bluenan", "支那給我滾，哭爸三洨! 幹，哭爸別人發錢的，自已不會拿錢出來發?", "114.34.107.8 06/23 19:54", "0"
"Gossiping#M.1561290791.A.8F9#00004", "Julian9x9x9", "所以今天人民氣到上街就表示紅媒不得民心啊 有問題嗎", "39.12.128.123 06/23 19:54", "1"
"Gossiping#M.1561290791.A.8F9#00005", "howardnikolo", "就覺青公幹長青的一貫伎倆", "223.140.152.207 06/23 19:54", "0"
"Gossiping#M.1561290791.A.8F9#00006", "Tuscany", "到敵國開電視台  呵呵", "118.169.210.189 06/23 19:54", "0"
"Gossiping#M.1561290791.A.8F9#00007", "darkbrigher", "屁啦 世界各國都有在管制外資媒體", "111.242.5.239 06/23 19:54", "0"
"Gossiping#M.1561290791.A.8F9#00008", "dondon0503", "沒有什麼市場機制 它們是靠中共金援的", "111.241.189.51 06/23 19:54", "1"
"Gossiping#M.1561290791.A.8F9#00009", "jack34031", "去去426走", "101.8.210.152 06/23 19:54", "0"
"Gossiping#M.1561290791.A.8F9#00010", "DaShihGuai", "你這種説法早就破綻百出了換一個吧", "223.140.52.255 06/23 19:54", "0"
"Gossiping#M.1561290791.A.8F9#00011", "ColdLander", "喔 （挖鼻）", "123.0.40.20 06/23 19:54", "0"
"Gossiping#M.1561290791.A.8F9#00012", "iwantsc2", "在台灣宣揚中國=在德國宣揚納粹", "36.226.54.91 06/23 19:54", "0"
"Gossiping#M.1561290791.A.8F9#00013", "spartaucs896", "去德國開納粹電視台啊", "101.10.39.226 06/23 19:54", "0"
"Gossiping#M.1561290791.A.8F9#00014", "databbs", "牽扯到併吞的可能性 誰還跟你講言論什麼", "49.218.21.79 06/23 19:54", "1"
"Gossiping#M.1561290791.A.8F9#00015", "chengcti", "中國急了 下令全體消毒 否則不要回中國", "42.72.166.26 06/23 19:54", "1"
"Gossiping#M.1561290791.A.8F9#00016", "noise5566", "透過自由民主宣傳極權獨裁 笑死", "180.218.165.75 06/23 19:54", "0"
"Gossiping#M.1561290791.A.8F9#00017", "firemothra", "而且今天發錢文超多，一堆帶風向的", "36.236.112.172 06/23 19:55", "0"
