"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"HatePolitics#M.1554892499.A.B37#00000", "Wojnarowski", "FB連結：<br><br>https://reurl.cc/o8lVD<br><br><br>FB內容：<br><br>#這是一場捍衛執政價值的選擇<br>　　<br>執政，是為了台灣前途的堅持，為了改革理念的實現。從做總統第一天我就知道，這條路<br>會很艱辛，我一定遍體鱗傷。我的傷口，當然是國民黨和反對者攻擊的破口，但是如果大<br>家一起來捍衛執政的價值，歷史將會證明，因為堅持改革和主權，現在的傷口，將是未來<br>公道評價的勳章。<br>　　<br>這場初選，應該是「捍衛執政價值」的選擇，而不是「自我否定執政」的選擇。<br>　　<br>#初選的目標是在打贏大選<br>　　<br>初選，目標不是誰的輸贏，而在打贏大選。<br>　　<br>處理初選，黨的任何思考和做法，我都尊重。重點不是誰的輸贏，應該是以如何打贏大選<br>、繼續執政為目標。因為黨是大家的，成敗興亡從不繫於一人一派，而是所有同志願意共<br>同面對、集體承擔。<br>　　<br>2008之前，出任民進黨主席或競選總統，從來不是我期待的人生選項，爭權謀位更不是蔡<br>英文的個性。過去，當歷史的責任和使命擺在眼前，不管如何艱難，我不曾退縮怯戰。<br>　　<br>#國家利益就是總統的任務<br>　　<br>台灣只有一個，國家前途永遠大於政黨利益。今天我是身受人民託付的總統，我很清楚自<br>己最重要的責任是什麼：捍衛國家主權、捍衛執政價值、捍衛本土政權。做好總統每一天<br>的工作，這就是我的任務。<br>　　<br>支持執政、捍衛台灣的辣台派們，請跟著蔡英文一起，繼續堅定向前走！<br>　　<br>#辣台派<br>#捍衛執政價值<br><br><br>短評或心得：<br><br>蔡英文表示這場黨內初選是為了捍衛執政價值而不是自我否定執政，並希望支持執政、捍<br>衛台灣的辣台派們一起跟著她向前走<br><br><br>--<br>", "", ""
"HatePolitics#M.1554892499.A.B37#00001", "TheoEpstein", "人多體", "04/10 18:35", "0"
"HatePolitics#M.1554892499.A.B37#00002", "aaa11334", "捍衛妳的威權實際些", "04/10 18:35", "0"
"HatePolitics#M.1554892499.A.B37#00003", "nnkj", "捍衛權位價值", "04/10 18:35", "0"
"HatePolitics#M.1554892499.A.B37#00004", "kero2377", "賴粉給我噓爆他 糙你妹的", "04/10 18:35", "0"
"HatePolitics#M.1554892499.A.B37#00005", "outdowave", "俗辣台妹", "04/10 18:35", "0"
"HatePolitics#M.1554892499.A.B37#00006", "a0986188522", "賴粉站出來", "04/10 18:35", "0"
"HatePolitics#M.1554892499.A.B37#00007", "Stigmata", "我的眼睛要瞎了", "04/10 18:36", "0"
"HatePolitics#M.1554892499.A.B37#00008", "lee0128", "哪來那麼多價值", "04/10 18:36", "0"
"HatePolitics#M.1554892499.A.B37#00009", "MUCHMONEY", "英帝出征", "04/10 18:36", "0"
"HatePolitics#M.1554892499.A.B37#00010", "mark2165", "翻譯賴沒有台灣價值", "04/10 18:36", "0"
"HatePolitics#M.1554892499.A.B37#00011", "shannon8188", "呵呵", "04/10 18:36", "0"
"HatePolitics#M.1554892499.A.B37#00012", "yuxds", "1124大家就投反對票跟妳講了 有點自知之明好嗎?", "04/10 18:36", "0"
"HatePolitics#M.1554892499.A.B37#00013", "WeiKitten", "沒錯! 全力吱持辣台派打敗萬惡LIE神!", "04/10 18:36", "0"
"HatePolitics#M.1554892499.A.B37#00014", "mxr", "這傢伙任內發明了多少價值 厲害了", "04/10 18:36", "0"
"HatePolitics#M.1554892499.A.B37#00015", "LoveIvy", "有點想吐", "04/10 18:36", "0"
"HatePolitics#M.1554892499.A.B37#00016", "yida0725", "看網內互打好開心XDDD", "04/10 18:37", "0"
"HatePolitics#M.1554892499.A.B37#00017", "yanjune", "噁心", "04/10 18:37", "0"
"HatePolitics#M.1554892499.A.B37#00018", "eterbless", "看得我很開心 現在底下英粉到處狂嘯", "04/10 18:37", "0"
"HatePolitics#M.1554892499.A.B37#00019", "WatsonChao", "英粉快來推阿，是一戰的時候了", "04/10 18:37", "0"
"HatePolitics#M.1554892499.A.B37#00020", "Senga41", "英帝加油", "04/10 18:37", "0"
"HatePolitics#M.1554892499.A.B37#00021", "e0689074", "噁", "04/10 18:37", "0"
"HatePolitics#M.1554892499.A.B37#00022", "lowc", "她的幕僚可不可以跟她講一下 OO價值早就被網路當哽玩爛了", "04/10 18:37", "0"
"HatePolitics#M.1554892499.A.B37#00023", "tsgd", "妳滾啦 廢物，這種文章 明年就要下架", "04/10 18:37", "0"
"HatePolitics#M.1554892499.A.B37#00024", "nnkj", "母豬就是矯情", "04/10 18:38", "0"
"HatePolitics#M.1554892499.A.B37#00025", "kepf", "民主國家出這種元首真的很丟臉", "04/10 18:38", "0"
"HatePolitics#M.1554892499.A.B37#00026", "a80563", "看到辣台派真的快吐了！", "04/10 18:38", "0"
"HatePolitics#M.1554892499.A.B37#00027", "elle", "妳滾回八卦取暖啦", "04/10 18:38", "0"
"HatePolitics#M.1554892499.A.B37#00028", "u5710587", "做不好還不改喔 還要硬幹叫做捍衛執政價值，做不好就下台阿 你越捍衛我越毛", "04/10 18:39", "0"
"HatePolitics#M.1554892499.A.B37#00029", "cct1121", "執政價值 是什麼執政價值拉XDDDDD", "04/10 18:39", "0"
