"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"HatePolitics#M.1555997748.A.EC6#00000", "Wonderwalk", "柯粉沒有資格對韓粉說教<br>還叫韓粉要覺醒<br>柯自己也半斤八兩<br>柯粉沒資格說話<br>不要以為自己多高尚<br>柯粉給我B嘴<br><br>--<br>", "", ""
"HatePolitics#M.1555997748.A.EC6#00001", "bluewild", "嗯？", "04/23 13:36", "0"
"HatePolitics#M.1555997748.A.EC6#00002", "gn00399745", "好了啦", "04/23 13:36", "0"
"HatePolitics#M.1555997748.A.EC6#00003", "kolsir", "綠腦滾去旁邊，出來刷存在感 哈哈", "04/23 13:36", "0"
"HatePolitics#M.1555997748.A.EC6#00004", "knightwww", "滾", "04/23 13:36", "0"
"HatePolitics#M.1555997748.A.EC6#00005", "inthenchen", "柯維拉，上工惹ㄛ", "04/23 13:36", "0"
"HatePolitics#M.1555997748.A.EC6#00006", "lowc", "遠離這種ID 沒梗硬要酸 沒連結硬要連結", "04/23 13:36", "0"
"HatePolitics#M.1555997748.A.EC6#00007", "pingtong0602", "滾", "04/23 13:36", "0"
"HatePolitics#M.1555997748.A.EC6#00008", "homway", "呵呵", "04/23 13:36", "0"
"HatePolitics#M.1555997748.A.EC6#00009", "quisk", "我快笑死了", "04/23 13:36", "0"
"HatePolitics#M.1555997748.A.EC6#00010", "mao0906", "懂了 只有韓粉有資格", "04/23 13:36", "0"
"HatePolitics#M.1555997748.A.EC6#00011", "talk5566", "柯文哲如果明年沒有當總統 我幫大家洗車子一整年", "04/23 13:36", "0"
"HatePolitics#M.1555997748.A.EC6#00012", "keydata", "柯粉就是爽看戲，怎樣#", "04/23 13:36", "0"
"HatePolitics#M.1555997748.A.EC6#00013", "KillerMoDo", "ㄛㄏㄏ", "04/23 13:36", "0"
"HatePolitics#M.1555997748.A.EC6#00014", "gn02026394", "韓無心市政 整天想選舉", "04/23 13:36", "0"
"HatePolitics#M.1555997748.A.EC6#00015", "formatted", "所以廠工還要口中這樣的人跟你們蔡英文合？幹", "04/23 13:37", "0"
"HatePolitics#M.1555997748.A.EC6#00016", "amare1015", "你怎麼還在崩潰 好了拉 2020看我韓國瑜總統好好發揮吧", "04/23 13:37", "0"
"HatePolitics#M.1555997748.A.EC6#00017", "blackdog1943", "當然 韓就第一 其他什麼爛咖，柯痞很強還會第三名當邊緣人 嘻嘻", "04/23 13:37", "0"
"HatePolitics#M.1555997748.A.EC6#00018", "iloveayken", "哈哈", "04/23 13:38", "0"
"HatePolitics#M.1555997748.A.EC6#00019", "vancepeng", "Ok", "04/23 13:38", "0"
"HatePolitics#M.1555997748.A.EC6#00020", "opfish", "柯文哲一直沒跟韓國瑜惡言相向 相對 韓對柯也是", "04/23 13:38", "0"
"HatePolitics#M.1555997748.A.EC6#00021", "zzzzztony", "我柯粉，我驕傲啊XDDDD", "04/23 13:39", "0"
"HatePolitics#M.1555997748.A.EC6#00022", "purue", "沒梗", "04/23 13:39", "0"
"HatePolitics#M.1555997748.A.EC6#00023", "longmok2500", "爽啊 哈哈哈哈", "04/23 13:39", "0"
"HatePolitics#M.1555997748.A.EC6#00024", "dogluckyno1", "哈哈", "04/23 13:40", "0"
"HatePolitics#M.1555997748.A.EC6#00025", "ray0916", "嘴", "04/23 13:40", "0"
"HatePolitics#M.1555997748.A.EC6#00026", "wangsanmin", "呵呵 誰跟你半斤八兩 去旁邊崩啦", "04/23 13:40", "0"
"HatePolitics#M.1555997748.A.EC6#00027", "formatted", "韓沒有惡言相向？韓國瑜看柯文哲他非常認真可惜起跑方向錯誤變零分", "04/23 13:40", "1"
"HatePolitics#M.1555997748.A.EC6#00028", "Keitaro", "一定比你這挑撥仔高尚啦 滾", "04/23 13:41", "0"
"HatePolitics#M.1555997748.A.EC6#00029", "wolf123", "柯真衰", "04/23 13:41", "0"
"HatePolitics#M.1555997748.A.EC6#00030", "shinny1206", "哦  你誰呀?  我想酸韓就酸韓 想酸蔡就酸蔡 怎麼?還是要被你徵召的韓粉才能罵?", "04/23 13:42", "0"
"HatePolitics#M.1555997748.A.EC6#00031", "freedom168", "滾", "04/23 13:43", "0"
"HatePolitics#M.1555997748.A.EC6#00032", "Mazda6", "哈哈", "04/23 13:43", "0"
"HatePolitics#M.1555997748.A.EC6#00033", "umum29", "拜託多點論述 要寫日記回家寫就好了不要浪費網路資源", "04/23 13:43", "0"
"HatePolitics#M.1555997748.A.EC6#00034", "Roy", "林北噓你還要理由？", "04/23 13:43", "0"
"HatePolitics#M.1555997748.A.EC6#00035", "wayne0170", "喔", "04/23 13:44", "0"
"HatePolitics#M.1555997748.A.EC6#00036", "sturmpionier", "自己的功課自己做", "04/23 13:45", "0"
"HatePolitics#M.1555997748.A.EC6#00037", "necrophagist", "滾", "04/23 13:46", "0"
"HatePolitics#M.1555997748.A.EC6#00038", "bluenova", "崩潰韓粉看起來真可憐XDDDDDDD", "04/23 13:46", "0"
"HatePolitics#M.1555997748.A.EC6#00039", "just30lover", "滾", "04/23 13:47", "0"
"HatePolitics#M.1555997748.A.EC6#00040", "kevinpc", "嘿", "04/23 13:48", "0"
"HatePolitics#M.1555997748.A.EC6#00041", "ginhwa", "我噓這篇~但還是請大家至少今天放過理性韓粉不要酸他們", "04/23 13:49", "0"
"HatePolitics#M.1555997748.A.EC6#00042", "johnny9667", "柯維拉上場", "04/23 13:49", "0"
"HatePolitics#M.1555997748.A.EC6#00043", "johnhahaha", "韓粉自爆中", "04/23 13:50", "0"
"HatePolitics#M.1555997748.A.EC6#00044", "ariel0829", "真的,柯跑錯了方向,不該跑市政,要往總統府方向跑才對", "04/23 13:51", "0"
"HatePolitics#M.1555997748.A.EC6#00045", "margin9161", "噓", "04/23 13:52", "0"
"HatePolitics#M.1555997748.A.EC6#00046", "whiteheart", "正義之聲，可惜腦粉聽不進去", "04/23 13:56", "0"
"HatePolitics#M.1555997748.A.EC6#00047", "cmath", "喔喔喔～你還好嗎？", "04/23 13:57", "0"
"HatePolitics#M.1555997748.A.EC6#00048", "lorhokok", "呵呵", "04/23 13:58", "0"
"HatePolitics#M.1555997748.A.EC6#00049", "greensaru", "哈哈哈哈哈哈哈哈哈哈哈", "04/23 13:58", "0"
"HatePolitics#M.1555997748.A.EC6#00050", "outlookterry", "好啦", "04/23 14:00", "0"
"HatePolitics#M.1555997748.A.EC6#00051", "wendyayu", "哈哈哈哈哈", "04/23 14:02", "0"
"HatePolitics#M.1555997748.A.EC6#00052", "toshism", "崩潰惹", "04/23 14:03", "0"
"HatePolitics#M.1555997748.A.EC6#00053", "ILYY", "好了啦", "04/23 14:04", "0"
"HatePolitics#M.1555997748.A.EC6#00054", "roncarrot", "好了啦", "04/23 14:05", "0"
"HatePolitics#M.1555997748.A.EC6#00055", "rock720429", "爽啊！！！", "04/23 14:05", "0"
"HatePolitics#M.1555997748.A.EC6#00056", "kismets", "爽，又有喜韓兒崩潰了", "04/23 14:06", "0"
"HatePolitics#M.1555997748.A.EC6#00057", "damilygjo3al", "崩好崩滿，爽啦", "04/23 14:08", "0"
"HatePolitics#M.1555997748.A.EC6#00058", "chathamcat", "喔", "04/23 14:12", "0"
"HatePolitics#M.1555997748.A.EC6#00059", "sumo", "我柯粉我爽啊 韓粉是三小啊 魯的要死 叫我閉嘴？", "04/23 14:17", "0"
"HatePolitics#M.1555997748.A.EC6#00060", "beanjaze", "千錯萬錯都是別人的錯", "04/23 14:19", "0"
"HatePolitics#M.1555997748.A.EC6#00061", "AGODC", "???哪招", "04/23 14:22", "0"
"HatePolitics#M.1555997748.A.EC6#00062", "AWhopaWhoA", "被看破手腳就要拉人戰?", "04/23 14:48", "0"
"HatePolitics#M.1555997748.A.EC6#00063", "mkai", "so?", "04/23 14:52", "0"
"HatePolitics#M.1555997748.A.EC6#00064", "w7382010", "整個7噗噗耶w", "04/23 15:06", "0"
"HatePolitics#M.1555997748.A.EC6#00065", "Snowman", "這隻綠的  現在變深綠韓粉了嗎 嘻嘻 id這麼好記還玩反串啊", "04/23 15:40", "1"
"HatePolitics#M.1555997748.A.EC6#00066", "a12c45a", "https//i.imgur.com/gkRWHmi.jpg", "04/23 16:36", "0"
"HatePolitics#M.1555997748.A.EC6#00067", "znkrr", "林北就是爽 怎樣  哈哈哈哈哈哈哈", "04/23 16:39", "0"
