"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"HatePolitics#M.1558491697.A.AF9#00000", "ebsd", "轉錄網址︰<br>https://bit.ly/2JUNJeN<br><br>轉錄來源︰<br>徐永明臉書<br><br><br><br>轉錄內容︰<br><br>老是政治計算沒有想到市政，北高市民被當盤子選舉來算帳<br><br>高雄韓國瑜沒耐心不想演，直接喊出「Yes, I do」；而台北柯文哲則是為避開5、6月市<br>議會總質詢砲火，以及7、8月上海行接受中國面試的形象，將選總統的宣布時程往後遞延<br>至8月。雖然看起來比韓國瑜聰明，但韓、柯同樣都是只會政治計算、沒有想到市政，把<br>北高市民當盤子騙。假如韓柯執意「帶職參選」直攻總統，北高市民大選時一定會把帳算<br>清楚，發起「還我市長落選運動」。<br><br>韓國瑜和柯文哲一樣是人，一天就24小時，若整天想著選總統，當然無法把市政做好。回<br>答議員質詢時，最後被逼急答不出來，一個只能跳針「發大財」，一個只能偷罵議員「垃<br>圾」。其實現在有意選總統的參選人，雖然仍處於初選階段，但也都競相針對兩岸、經濟<br>、國防和勞工等議題，提出看法論述。因此，假如韓、柯兩位若真心想選總統，應儘速處<br>理「帶職參選」爭議、將市政交給有心人，才能回家專心準備總統政見。<br><br><br><br><br><br><br>附註、心得、想法︰<br><br>徐永明又來『一生只監督你們兩人』<br><br>永遠只監督柯文哲韓國瑜兩人<br><br><br><br>徐永明說：<br><br>韓國瑜只會跳針發大財<br><br>柯文哲只會偷罵議員垃圾<br><br>--<br>", "", ""
"HatePolitics#M.1558491697.A.AF9#00001", "negatron", "徐永明真他媽是時力敗票員", "05/22 10:22", "0"
"HatePolitics#M.1558491697.A.AF9#00002", "g9911731", "這種人可以滾出去時力嗎", "05/22 10:22", "0"
"HatePolitics#M.1558491697.A.AF9#00003", "EvoLancer", "真香", "05/22 10:22", "0"
"HatePolitics#M.1558491697.A.AF9#00004", "dennis331533", "時力之恥", "05/22 10:22", "0"
"HatePolitics#M.1558491697.A.AF9#00005", "DavidFoster", "連DPP都不肯收的咖小", "05/22 10:22", "0"
"HatePolitics#M.1558491697.A.AF9#00006", "bradyhau106", "時代力量可不可以多幾個黃國昌 少幾個這種東西啊", "05/22 10:23", "0"
"HatePolitics#M.1558491697.A.AF9#00007", "jonathan8032", "時代力量 呵呵 笑話政黨", "05/22 10:23", "0"
"HatePolitics#M.1558491697.A.AF9#00008", "marinetauren", "徐跟世堅惺惺相惜", "05/22 10:23", "0"
"HatePolitics#M.1558491697.A.AF9#00009", "dearjohn307", "https//i.imgur.com/bR6jYsg.jpg，洨英只會", "05/22 10:23", "0"
