"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"HatePolitics#M.1558718843.A.32C#00000", "watermind", "※ 引述《bill0205 (ZzZz)》之銘言：<br>: 基本上<br>: 你不是DPP 就是對不起台灣<br>: 你不去嗆中國 就是對不起台灣<br>: 你不去舔美 就是對不起台灣<br>: 你不去打KMT 就是對不起台灣<br>: 你不發重陽敬老金 就是對不起台灣<br>: 你整天罵蔡英文 就是對不起台灣<br>: 你整天嗡嗡嗡 不幫忙分贓 就是對不起台灣<br>: 你活在這個世界上 就是對不起台灣<br>: 我想 我應該把柯黑的心裡話都說出來了吧?<br><br>好既然你都誠心誠意發問了<br>我就大發慈悲告訴你<br>1.器捐案被寫成書了<br>不是說要跨海提告？<br>快點去告表清白啊<br>丟臉丟到國際上...有沒對不起台灣<br>https://i.imgur.com/yBDGFRS.jpg<br>https://i.imgur.com/ZrLc4OE.jpg<br>https://i.imgur.com/RcXLtKi.jpg<br>2.去對岸參觀身為市長居然跑去延安<br>回台後政治顏色大轉變<br>從深綠變成墨綠又變兩岸一家親<br>難怪被王世堅酸<br>說沒被老共收買誰相信？<br>藍綠沒人敢去延安朝聖<br>柯文哲是第一人<br>辦公室還有老共5000長征圖<br>柯粉：那只是信仰而已...沒被收買<br>附註：柯是共粉是公開的事實<br><br>沒對不起台灣....<br>亞斯人都不會覺得自己有錯<br>很意外嗎<br>病徵就是這樣..<br><br>--<br>", "", ""
"HatePolitics#M.1558718843.A.32C#00001", "a1223356", "還在器捐，看來真的要讓你們民進黨消失才行，根本邪教洗腦", "05/25 01:30", "1"
"HatePolitics#M.1558718843.A.32C#00002", "Keitaro", "誰來幫忙貼一下上次水腦怎麼嗆柯粉要去法院崩潰的圖吧，拿隔壁平行世界嘴柯粉 水腦最行了", "05/25 01:31", "0"
"HatePolitics#M.1558718843.A.32C#00003", "freedom168", "還在器捐xddd", "05/25 01:32", "0"
"HatePolitics#M.1558718843.A.32C#00004", "Tiphareth", "這一定是政經的忠實觀眾延安那個不是黑到陳芳明嗎?ww", "05/25 01:32", "0"
"HatePolitics#M.1558718843.A.32C#00005", "Tiphareth", "還有把黃向成認成辛旗的笑話.....", "05/25 01:34", "0"
"HatePolitics#M.1558718843.A.32C#00006", "a195732684", "水腦是藍的 幫他澄清一下 少數僅存的善粉", "05/25 01:34", "0"
"HatePolitics#M.1558718843.A.32C#00007", "pkpk23456", "腦子是個不錯的東西喔！", "05/25 01:34", "0"
"HatePolitics#M.1558718843.A.32C#00008", "spzper", "藍粉還信器捐XDD", "05/25 01:34", "0"
"HatePolitics#M.1558718843.A.32C#00009", "a1223356", "綠粉信就算了，藍腦也信？真的該去檢查一下", "05/25 01:36", "0"
"HatePolitics#M.1558718843.A.32C#00010", "Keitaro", "腦子是不錯的東西 但是浸了水之後不能用", "05/25 01:36", "0"
"HatePolitics#M.1558718843.A.32C#00011", "joyoyo", "柯文哲完成的台灣器捐系統，讓窮人跟有錢人站在同一起跑線等待器官，結果卻因從政背負莫須有罪名", "05/25 01:37", "1"
"HatePolitics#M.1558718843.A.32C#00012", "DavidFoster", "#1SrKEp2A (HatePolitics)不用謝了", "05/25 01:38", "0"
"HatePolitics#M.1558718843.A.32C#00013", "bill0205", "我相信腦袋是有用的 直到我看到這篇", "05/25 01:39", "0"
"HatePolitics#M.1558718843.A.32C#00014", "v19791119", "XD", "05/25 01:39", "0"
"HatePolitics#M.1558718843.A.32C#00015", "pingtong0602", "怎麼了", "05/25 01:41", "0"
"HatePolitics#M.1558718843.A.32C#00016", "Keitaro", "說謊的證據趕快拿出來啦，腦子浸了水果然不能用", "05/25 01:41", "0"
"HatePolitics#M.1558718843.A.32C#00017", "a195732684", "我還以為藍腦比綠腦好一點 我錯了", "05/25 01:42", "0"
"HatePolitics#M.1558718843.A.32C#00018", "anly888", "不錯耶，看完這篇，果然抓不到柯把柄", "05/25 01:42", "0"
"HatePolitics#M.1558718843.A.32C#00019", "Keitaro", "你讀到的平行世界風向又要拿來嘴嗎，樓上a19 柯都說垃圾不分藍綠了 你怎麼會有藍腦比綠腦好的錯覺哦 你儘管去相信啊 那一天你身上器官要換不要登記柯的器捐系統就好", "05/25 01:43", "0"
"HatePolitics#M.1558718843.A.32C#00020", "anly888", "都是些不正確的事，也沒有新的有威脅的把柄", "05/25 01:44", "0"
"HatePolitics#M.1558718843.A.32C#00021", "valentian", "。", "05/25 01:45", "0"
"HatePolitics#M.1558718843.A.32C#00022", "Keitaro", "有種一點 要抹柯器捐案 身上器官壞了就等死啊，ㄏㄏ 連器捐系統誰建立的都不知道腦子浸水果然不能用", "05/25 01:45", "0"
"HatePolitics#M.1558718843.A.32C#00023", "facefear", "柯文哲遭控器官移植　蔡正元4年前就查過「沒這回事」，柯文哲遭控器官移植　蔡正元4年前就查過「沒這回事」", "05/25 01:46", "0"
"HatePolitics#M.1558718843.A.32C#00024", "tataTangQQ", "你在反串嗎XDD", "05/25 01:46", "0"
"HatePolitics#M.1558718843.A.32C#00025", "anly888", "一個韓粉或吉娃娃，無論他啥職業，說相信葛，有啥公信力，可言蔡正元查到翻天覆地，最後也是澄清沒這回事", "05/25 01:47", "0"
"HatePolitics#M.1558718843.A.32C#00026", "arsonlolita", "這人不是反串?????????????????", "05/25 01:47", "0"
"HatePolitics#M.1558718843.A.32C#00027", "valentian", "你以為醫界沒有鬥爭?", "05/25 01:48", "0"
"HatePolitics#M.1558718843.A.32C#00028", "Keitaro", "樓上他是善粉啦 最無腦的那種 整天做夢張要選總統 說大，事要發生不斷改日期奇怪要比腦子好怎麼不信全國醫師考第一名的柯文哲呢自己打臉很會要比腦子好？柯台大醫第一名畢業 醫師考全國第一名", "05/25 01:48", "0"
"HatePolitics#M.1558718843.A.32C#00029", "hide0325", "他去延安的時候又不是市長，台灣心臟科權威朱樹勳也幫柯抱不平，你要信那個？現在還在抹器官捐贈不是壞就是蠢", "05/25 01:48", "1"
"HatePolitics#M.1558718843.A.32C#00030", "zzzzzzzzzzzy", "器捐不用葉克膜", "05/25 01:48", "0"
"HatePolitics#M.1558718843.A.32C#00031", "Keitaro", "啊你偏偏不相信柯 嘴砲嘛，哦這時候又要扯幹壞事了 幹壞事證據呢？847扯了半天 拿出什麼證據？", "05/25 01:50", "0"
"HatePolitics#M.1558718843.A.32C#00032", "a195732684", "我們祝福水腦以後不需要做器捐", "05/25 01:50", "0"
"HatePolitics#M.1558718843.A.32C#00033", "hide0325", "朱當然有講，你連這都搞不清楚還敢出來抹黑", "05/25 01:50", "0"
"HatePolitics#M.1558718843.A.32C#00034", "Keitaro", "只會嘴砲 選擇性相信 選擇性抹黑 有夠悲哀，まあ 反正會拿平行世界風向嘴咖啡的腦本來就不會好到哪去", "05/25 01:52", "0"
"HatePolitics#M.1558718843.A.32C#00035", "a195732684", "其實水腦被柯活摘腦子 大家請體諒他一下", "05/25 01:52", "0"
"HatePolitics#M.1558718843.A.32C#00036", "Keitaro", "所已證據勒？法院宣判柯文哲器官獵人嗎？嘴砲？只會影射沒證據喊的超大聲 847是你？", "05/25 01:54", "0"
"HatePolitics#M.1558718843.A.32C#00037", "spzper", "原來是深藍847粉XDD", "05/25 01:54", "0"
