"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"HatePolitics#M.1559270596.A.A5C#00000", "Wojnarowski", "北市府喬蛋會議錄音遭公開　簡舒培：柯身邊多少「李述德們」？<br><br>簡舒培今早接受周玉蔻主持的廣播節目訪問時表示，時任馬市府財政局長的李述德也是銜<br>命與遠雄討論大巨蛋案，錄音檔也被公布，最後李述德遭檢方求刑。簡質疑，馬、郝時代<br>有李述德被揭發判刑，但柯文哲的身邊有多少個李述德？「有幾個李述德們？」。周玉蔻<br>說，消失的會議更可議。簡舒培表示，李文宗及官員們喬蛋是過程，雖還沒發生，但她會<br>將此案送檢方及監察院調查。<br><br>簡舒培會後受訪說，柯文哲多次聲稱大巨蛋案公開透明，但不公開的會議企圖影響都審結<br>果才是幕後黑手。如今幕後黑手們被公開，她很訝異柯不追究喬蛋一事，反而氣急敗壞想<br>知道誰提供錄音檔，這證明柯文哲宣稱的公開透明都是戲，而柯口中的要建立可長可久的<br>文官制度，事實上卻是要求體制內竄改都審紀錄，令人對白色力量相當失望。<br><br>簡舒培在廣播節目訪問結束後受訪時表示，對於外界質疑外泄錄音檔來源屬於竊聽一事，<br>她認為「難道公務員不會想要自保嗎？」，因此這不是竊聽。<br><br>（郭美瑜／台北報導）<br><br><br>https://reurl.cc/4nx1V<br><br><br>--<br>", "", ""
"HatePolitics#M.1559270596.A.A5C#00001", "william12tw", "嘔嘔嘔", "05/31 10:44", "0"
"HatePolitics#M.1559270596.A.A5C#00002", "gahang", "喔?????", "05/31 10:44", "0"
"HatePolitics#M.1559270596.A.A5C#00003", "talesb72232", "公投484竊聽", "05/31 10:44", "0"
"HatePolitics#M.1559270596.A.A5C#00004", "lcw33242976", "有一種喬叫簡七段認為你有喬", "05/31 10:44", "0"
"HatePolitics#M.1559270596.A.A5C#00005", "libraayu", "老實說每次聽她辯解都很累..一直在硬坳..", "05/31 10:45", "0"
"HatePolitics#M.1559270596.A.A5C#00006", "jonathan8032", "操你又說民眾寄的又說官員自保錄的，到底他媽是民眾還是官員 操等等又有弱智回文說。官員也是民眾", "05/31 10:45", "0"
"HatePolitics#M.1559270596.A.A5C#00007", "book8685", "花媽團隊難道都不會想要自保嗎??????????柯批真的失言 台北市議會素質比高雄還要爛希望dpp早日護航那個進去偷韓導辦公室的人也是自保", "05/31 10:45", "0"
"HatePolitics#M.1559270596.A.A5C#00008", "bradyhau106", "下線秀起來XDDDDDD", "05/31 10:45", "0"
"HatePolitics#M.1559270596.A.A5C#00009", "live1002", "開始在找台階了XDDDD", "05/31 10:45", "0"
"HatePolitics#M.1559270596.A.A5C#00010", "Ogrish", "冥鏡洞的豬隊友就靠你們了~連kmt都在旁安靜看戲竊喜", "05/31 10:45", "0"
"HatePolitics#M.1559270596.A.A5C#00011", "WeiKitten", "看看他seafood是誰很意外嗎", "05/31 10:46", "0"
"HatePolitics#M.1559270596.A.A5C#00012", "ckuser", "奇怪為什麼kmt每次要下去了 dpp都會有人跑出來打柯文哲，然後打到最後都是小英要承受", "05/31 10:46", "0"
"HatePolitics#M.1559270596.A.A5C#00013", "radi035", "想自保錄音也是竊錄", "05/31 10:46", "0"
"HatePolitics#M.1559270596.A.A5C#00014", "alice1967", "噁心的人，到底誰選她的啦！", "05/31 10:47", "0"
"HatePolitics#M.1559270596.A.A5C#00015", "live1002", "到底是民眾還是官員XDDDDDD 官員就說官員啊", "05/31 10:47", "0"
"HatePolitics#M.1559270596.A.A5C#00016", "outlookterry", "抱歉 我要噓爆這個垃圾議員", "05/31 10:47", "0"
"HatePolitics#M.1559270596.A.A5C#00017", "jonathan8032", "有多智障才會這樣護航 到底要多智障？", "05/31 10:47", "0"
"HatePolitics#M.1559270596.A.A5C#00018", "book8685", "為何剛好在卡稱死漏出這種事之後 藍綠紛紛傳出指控", "05/31 10:47", "0"
"HatePolitics#M.1559270596.A.A5C#00019", "radi035", "前官員。現在是民眾啊。大家都知道了吧XDD", "05/31 10:48", "0"
"HatePolitics#M.1559270596.A.A5C#00020", "lowc", "說真的她特地講這個轉移焦點 大概知道事情有多大條了，我直接說拉 直接問這錄音哪來的? 她就被咬死了", "05/31 10:48", "0"
"HatePolitics#M.1559270596.A.A5C#00021", "wendy1wang", "影射的殺傷力最大", "05/31 10:48", "0"
"HatePolitics#M.1559270596.A.A5C#00022", "wjack29", "她自己說：雖還沒發生...那就是沒發生啊！", "05/31 10:49", "0"
"HatePolitics#M.1559270596.A.A5C#00023", "book8685", "我雖然很不爽中央打壓韓這個論調，但分析一下手法 有打韓小組 應該也有滅柯小組", "05/31 10:49", "0"
"HatePolitics#M.1559270596.A.A5C#00024", "pituohollo", "議員...", "05/31 10:50", "0"
"HatePolitics#M.1559270596.A.A5C#00025", "kuloda", "公三小，雖然還沒發生..", "05/31 10:50", "0"
"HatePolitics#M.1559270596.A.A5C#00026", "sdg235", "嗯？雖然你沒殺人，可是我懷疑你有的意思", "05/31 10:50", "0"
"HatePolitics#M.1559270596.A.A5C#00027", "ABA0525", "水門案簡版", "05/31 10:50", "0"
"HatePolitics#M.1559270596.A.A5C#00028", "pingtong0602", "馬的 她知道自己在說什麼嗎，雖然你沒性侵 但我覺得你有幻想過", "05/31 10:50", "0"
"HatePolitics#M.1559270596.A.A5C#00029", "book8685", "反正謝長廷自己深受毀謝十人小組所害 應該很清楚，韓導剛才已經想了感同身受了", "05/31 10:51", "0"
"HatePolitics#M.1559270596.A.A5C#00030", "live1002", "水門案再現，期待韓導說出台北被竊聽高雄也可能有XDD", "05/31 10:52", "0"
"HatePolitics#M.1559270596.A.A5C#00031", "gibbs1286", "這就是竊聽啊....", "05/31 10:52", "0"
"HatePolitics#M.1559270596.A.A5C#00032", "Ambition0114", "噁心 真他媽噁心", "05/31 10:52", "0"
"HatePolitics#M.1559270596.A.A5C#00033", "Holyland", "如果沒什麼問題，那撿垃圾麻煩下台道歉", "05/31 10:52", "0"
"HatePolitics#M.1559270596.A.A5C#00034", "lowc", "我覺得她知道一般民眾有多大條了 今天改口說是官員 可以推鍋難怪今天一早就一堆文章開始主動出擊", "05/31 10:52", "1"
"HatePolitics#M.1559270596.A.A5C#00035", "matt40413", "超噁心", "05/31 10:52", "0"
"HatePolitics#M.1559270596.A.A5C#00036", "wjack29", "現在是在演關鍵報告嗎？", "05/31 10:53", "0"
"HatePolitics#M.1559270596.A.A5C#00037", "book8685", "就算不是竊聽 至少也可以是偷錄了，我是覺得真的是垃圾不分藍綠 故意在6/1大遊行放這種攻擊動作 柯批被攻擊根本沒傷 韓導反而越打越高", "05/31 10:53", "0"
"HatePolitics#M.1559270596.A.A5C#00038", "amadda", "她又跟去年北農一樣，她自己一路打，結果隊友一路死，結果最後發現她的資料從一開始就是錯的，不知道最後是誰被打臉", "05/31 10:53", "1"
"HatePolitics#M.1559270596.A.A5C#00039", "kuarcis", "你沒放整段 誰知道是不是竊聽XDDDD", "05/31 10:53", "0"
"HatePolitics#M.1559270596.A.A5C#00040", "whj0530", "徐佳青2.0", "05/31 10:54", "0"
"HatePolitics#M.1559270596.A.A5C#00041", "dream99", "哇！古代有權勢的人，栽贓別人就是用這招吧？太噁了", "05/31 10:54", "0"
"HatePolitics#M.1559270596.A.A5C#00042", "sbw0115", "噁", "05/31 10:54", "0"
"HatePolitics#M.1559270596.A.A5C#00043", "tamecat", "對啦! 這種錄音叫自保~~進去韓辦公室5次叫竊盜~都你們對", "05/31 10:55", "1"
