"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"HatePolitics#M.1559562659.A.DF1#00000", "outdowave", "https://www.facebook.com/justmatchtaipei/<br><br>（文末有七段錄音檔連結）<br><br>週六、日是端午節活動高峰期，二天跑了近30個行程，先預祝大家佳節愉快！<br><br>聽說我的臉書被柯粉攻陷，一直到現在才有時間上來看看，看了之後有點失望，我真的以<br>為臉書的點閱及轉po已到網紅「坎站」，還是差很多，還要再加加油好嗎？我希望這事能<br>給更多人公評<br><br>另外上週四和週五的質詢，我想再補充幾點，<br><br>1、如果顏聖冠議員在2015年揭露李述德和遠雄議約「喬0權利金」的錄音檔能提早10年曝<br>光，我想大巨蛋一定不會是現在的光景。<br><br>2.在民眾提供給我的七段錄音檔中，去年11/29會議中李文宗主任及市府局處長們在會議<br>討論如何幫遠雄解套，修正2018/9/20都審會決議59833+X防災避難電腦模擬人數。<br>這是都審委員會的職權，李文宗目無法紀，不但在會議中對著官員痛罵都審委員有「天大<br>膽子」，還逼問林洲民為何不能修改會議決議！<br>一個市長室主任對都審主席下指導棋，要求修改會議紀錄，還要找市府局處首長一起想辦<br>法，內容全都傾對遠雄有利！不但嚴重違反體制，更是企圖操控都審結果！<br><br>3.2015年的柯文哲能夠允許2018年的李文宗當他的辦公室主任嗎？我認為一定不會。<br><br>4.有關「竊聽」，柯文哲一直用竊聽或錄音沒有經過當事人同意來轉移焦點，我可以再強<br>調一次，如果錄音檔來源是竊聽，我會立即辭去議員！<br>我更歡迎11/29該會議的與會成員立即對我提出告訴，請柯市長不要再以此轉移焦點！<br><br>5.最後，很多跟風起舞的柯粉要我回應，如果你們連我的質詢都沒看懂，回應你們，我是<br>笨蛋嗎？<br><br>再次附上錄音檔連結<br>A：https://youtu.be/QIBBuM_QMi4<br>B：https://youtu.be/tuvIsZbct5E<br>C：https://youtu.be/optzT7Qoa_Q<br>D：https://youtu.be/VStEjsIVQZ4<br>E：https://youtu.be/szty5_e-k98<br>F：https://youtu.be/iPG6hSMMaEU<br>G：https://youtu.be/aNglVsInclY<br>--<br>", "", ""
"HatePolitics#M.1559562659.A.DF1#00001", "joy2105feh", "你是阿....", "06/03 19:51", "0"
"HatePolitics#M.1559562659.A.DF1#00002", "cl700503", "喔", "06/03 19:52", "0"
"HatePolitics#M.1559562659.A.DF1#00003", "oldmangoes", "垃圾誰選的", "06/03 19:52", "0"
"HatePolitics#M.1559562659.A.DF1#00004", "victoryman", "我覺得送檢調呀", "06/03 19:52", "0"
"HatePolitics#M.1559562659.A.DF1#00005", "Chantaljones", "ZZZZZZZ", "06/03 19:52", "0"
"HatePolitics#M.1559562659.A.DF1#00006", "lin900117", "怎麼不回應壓公文的質詢呢？", "06/03 19:53", "0"
"HatePolitics#M.1559562659.A.DF1#00007", "obillyo", "給87分", "06/03 19:53", "0"
"HatePolitics#M.1559562659.A.DF1#00008", "cblade", "XD 天下無敵", "06/03 19:53", "0"
"HatePolitics#M.1559562659.A.DF1#00009", "quisk", "噁心的人，誰攻陷你啊，我連點你臉書看到你臉都起雞皮疙瘩", "06/03 19:53", "1"
"HatePolitics#M.1559562659.A.DF1#00010", "matt40413", "呵呵 噁心新毒瘤", "06/03 19:54", "0"
"HatePolitics#M.1559562659.A.DF1#00011", "makiasa", "噁心", "06/03 19:54", "0"
"HatePolitics#M.1559562659.A.DF1#00012", "f22313467", "妳的老闆快下台嘍 趁現在趕快吠", "06/03 19:54", "0"
"HatePolitics#M.1559562659.A.DF1#00013", "pingtong0602", "快公佈90分鐘 快送檢調阿 笨叟", "06/03 19:54", "0"
"HatePolitics#M.1559562659.A.DF1#00014", "c192r1b1c", "你要不要照照鏡子？", "06/03 19:54", "0"
"HatePolitics#M.1559562659.A.DF1#00015", "lickllll", "噁心就一句話噁心", "06/03 19:55", "0"
"HatePolitics#M.1559562659.A.DF1#00016", "live1002", "噁心....", "06/03 19:56", "0"
"HatePolitics#M.1559562659.A.DF1#00017", "elle", "完整版呢 提供你剪輯好的七小段錄音檔 不小心路過台北市政，府11樓的民眾 難道不願意提供完整版 方便指控柯文哲喬蛋嗎", "06/03 19:56", "0"
"HatePolitics#M.1559562659.A.DF1#00018", "qazthlin", "想騙人氣何必讓你求仁得仁", "06/03 19:56", "0"
"HatePolitics#M.1559562659.A.DF1#00019", "nnkj", "高雄巨蛋開發權利金跟營運權利金都是零", "06/03 19:56", "0"
"HatePolitics#M.1559562659.A.DF1#00020", "elmoman", "剪七段滾", "06/03 19:56", "0"
"HatePolitics#M.1559562659.A.DF1#00021", "therock0809", "嗯", "06/03 19:56", "0"
"HatePolitics#M.1559562659.A.DF1#00022", "handfoxx", "柯粉噓我就推", "06/03 19:57", "0"
"HatePolitics#M.1559562659.A.DF1#00023", "a195732684", "你是笨蛋沒錯啊，懷疑？", "06/03 19:57", "0"
"HatePolitics#M.1559562659.A.DF1#00024", "lcw33242976", "好啦，連完整版都不敢公布，不知道誰比較孬齁", "06/03 19:57", "0"
