"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"HatePolitics#M.1559710482.A.DEA#00000", "Fant1408", "美方從沒這麼擔心過一個候選人會出賣台灣跟美國<br><br>柯文哲的投降下跪主義讓美方非常震撼<br><br>連郭韓都不敢跟中共秘密協議<br><br>等雙城論壇結束<br><br>美方應該會去找小牛學姊出來大義滅親<br><br>--<br>", "", ""
"HatePolitics#M.1559710482.A.DEA#00001", "kuninaka", "開始上班了喔，龜蛋復活", "06/05 12:55", "0"
"HatePolitics#M.1559710482.A.DEA#00002", "Tiphareth", "我都不知道首都市長可以管這麼大....", "06/05 12:55", "0"
"HatePolitics#M.1559710482.A.DEA#00003", "victoryman", "我覺得太誇張囉", "06/05 12:55", "0"
"HatePolitics#M.1559710482.A.DEA#00004", "Keitaro", "白癡小丑", "06/05 12:55", "0"
"HatePolitics#M.1559710482.A.DEA#00005", "NIOHA", "不要瞎掰好嗎", "06/05 12:55", "0"
"HatePolitics#M.1559710482.A.DEA#00006", "pujipuji", "彭斯昨天沒演講耶", "06/05 12:56", "0"
"HatePolitics#M.1559710482.A.DEA#00007", "keydata", "六四大戲什麼都沒有Xd，看來你老板初選很危險吼", "06/05 12:56", "0"
"HatePolitics#M.1559710482.A.DEA#00008", "hanslins", "歐歐歐！又開始了，大概最近小英穩了，對 了？六四沒大事嘞？？？？", "06/05 12:56", "0"
"HatePolitics#M.1559710482.A.DEA#00009", "polarfox", "哈哈美國是不是也很擔心台灣國人智商低落的問題", "06/05 12:56", "0"
"HatePolitics#M.1559710482.A.DEA#00010", "wintu", "假新聞ptt不管的喔", "06/05 12:57", "0"
"HatePolitics#M.1559710482.A.DEA#00011", "outlookterry", "大老闆穩了哦？", "06/05 12:57", "0"
"HatePolitics#M.1559710482.A.DEA#00012", "Robilee", "小英都要被換了 還在黑", "06/05 12:57", "0"
"HatePolitics#M.1559710482.A.DEA#00013", "heat0204", "哈哈哈哈哈", "06/05 12:57", "0"
"HatePolitics#M.1559710482.A.DEA#00014", "kimi2268", "真的是小丑，覺青要崩潰了，相信這種人", "06/05 12:57", "0"
"HatePolitics#M.1559710482.A.DEA#00015", "lifesoar", "你有事嗎", "06/05 12:58", "0"
"HatePolitics#M.1559710482.A.DEA#00016", "mxr", "唉 難怪小英民調拉不起來", "06/05 12:58", "0"
