"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"HatePolitics#M.1560211386.A.00A#00000", "Fant1408", "柯文哲指揮柯粉反串投賴<br><br>韓粉跟國民黨其他人也在幹這種事<br><br>各位推文早就被我截圖發到各大群組<br><br>現在賴清德在民進黨內支持度暴跌<br><br>都要感謝各位幫忙<br><br>柯文哲集團勾結中共操控台灣選舉的無恥行為<br><br>激起人民憤怒<br><br>--<br>", "", ""
"HatePolitics#M.1560211386.A.00A#00001", "nodnarb1027", "then?", "06/11 08:03", "0"
"HatePolitics#M.1560211386.A.00A#00002", "greensaru", "喔~好喔~繼續看戲", "06/11 08:04", "0"
"HatePolitics#M.1560211386.A.00A#00003", "keydata", "不要刪文啊", "06/11 08:04", "0"
"HatePolitics#M.1560211386.A.00A#00004", "brian21201", "好，讓我們繼續檢討柯粉不支持洨陰", "06/11 08:04", "0"
"HatePolitics#M.1560211386.A.00A#00005", "s505015", "你少了龜蛋", "06/11 08:04", "0"
"HatePolitics#M.1560211386.A.00A#00006", "amare1015", "我好怕喔 哈哈哈哈哈哈XDDDDDDDDDDDDDDDDDDD", "06/11 08:04", "0"
"HatePolitics#M.1560211386.A.00A#00007", "paul31788", "每天準時八點上工 真勤勞", "06/11 08:06", "0"
"HatePolitics#M.1560211386.A.00A#00008", "kianwei", "上好上滿", "06/11 08:07", "0"
"HatePolitics#M.1560211386.A.00A#00009", "howiekuohr", "欠告？", "06/11 08:07", "0"
"HatePolitics#M.1560211386.A.00A#00010", "preisner", "一個精神異常的病人, 柯P不會告他啦", "06/11 08:08", "0"
"HatePolitics#M.1560211386.A.00A#00011", "steven30528", "好喔", "06/11 08:08", "0"
"HatePolitics#M.1560211386.A.00A#00012", "tingjj", "早安", "06/11 08:08", "0"
"HatePolitics#M.1560211386.A.00A#00013", "harris30100", "造謠可以桶嗎", "06/11 08:10", "0"
"HatePolitics#M.1560211386.A.00A#00014", "dahlia7357", ".", "06/11 08:10", "0"
"HatePolitics#M.1560211386.A.00A#00015", "freedom168", "造謠不用桶嗎 可笑", "06/11 08:11", "0"
"HatePolitics#M.1560211386.A.00A#00016", "pathfinder", "不錯喔，繼續消耗DPP吧!  會相信這個的人真的有嗎?", "06/11 08:12", "0"
"HatePolitics#M.1560211386.A.00A#00017", "amadda", "造謠不能水桶千萬年嗎？", "06/11 08:13", "0"
"HatePolitics#M.1560211386.A.00A#00018", "iamlaw", "這該水桶了吧", "06/11 08:14", "0"
"HatePolitics#M.1560211386.A.00A#00019", "paul31788", "前幾個月他就用這樣模式發文都沒桶了", "06/11 08:16", "0"
"HatePolitics#M.1560211386.A.00A#00020", "HermesKing", "...", "06/11 08:16", "0"
"HatePolitics#M.1560211386.A.00A#00021", "xru03", "吃飽了嗎？", "06/11 08:16", "0"
"HatePolitics#M.1560211386.A.00A#00022", "k1981425", "8點，哈哈", "06/11 08:17", "0"
"HatePolitics#M.1560211386.A.00A#00023", "littlekero", "灶窯的也太誇張", "06/11 08:20", "0"
"HatePolitics#M.1560211386.A.00A#00024", "albert1229", "你這輩子只能這樣了", "06/11 08:22", "0"
"HatePolitics#M.1560211386.A.00A#00025", "poolo", "喔 繼續造謠吧", "06/11 08:29", "0"
"HatePolitics#M.1560211386.A.00A#00026", "ddabc1234", "出來開記者會譴責啊 你是不是847?", "06/11 08:32", "0"
