"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"HatePolitics#M.1560653608.A.052#00000", "ebsd", "新聞網址︰<br>https://udn.com/news/story/11311/3874471<br><br>新聞來源︰<br>聯合<br><br><br><br><br><br>新聞內容︰<br><br>韓國瑜拚總統黨內初選第三場造勢活動，昨在雲林登場，不僅前二場缺席的立委「神力女<br>超人」許淑華壓軸主持、韓妻李佳芬哽咽落淚、韓國瑜下猛藥面對香港反送中議題，拒絕<br>一國兩制，更公開吃了宿敵王世堅的豆腐，不少韓粉都覺得這場造勢亮點十足。<br><br>許淑華壓軸主持韓國瑜雲林造勢，讓原本已經情緒高漲的韓粉頓時更是熱情澎湃，她說，<br>舉辦造勢活動不是要凸顯韓家軍的動員能力，是大家悶得太久，需要一個出口。<br><br>雲林是李佳芬的娘家，這場造勢，對韓國瑜及李家意義格外不同。李佳芬表示，她的丈夫<br>韓國瑜選後迄今都沒有改變，為人單純、做事不分黨派，一天當三天在做，她夫妻倆會把<br>大家的付出放在心頭，「吃一口、還人一斗」，回到「後頭厝」讓他們一個月來被抹黑的<br>怨氣、委屈都煙消雲散。<br><br>雲林縣前縣長張榮味家族公開力挺韓國瑜，不僅張榮味胞妹張麗善以家人稱韓國瑜，張榮<br>味女兒、前立委張嘉郡也在韓國瑜夫婦抵達前到場力挺聲援。她說，行政院長蘇貞昌剪輯<br>影片抨擊韓市長，在現在國民黨最關鍵時刻，絕對要團結一致，不能讓民進黨分化。<br><br><br><br><br><br><br><br>附註、心得、想法︰<br><br>一邊當高雄市長，一邊選總統<br><br>而且每個禮拜辦造勢<br><br>當然是一天當三天用啊<br><br>不要選總統，全心全力當市長，就不會這麼累了<br><br>https://imgur.com/dRMnCFN<br>--<br>", "", ""
"HatePolitics#M.1560653608.A.052#00001", "indium111", "非韓不投", "220.134.57.130 06/16 10:53", "0"
"HatePolitics#M.1560653608.A.052#00002", "ceremonial", "不爽不要做 哭屁哭", "114.137.35.146 06/16 10:54", "0"
"HatePolitics#M.1560653608.A.052#00003", "momo28", "哭三小", "61.56.165.199 06/16 10:54", "0"
"HatePolitics#M.1560653608.A.052#00004", "sdg235", "老年人特別愛這套", "42.76.143.12 06/16 10:54", "0"
"HatePolitics#M.1560653608.A.052#00005", "linceass", "那你還有時間出來選總統? 一天當七天做?", "1.161.162.244 06/16 10:54", "1"
"HatePolitics#M.1560653608.A.052#00006", "njnjy", "一天當三天做 難怪韓導要請假，+分姊 如狼似虎 做地能吸土", "36.233.90.208 06/16 10:54", "0"
"HatePolitics#M.1560653608.A.052#00007", "thenorth", "噁心", "223.136.108.28 06/16 10:54", "0"
"HatePolitics#M.1560653608.A.052#00008", "koalahao", "選總統一天當三天用 做市政三天當一天混", "61.228.109.100 06/16 10:55", "1"
"HatePolitics#M.1560653608.A.052#00009", "s3954529", "韓導忙著造勢 無心市政 事情不用搞得太太複雜 韓神把高雄市長辭掉專心去選總統就不會累了", "1.172.127.148 06/16 10:55", "1"
"HatePolitics#M.1560653608.A.052#00010", "updowner", "哭啥啦", "114.45.105.210 06/16 10:55", "0"
"HatePolitics#M.1560653608.A.052#00011", "Zyth", "造勢是啦 但是市政應該是反過來", "116.12.50.21 06/16 10:55", "0"
"HatePolitics#M.1560653608.A.052#00012", "gerund", "看到開始打悲情牌就知道韓草包沒救了", "36.233.103.8 06/16 10:55", "0"
"HatePolitics#M.1560653608.A.052#00013", "sim2347", "一天當3天在做......秀", "111.83.48.210 06/16 10:56", "0"
"HatePolitics#M.1560653608.A.052#00014", "brella", "如果屬實，高雄還是這樣子，那能力有夠爛", "27.242.2.248 06/16 10:56", "1"
"HatePolitics#M.1560653608.A.052#00015", "WestRiver0tp", "一天睡三天的量", "223.136.245.70 06/16 10:56", "0"
"HatePolitics#M.1560653608.A.052#00016", "miracle1215", "KMT會毀在韓導的手上XDDDDDDD", "118.232.118.38 06/16 10:56", "0"
