"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"sex#M.1487036944.A.B57#00000", "ChinaTaiwan", "女友哭被硬上「滿是陰影」　男忍11個月沒碰...她懷孕了<br><br>2017年02月13日 15:56<br><br><br>網搜小組／綜合報導<br><br>男歡女愛是人之常情，但下次掰藉口前，請記得先考慮清楚。一名網友在《靠北女友》粉<br>絲團po文，並分享自己的悲慘經歷；男網友說，女友曾經坦承自己遭前男友性侵，因此留<br>下陰影，不喜歡和異性親密接觸；但因為自己太愛她，所以都忍了下來…<br><br>原po在文中寫道，這11個月兩人都過著無性生活，但他的「愛意」大過生理，所以性慾來<br>時，他寧願躲在廁所DIY，也不會去麻煩女友。不料某天，女友居然背著他跟前男友出去<br>，重點是還懷孕了，希望男友幫她養小孩，氣得原po大罵：「妳的心不是我的就算了，連<br>孩子也不是我的！為何我要養妳跟小孩？」<br><br>「這麼久以來妳連碰都沒讓我碰過，妳跟前男友上床就可以，什麼歪理？」原po的一席話<br>，很快就感動無數網友，在粉絲團引發熱議。有人說「鬼讓她懷孕喔」、「你忍得很辛苦<br>，前男友在舒服」、「綠光罩頂的最高境界」、「根本是工具人吧」；但也有網友質疑情<br>節太過離譜，真實性有待商榷，「誇張！電視劇都沒這麼扯」<br><br>http://www.ettoday.net/news/20170213/865855.htm<br><br>--<br>", "", ""
"sex#M.1487036944.A.B57#00001", "abm311", "不是不給幹，是不給你幹。 純噓ID", "02/14 09:50", "0"
"sex#M.1487036944.A.B57#00002", "green810720", "噓", "02/14 09:52", "0"
"sex#M.1487036944.A.B57#00003", "peterlee97", "胸", "02/14 09:53", "0"
"sex#M.1487036944.A.B57#00004", "ypwalter", "沒脖子", "02/14 09:58", "0"
"sex#M.1487036944.A.B57#00005", "whathappen", "前五", "02/14 10:00", "0"
"sex#M.1487036944.A.B57#00006", "yesman963", "辛苦了…", "02/14 10:02", "0"
"sex#M.1487036944.A.B57#00007", "LYL1127", "每日任務（1/1）", "02/14 10:05", "0"
"sex#M.1487036944.A.B57#00008", "q8q3suian", "早安", "02/14 10:06", "0"
"sex#M.1487036944.A.B57#00009", "marchmaymay", "解任務囉", "02/14 10:23", "0"
"sex#M.1487036944.A.B57#00010", "ligacul", "每日首噓就是你", "02/14 10:25", "0"
"sex#M.1487036944.A.B57#00011", "CTC0115", "人氣大減 上來噓的越來越少", "02/14 10:26", "0"
"sex#M.1487036944.A.B57#00012", "abdd123413", "可悲", "02/14 10:30", "0"
"sex#M.1487036944.A.B57#00013", "mk1689", "噓", "02/14 10:32", "0"
"sex#M.1487036944.A.B57#00014", "famas2200", "母豬不意外", "02/14 10:49", "0"
"sex#M.1487036944.A.B57#00015", "rul543", "前男友，了不起，負責", "02/14 10:49", "0"
"sex#M.1487036944.A.B57#00016", "jerrylin", "只是不給你上", "02/14 10:50", "0"
"sex#M.1487036944.A.B57#00017", "stw0975", "來了", "02/14 10:52", "0"
"sex#M.1487036944.A.B57#00018", "hermes20372", "ㄅ子配狗", "02/14 10:56", "0"
"sex#M.1487036944.A.B57#00019", "witness0828", "id拜", "02/14 11:04", "0"
"sex#M.1487036944.A.B57#00020", "sunday4you", "噓ID", "02/14 11:10", "0"
"sex#M.1487036944.A.B57#00021", "heroprince", "解任務", "02/14 11:20", "0"
"sex#M.1487036944.A.B57#00022", "steventzou", "感謝你讓我每日都有噓文的機會", "02/14 11:27", "0"
"sex#M.1487036944.A.B57#00023", "LinYiCH", "安安你好未看先噓XDD", "02/14 11:44", "0"
"sex#M.1487036944.A.B57#00024", "jhbgybj123", "台母豬", "02/14 11:52", "0"
"sex#M.1487036944.A.B57#00025", "shapeskerae", "不是不給推，是不給你推廠廠", "02/14 11:53", "0"
"sex#M.1487036944.A.B57#00026", "yuan7890", "幫po文者拍拍", "02/14 12:00", "0"
"sex#M.1487036944.A.B57#00027", "bosch", "好ID不推嗎？", "02/14 12:04", "0"
"sex#M.1487036944.A.B57#00028", "qwerty200056", "每日任務(1/1)", "02/14 12:04", "0"
"sex#M.1487036944.A.B57#00029", "kevin194059", "來了", "02/14 12:05", "0"
"sex#M.1487036944.A.B57#00030", "kkdavid", "你才china你全家都china", "02/14 12:06", "0"
"sex#M.1487036944.A.B57#00031", "keepwild", "純噓台灣母豬", "02/14 12:13", "0"
"sex#M.1487036944.A.B57#00032", "cvspka02953", "綠綠的", "02/14 12:31", "0"
"sex#M.1487036944.A.B57#00033", "aussieoz", "這種工具人類似管家職", "02/14 12:34", "0"
"sex#M.1487036944.A.B57#00034", "bigtien6292", "這可以叫她母豬不過分吧", "02/14 12:52", "0"
"sex#M.1487036944.A.B57#00035", "hiyuy", "這男的根本不愛他女友= =", "02/14 12:59", "0"
"sex#M.1487036944.A.B57#00036", "fanntony2002", "噓ID", "02/14 12:59", "0"
"sex#M.1487036944.A.B57#00037", "nmnai", "不推", "02/14 13:03", "0"
"sex#M.1487036944.A.B57#00038", "wumarkwu", "我看大家都給噓，不過這個新聞是你有史以來最精彩的", "02/14 13:28", "0"
"sex#M.1487036944.A.B57#00039", "timh3316", "每日任務成就get", "02/14 13:42", "0"
"sex#M.1487036944.A.B57#00040", "qqwwweee", "想知道這種女人長怎樣", "02/14 13:46", "0"
"sex#M.1487036944.A.B57#00041", "rondo21", "雖然蠻精彩的但不喜歡ID只好用力噓了", "02/14 13:50", "0"
"sex#M.1487036944.A.B57#00042", "uonyang", "綠光選2嗎？", "02/14 14:00", "0"
"sex#M.1487036944.A.B57#00043", "lovelove104", "見ID先噓了", "02/14 14:00", "0"
"sex#M.1487036944.A.B57#00044", "tn00710191", "廢物女友", "02/14 14:19", "0"
"sex#M.1487036944.A.B57#00045", "snakepan", "看在這篇文章的份上，給箭頭", "02/14 14:26", "0"
"sex#M.1487036944.A.B57#00046", "sinyoung9487", "怎麼有人質疑這算不算母豬", "02/14 14:33", "0"
"sex#M.1487036944.A.B57#00047", "Royalwarrior", "好ID給推", "02/14 14:37", "0"
"sex#M.1487036944.A.B57#00048", "pandayu", "同時可以噓母豬跟ID，兩個願望一次滿足", "02/14 15:05", "0"
"sex#M.1487036944.A.B57#00049", "ASlover95", "噁心", "02/14 15:52", "0"
"sex#M.1487036944.A.B57#00050", "setokaiba412", "每日任務(1/1)", "02/14 16:19", "0"
"sex#M.1487036944.A.B57#00051", "arnold3", "說不幹就不幹一點男人味都沒有 難怪去找前男友爽", "02/14 16:33", "0"
"sex#M.1487036944.A.B57#00052", "ph54769", "每日任務get，幹按錯補噓", "02/14 17:17", "0"
"sex#M.1487036944.A.B57#00053", "wupopwu", "嗯嗯", "02/14 17:22", "0"
"sex#M.1487036944.A.B57#00054", "MirageAngel", "瘋癡癲癇癟瘸病蠢雜碎共匪愛滋梅毒噬糞吮痰肏噁癌瘤!", "02/14 17:25", "1"
"sex#M.1487036944.A.B57#00055", "Cheng2042", "26噓", "02/14 17:33", "0"
"sex#M.1487036944.A.B57#00056", "wyytw", "這ID礙眼", "02/14 17:37", "0"
"sex#M.1487036944.A.B57#00057", "formosa0429", "（1/1）", "02/14 18:16", "0"
"sex#M.1487036944.A.B57#00058", "Dovahkiin", "台灣人 要給 中國共產黨 統治領導嗎? 鎖你娘!", "02/14 18:18", "0"
"sex#M.1487036944.A.B57#00059", "saw6904", "fucking china", "02/14 18:37", "0"
"sex#M.1487036944.A.B57#00060", "dontcry0428", "噁", "02/14 18:40", "0"
"sex#M.1487036944.A.B57#00061", "candysagaboy", "每日任務(1/1)", "02/14 19:06", "0"
"sex#M.1487036944.A.B57#00062", "tonylioa", "噓  id   888888888", "02/14 19:20", "0"
"sex#M.1487036944.A.B57#00063", "kelvinman", "你以為我情人節就會推嗎？", "02/14 21:58", "0"
"sex#M.1487036944.A.B57#00064", "susukkk", "滾", "02/14 22:02", "0"
"sex#M.1487036944.A.B57#00065", "dyc2008", "中國萬歲", "02/14 22:31", "0"
"sex#M.1487036944.A.B57#00066", "ikeepcool", "母豬無誤", "02/14 22:36", "0"
"sex#M.1487036944.A.B57#00067", "yoyo900906", "垃圾", "02/14 22:38", "0"
"sex#M.1487036944.A.B57#00068", "Amisdas", "很可憐的低素質人生", "02/14 22:47", "0"
"sex#M.1487036944.A.B57#00069", "promaster", "支那低等劣畜", "02/15 00:44", "0"
"sex#M.1487036944.A.B57#00070", "C6H6", "這個是他這女的被強了之後還想找強他對男？", "02/15 01:14", "0"
"sex#M.1487036944.A.B57#00071", "k012727", "厲害唉……都持續po", "02/15 03:17", "0"
"sex#M.1487036944.A.B57#00072", "happ", "耶穌要誕生了", "02/15 04:36", "0"
"sex#M.1487036944.A.B57#00073", "chuck920628", "你全家工具人", "02/15 08:31", "0"
"sex#M.1487036944.A.B57#00074", "king2255789", "推ID", "02/15 09:11", "0"
"sex#M.1487036944.A.B57#00075", "a5025025252", "Id掰掰", "02/15 10:23", "0"
"sex#M.1487036944.A.B57#00076", "ms0100796", "母豬", "02/15 12:02", "0"
