"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"sex#M.1548166479.A.F55#00000", "siazuow", "先說我是魯妹<br><br>有玩jd<br>可是我覺得<br>並不是所有有用的女生都是想要打炮的好嗎？<br><br>是沒錯，上面有很多男生是要約炮<br>但我就遇過很多不錯有禮貌的男生<br>學歷外貌長相都<br>很優<br>而且每個都很大方會請客吃大餐或開名車<br><br>像是我被網友請客吃過的餐廳有：<br>教父<br>牛排、茹絲葵、犇和鍋物、王品台塑牛排、橘色涮涮鍋之類的<br><br>當然也有吃過比較一般的<br>日式居酒屋<br>但那是因爲那男生太帥了！<br>號稱台大高以翔XD<br>又高又帥又風趣<br><br>但其他男生至少也都斯文順眼<br>也都暖心而且好吃不黏牙<br>那種開頭直接<br>問：<br>約嗎？要愛愛嗎？<br>我都直接封鎖到死<br><br>而且吃飯後再去休息的地方也很高級<br>大概去過薇<br>格、沐蘭、陽明山天籟、北投老爺<br>加賀屋、春天<br>而且都是一泊二食的過夜行程<br><br>所以大<br>家不要再污名化jd是約炮app了好嗎？<br><br>附上濕姬照<br>沒奶只能露腰了@@<br>https://i.imgur.com/vZKJuGz.jpg<br>※ 引述《Giuliano (激勵人心)》之銘言：<br>: 剛逛了逛之前的文章發現<br>: 怎麼這麼多人推JD啊？？<br>: 我是沒用過JD<br>: 但有一個老牌的APP超好約炮<br>: 叫做SWEETRING<br>: 沒聽錯～就是找婚戀交往的APP<br>: 就是SWEETRING<br>: 就是SWEETRING<br>: 就是SWEETRING<br>: 很重要所以說三遍<br>: 大部份人都拿它來當找結婚對象的APP<br>: 尤其過年快到了<br>: 想找結婚對像的女生特別多<br>: 也很多女生都很認真<br>: 就想辦法避開這些女生<br>: 但它有個幾有個選項可以選<br>: 是要讓人家填目前想不想結婚的<br>: 還有婚姻狀態, 有沒有小孩可以填<br>: 反而可以找到一小群不想結婚的女生<br>: 我就特別針對一小群『地方媽媽』下手<br>: 這些地方媽媽<br>: 因為要帶小孩<br>: 都不想再婚<br>: 只是想找個固定伴<br>: 或只是偶爾想找個不黏牙的伴解決生理需求或親蜜一下<br>: 所以我都選『離婚』且『有小孩』且『暫時不想結婚』的地方媽媽<br>: 很多其實才25 30幾歲<br>: 就已經離婚了<br>: 我在上面約了五個離婚25-40歲的年輕媽媽<br>: 其實保養得都不錯～～<br>: 也都還是很緊實～～啊～～～嘶～～<br>: 現在還有三個每個月固定跟我約會哩！<br>: 潮爽der~~~~<br>: ※ 引述《yiiciix (豈能盡如人意但求無愧於)》之銘言：<br>: : 看了這系列靠杯文<br>: : 大鵰覺得癢der~<br>: : 手滑買了VIP  發了篇徵約會<br>: : 滑了差不多100個不錯的妹子<br>: : 這樣大概三天就約成功一個！！！<br>: : 雖然是普肉妹，但是奶有D啊～～<br>: : 啊嘶了一整晚～<br>: : CP值也太高了<br>: : 才三天就約到妹打炮<br>: : 我想應該沒人在JD上約的比我快成功吧？？<br>: : 實在太爽了！<br>: : 本魯開放推文挑戰～～<br>: : 用JD約炮有比我快約到的～～<br>: : 前百推發雞排一份～～～<br>: : 早上才從薇閣戰了一整晚射了三發出來～<br>: : 現在腿還在微微發抖～～～<br>: : 啊嘶～～真是太爽了～～～<br>: : 回家補眠！！！晚上再來PO一次徵約會！！<br><br>--<br>", "", ""
"sex#M.1548166479.A.F55#00001", "BDog", "有錢  帥哥  擁有這兩項就無敵了", "01/22 22:16", "0"
"sex#M.1548166479.A.F55#00002", "aa78216", "ㄩㄇ", "01/22 22:16", "0"
"sex#M.1548166479.A.F55#00003", "sweetfox", "這個文章數0.0", "01/22 22:16", "0"
"sex#M.1548166479.A.F55#00004", "Csir", "這看起來很挑 我玩jd要請吃金鋒滷肉飯都沒有妹子答應- -", "01/22 22:17", "0"
"sex#M.1548166479.A.F55#00005", "wwff0208", "極品，大家快推", "01/22 22:18", "0"
"sex#M.1548166479.A.F55#00006", "siazuow", "西捨大大 我也愛金峰滷肉飯啊 但要加苦瓜排骨湯", "01/22 22:18", "0"
"sex#M.1548166479.A.F55#00007", "Csir", "這不是葉配我請原po吃三元號滷肉飯，金峰覺得變油了就是...", "01/22 22:19", "0"
"sex#M.1548166479.A.F55#00008", "getone", "只有我覺得這內容好像看過嗎....", "01/22 22:19", "0"
"sex#M.1548166479.A.F55#00009", "aa78216", "果然是捨神，妹子上鉤惹", "01/22 22:19", "0"
