"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"sex#M.1551207188.A.E02#00000", "GreatGByte", "這次出差跟陸企的主管一起去蘇州旁的縣級市拜訪廠商<br><br>廠商總仔算是有點背景的<br><br>飯後續攤帶去KTV (XX宮)<br><br>一進去小姐十來個一字排開，叫我第一個選(大概因為只有我是台灣人)<br><br>老實說整體平均素質不高 (以ptt鄉民標準XD。我是第一次去這種場所)<br><br>有幾個奶比例太誇張<br><br>有幾個臉太塑膠<br><br>有幾個就算不叫阿姨也絕對是姊姊<br><br>(後來又來了第二批小姐大家才各自選好)<br><br><br>而且我也很害羞，正眼都不敢看，都是用餘光 XD<br><br>選了右2，應該是裡面最年輕(看臉膚質、平滑自然)、奶比例正常、<br><br>最纖瘦的(看腰和小腿，小腿線條完全是直線，側邊比目魚肌&腓腸肌完全沒凸出)<br><br>(是的，我也不知道我的餘光怎麼可以掃過這麼多重點XD)<br><br><br>小姐很專業，坐我旁邊就是緊緊依偎、奶就是常態性靠在我手臂上<br><br>因為晚餐喝不少白酒(古井貢)有跟她說，所以就是正襟危坐又裝醉沒什麼理她<br><br>然後她也會表現體貼，幫我擋點酒(2.5%的啤酒)，叫我改喝溫開水或說要去幫我泡茶<br><br>要去上廁所也會先跟我說一聲<br><br>不過直接抽桌上的衛生紙3張這點實在是.......XD<br><br><br>因為陸企主管是麥霸<br><br>一路唱下去、唱了2個多小時、還沒停的跡象<br><br>小姐就有點受不了了 (想賺另一條吧?)<br><br>附耳問我要不要她打滴先送我先回飯店休息<br><br>我就只回她我們是一起行動的(同行的人一起回飯店)<br><br>後來我繼續裝醉，她就再加碼頭靠我肩上休息<br><br>(本來她是說我如果醉可以靠著她休息，但我靠沙發啦)<br><br>又說要加微信以後有空可以聊天(後來其實是準備要微信支付收小費)<br><br>後來她又附耳跟我說，要給她們小費、小費是個人自己出的<br><br>(KTV應該是廠商總仔招待的，還是我們這邊陸企主管出的我不知道)<br><br>但我出差對岸基本上全部開銷都是陸企負責，我都只帶一千出頭人民幣<br><br>而且偏偏前幾天沒花到錢，我人民幣一直放背包、背包在飯店<br><br>皮夾裡只有2萬多台幣和3張100美金，和一堆不能刷的信用卡(沒銀聯的XD)<br><br>然後我也不是常態性在對岸，所以我沒開戶、也沒實名認證，所以也沒有微信支付/支付寶<br><br>我就直接回她我沒人民幣，只有台幣和美金XD<br><br><br>她居然跟我說，她沒拿過美金、不然美金也可以，或可以微信支付<br><br>我不是凱子當然不可能給她100美金，<br><br>直接回她說我不常待這裡微信支付也沒有，我先請別人幫我出<br><br>她只簡單回我沒關係<br><br>然後還是很敬業靠在我身上 XD (這點出乎我意料XD)<br><br>剛好平時都在我旁邊幫我付錢的陸企幹部坐我旁邊<br><br>我就拉他出去叫他確認小費多少、先幫我出<br><br>後來他就幫我付給他的小姐共600(她們兩個小姐再去平分)<br><br><br>然後陸企主管麥霸繼續唱歌.......<br><br>小姐前後又問了我兩次，<br><br>第一次:我先打滴帶你回飯店休息好不好<br><br>第二次:你們住哪家飯店?你有房卡嗎給我看看，我帶你回飯店<br><br>我都還是一樣回她我們集體行動XD<br><br><br>後來小姐大概問到怒了(語氣沒有)<br><br>最後附耳直接問我:所以你到底有沒有要我今晚陪你?<br><br>我直接跟她說不用 XD (其實她我可以)<br><br>(話說一千多人民幣應該是不夠，但當時就沒想到這問題)<br><br>她回我:因為她今天感冒，只是要跟我先確認，她們擔心客人不開心<br><br>(我也不懂她在說什麼XD)<br><br><br>對了，還有一點很怪，全部小姐好像只有她出去換衣服，還換2次<br><br>一開始是黑色緊身長袖上衣+短緊身群+高跟鞋<br><br>再來是淺色毛料上衣+比較寬的格紋短裙+高跟鞋<br><br>最後是上衣沒再換+緊身黑長皮褲+平底鞋<br><br><br>過沒多久麥霸突然醒了，直接說回飯店<br><br>結果搭電梯時，陸企主管和幹部的小姐居然都跟我們一起下樓<br><br>我後悔死了 (馬的，原來他們真的敢)<br><br>結果，一個小姐居然是走到馬路旁打滴下班，一個是沒拿到小費，不知道為什麼跟下來<br><br>才要 (誤會一場呀)<br><br>然後，3個男人一起打一台車回飯店 XD<br><br><br>話說，隔天中午又去跟廠商總仔碰面<br><br>午餐(又喝白酒配飯，煩耶)他才說，他昨天有吩咐媽媽桑OOXX<br><br>後面說什麼我沒聽清楚，但反正大概就是那樣<br><br><br>以上，其實這是篇對岸的KTV遊記，沒有色色der事啦<br><br>--<br>", "", ""
"sex#M.1551207188.A.E02#00001", "gy6543721", "一樓都勃起了 你給我看這個", "02/27 02:54", "0"
"sex#M.1551207188.A.E02#00002", "Durantula35", "一樓都脫了 你給二樓看這個", "02/27 02:57", "0"
"sex#M.1551207188.A.E02#00003", "ziso", "褲子都脫了 看完才說沒西斯 明天感冒找你拿掛號費？", "02/27 02:57", "0"
"sex#M.1551207188.A.E02#00004", "hipeter0206", "我還以爲會有色色的事情><", "02/27 02:58", "0"
"sex#M.1551207188.A.E02#00005", "whywhywhycc", "剛出社會？", "02/27 02:58", "0"
"sex#M.1551207188.A.E02#00006", "yoyoyo1011", "我點點點", "02/27 03:00", "0"
"sex#M.1551207188.A.E02#00007", "jaybestfan", "西斯點勒", "02/27 03:01", "0"
"sex#M.1551207188.A.E02#00008", "tfoxboy", "肛", "02/27 03:08", "0"
"sex#M.1551207188.A.E02#00009", "Kikoro", "邊看邊脫褲子你跟我說打D回飯店？", "02/27 03:22", "0"
"sex#M.1551207188.A.E02#00010", "wn7158", "沒西斯點，你自D吧！", "02/27 03:28", "0"
"sex#M.1551207188.A.E02#00011", "nctuDuncan", "哪一塊大陸", "02/27 03:37", "0"
"sex#M.1551207188.A.E02#00012", "a233636433", "8888888", "02/27 03:38", "0"
"sex#M.1551207188.A.E02#00013", "gn02827186", "南極大陸？？？", "02/27 03:38", "0"
"sex#M.1551207188.A.E02#00014", "fuliza", "說實在  很像發日記...", "02/27 03:39", "0"
"sex#M.1551207188.A.E02#00015", "kyozwhie", "這種台灣很多啦 去大陸幹嘛", "02/27 03:42", "0"
"sex#M.1551207188.A.E02#00016", "kiske011", "。。。。", "02/27 03:50", "0"
"sex#M.1551207188.A.E02#00017", "jay8250", ".....", "02/27 03:50", "0"
"sex#M.1551207188.A.E02#00018", "andy89202033", "這有啥好分享的 爛透了...", "02/27 04:11", "0"
"sex#M.1551207188.A.E02#00019", "Anikk", "我無言", "02/27 04:21", "0"
"sex#M.1551207188.A.E02#00020", "kuooo5566", "供三小", "02/27 04:30", "0"
"sex#M.1551207188.A.E02#00021", "stock123", "直接看最後一句", "02/27 04:40", "0"
"sex#M.1551207188.A.E02#00022", "ladmusician", "沒錢跟人家跑啥夜總會", "02/27 05:04", "0"
"sex#M.1551207188.A.E02#00023", "no10798254", "有夠遜的 這種丟臉文別分享", "02/27 05:09", "0"
"sex#M.1551207188.A.E02#00024", "ISNAKEI", "都要脫褲子了你給我看這個？", "02/27 05:41", "0"
"sex#M.1551207188.A.E02#00025", "lol404", "XD 不忍噓", "02/27 05:48", "0"
"sex#M.1551207188.A.E02#00026", "pilifonbao", "分享你的保守嗎...", "02/27 05:54", "0"
"sex#M.1551207188.A.E02#00027", "maiayuami1", "你好弱", "02/27 06:33", "0"
"sex#M.1551207188.A.E02#00028", "kane4125", "大哥 這裡是西斯版阿", "02/27 06:38", "0"
"sex#M.1551207188.A.E02#00029", "jeffqoo2002", "...這經驗不用分享", "02/27 06:41", "0"
"sex#M.1551207188.A.E02#00030", "bisconect", ".............你是處男嗎", "02/27 06:43", "0"
"sex#M.1551207188.A.E02#00031", "qqq215487", "這是魯宅才會這麼多小劇場", "02/27 06:55", "0"
"sex#M.1551207188.A.E02#00032", "chineseb", "好丟臉", "02/27 06:56", "0"
"sex#M.1551207188.A.E02#00033", "roberttony", "出社會十幾年還跟雛一樣，而且這種K房要靠什麼關係？", "02/27 07:02", "0"
"sex#M.1551207188.A.E02#00034", "loveparasite", "沒有西斯點還是算了啦，不用硬寫。", "02/27 07:03", "0"
"sex#M.1551207188.A.E02#00035", "samson5441", "真的弱爆了，小朋友開眼界嗎？", "02/27 07:03", "0"
"sex#M.1551207188.A.E02#00036", "ppt17958", "其實房號都跟小姐說了...", "02/27 07:05", "0"
"sex#M.1551207188.A.E02#00037", "johnwu", "打滴是什麼? @@", "02/27 07:10", "0"
"sex#M.1551207188.A.E02#00038", "roberttony", "計程車", "02/27 07:22", "0"
"sex#M.1551207188.A.E02#00039", "rcat2010", "一樓都硬了……", "02/27 07:38", "0"
"sex#M.1551207188.A.E02#00040", "hank1215", "這廢的心得不要po好嗎", "02/27 07:50", "0"
"sex#M.1551207188.A.E02#00041", "adidas01131", "0.0", "02/27 07:51", "0"
"sex#M.1551207188.A.E02#00042", "vodevil", "我35年處男都感受不到你的西施點", "02/27 08:01", "0"
"sex#M.1551207188.A.E02#00043", "t25885233", "你根本不會玩，出家吧你", "02/27 08:09", "0"
"sex#M.1551207188.A.E02#00044", "tallpenguin", "沙小", "02/27 08:10", "0"
