"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"sex#M.1556096801.A.4A5#00000", "torrest", "對方是從國中認識到現在10多年的朋友<br><br>剛認識時是有屁孩式的曖昧過<br><br>但之後大多是嘴砲偶爾見面打屁而已<br><br>事情是最近跟她長跑多年的男友劈腿 想要買醉有人陪<br><br>朋友這麼多年了我也是盡力的想讓她笑<br><br>還問她說不怕被我撿屍喔<br><br>想不到她還能回我 我看可能是你會先被我撿<br><br>於是帶著幾瓶稍厚的酒就前往她家了<br><br>喝酒過程就不贅述了<br><br>後來她哭著躺在我的懷裡 自己把嘴唇靠上來<br><br>雖然我曾經也性幻想過她 我的理智也在阻止我<br><br>但顯然的理智沒有成功<br><br>於是我也給她回應一邊親著她的臉還嚐到鹹鹹的眼淚<br><br>很快的我就一邊親著她的脖子尋找她的敏感帶。一邊脫掉她的衣服 內褲<br><br>盡量的想要幫她忘掉那些不愉快<br><br>接著前戲完後也沒有讓她幫我服務我就挺進了她的身體。美中不足的是沒有套子<br><br>不過也更能感受到彼此最接近的距離<br><br>在感受到她有高潮的反應後 很快的我也把全部射在她的身上<br><br>接著很快的她就睡著了<br><br>剩下我還要幫忙擦她的身體跟清房間<br><br>隔天醒來後 我們也沒什麼尷尬 還能嘴我說我看有人昨天很爽喔<br><br>不過因為我有女友了也不太可能會再進一步<br><br>意外的是想不到跟認識這麼久的朋友上床竟然比在外面的女人還要刺激<br><br><br>--<br>", "", ""
"sex#M.1556096801.A.4A5#00001", "xxiii7053", "...替你女友默哀", "04/24 17:09", "0"
"sex#M.1556096801.A.4A5#00002", "closa", "替女友默哀……", "04/24 17:11", "0"
"sex#M.1556096801.A.4A5#00003", "kawazakiz2", "看女友那句分不出是交往前還交往後", "04/24 17:11", "0"
"sex#M.1556096801.A.4A5#00004", "j77c3f6y", "我要告狀狀", "04/24 17:12", "0"
"sex#M.1556096801.A.4A5#00005", "LipaCat5566", "今年女友生日禮物4頂帽子", "04/24 17:15", "0"
"sex#M.1556096801.A.4A5#00006", "sjclivelo", "不久之後你女友的國中同學也要來發一篇了", "04/24 17:17", "0"
"sex#M.1556096801.A.4A5#00007", "preisner", "恭禧老爺 賀喜夫人!", "04/24 17:20", "0"
"sex#M.1556096801.A.4A5#00008", "kris54068", "真值得上來吹呢", "04/24 17:23", "0"
"sex#M.1556096801.A.4A5#00009", "coco100", "替女友默哀", "04/24 17:30", "0"
